#{"t_start": 1573984025.491874, "env_id": "BipedalWalker-v2"}
r,l,t
-93.53533,150,0.80989
-101.792896,132,1.511036
-83.267311,324,3.185991
-110.818419,258,4.520861
-99.387009,149,5.281026
-93.406117,134,5.978065
-88.632468,177,6.885241
-95.148722,217,8.042408
-98.691751,142,8.792368
-91.328597,192,9.784023
-99.24306,227,10.934629
-111.025626,164,11.835471
-99.117363,120,12.487204
-100.905872,147,13.255736
-93.349605,309,14.855702
-96.059707,155,15.689076
-89.668911,233,16.895062
-93.342716,215,18.064867
-100.56578,154,18.90229
-98.690485,135,19.616725
-123.956256,112,20.192638
-96.606363,118,20.822694
-99.902845,133,21.572606
-101.757486,279,23.088473
-93.790635,143,23.897875
-98.601691,97,24.458024
-98.345173,121,25.147405
-97.67262,207,26.330953
-93.868662,179,27.332349
-96.435573,126,28.082047
-98.6944,274,29.625867
-98.083542,115,30.282032
-98.928708,124,31.010388
-109.977742,152,31.834843
-97.959371,136,32.612588
-101.222922,132,33.379001
-95.498131,140,34.133845
-95.575899,192,35.227358
-95.058508,168,36.192673
-95.567653,251,37.58032
-90.818693,163,38.492964
-98.519051,98,39.053902
-98.089806,129,39.756804
-97.173701,153,40.60999
-99.840029,123,41.317401
-96.436699,120,42.01132
-100.774123,121,42.676713
-96.736967,162,43.56353
-101.789926,108,44.167646
-102.635777,110,44.769045
-109.347648,177,45.803485
-100.479145,252,47.215003
-97.622283,268,48.70785
-95.511064,186,49.758341
-93.569853,227,51.046217
-96.933949,153,51.861176
-98.349719,133,52.617887
-95.446016,225,53.885903
-112.708254,158,54.762642
