#{"t_start": 1573473361.551032, "env_id": "BipedalWalker-v2"}
r,l,t
-99.901264,1600,2.769097
-97.710265,1600,4.617859
-106.197324,115,4.74726
-101.6905,57,4.815092
-105.817123,63,4.89101
-102.609006,132,5.037258
-107.723765,1600,6.974086
-114.2998,83,7.06993
-109.631468,77,7.155987
-111.825641,61,7.228542
-110.006119,101,7.337907
-109.808745,93,7.448064
-109.467151,67,7.526464
-114.235214,1600,9.446337
-114.038279,59,9.516177
-107.300646,58,9.586583
-122.600131,1600,11.441188
-113.187033,90,11.565833
-137.45098,1600,13.434612
-134.316624,144,13.596295
-128.527724,1600,15.382412
-139.341724,1600,17.243952
-139.049633,1600,19.059597
-108.7278,45,19.111013
-141.082998,1600,20.91538
-130.341873,1600,22.806503
-141.136006,1600,24.609805
-140.390385,1600,26.489101
-152.883481,1600,28.270336
-147.135276,1600,30.123063
-148.545866,1600,31.994294
-149.785264,1600,33.765076
-153.744596,1600,35.530808
-153.591887,1600,37.316084
-152.747331,1600,39.192108
-148.47548,1600,40.953711
-132.529611,1600,42.850541
-121.893069,1600,44.613282
-122.963178,1600,46.35936
-108.281414,1600,48.26524
-123.890993,1600,50.021439
-115.880061,1600,51.881326
-124.213722,1600,53.636195
-110.856796,1600,55.472945
-110.427376,1600,57.285601
-115.204336,1600,59.031347
-107.170259,1600,60.888377
-104.897971,63,60.959484
-120.894726,1600,62.681549
-106.997018,55,62.751632
-103.437249,1600,64.511985
-120.405488,84,64.608569
-108.703699,1600,66.409145
-114.375372,1600,68.257855
-107.60426,1600,70.033405
-110.139504,1600,71.890132
-103.812607,1600,73.644566
-108.242613,1600,75.428782
-104.342942,54,75.492323
-107.833071,97,75.603599
-123.126323,1600,77.505329
-98.986591,1600,79.305978
-105.512174,79,79.392906
-163.941618,858,80.325828
-108.40344,49,80.380069
-106.17192,56,80.443284
-153.026576,863,81.377224
-143.363668,700,82.226316
-113.745268,146,82.388074
-239.530628,1509,84.064884
-126.277902,321,84.416621
-102.910551,61,84.485859
-105.941336,63,84.554969
-114.666042,217,84.800671
-121.215317,250,85.084915
-117.690594,71,85.182962
-107.907885,141,85.370691
-102.492977,1600,87.144413
-113.699725,1600,88.891249
-110.665987,1600,90.740433
-109.311545,1600,92.472902
-105.386791,1600,94.363113
-103.942405,1600,96.272764
-117.092929,1600,98.004735
-109.355045,1600,99.750942
-108.561646,50,99.807353
-116.948211,1600,101.590285
-110.566145,1600,103.442486
-131.655857,1600,105.211596
-116.847631,1600,107.051753
-103.124231,60,107.118763
-108.46212,80,107.211452
-104.136072,68,107.287752
-103.337122,70,107.374815
-118.386183,1600,109.113387
-111.676535,1600,110.908851
-120.672503,1600,112.789789
-109.087855,47,112.847977
-116.541775,1600,114.578819
-115.741593,1600,116.31582
-107.752453,67,116.389979
-114.555473,1600,118.221123
-125.193719,1600,119.982196
-120.503705,1600,121.826542
-104.73554,97,121.935199
-113.464581,1600,123.68416
-104.780398,60,123.768679
-109.098388,51,123.831557
-117.650975,1600,125.688525
-121.581801,1600,127.440778
-109.060757,74,127.520657
-119.838133,1600,129.280223
-124.445614,1600,131.05434
-108.139448,76,131.139229
-123.778488,1600,132.961336
-108.861951,71,133.062821
-108.157294,68,133.153551
-126.026349,1600,134.907946
-107.265734,71,134.985993
-121.446669,1600,136.822425
-126.935624,1600,138.555666
-117.351416,1600,140.300272
-108.767565,74,140.411494
-108.992059,101,140.535711
-105.433817,54,140.595725
-110.291528,64,140.670205
-108.001288,41,140.716786
-123.969193,1600,142.551055
-125.046993,1600,144.309151
-121.710442,1600,146.069052
-104.495342,63,146.137232
-124.039717,1600,147.973814
-119.000797,1600,149.734454
-124.903631,1600,151.554815
-121.854056,283,151.863391
-118.76805,1600,153.612706
-124.586073,1600,155.360876
-116.787506,1600,157.079412
-121.560697,1600,158.919777
-117.214359,1600,160.673446
-104.771196,1600,162.524557
-117.083613,1600,164.266669
-102.254066,1600,165.994401
-110.706996,99,166.103329
-107.050769,1600,167.92646
-106.230996,1600,169.670768
-103.884806,64,169.745286
-105.319509,94,169.846547
-106.807664,64,169.921078
-103.844529,1600,171.665088
-107.465021,44,171.725725
-106.444402,52,171.790245
-109.451013,1600,173.592014
-111.485971,1600,175.404758
-101.273162,109,175.555473
-107.734904,44,175.61531
-98.161087,1600,177.352158
-106.607959,1600,179.101859
-108.058374,47,179.156249
-107.483115,78,179.242834
-102.2991,1600,181.762291
-92.407873,1600,183.878885
-132.525586,396,184.414304
-116.265453,64,184.504561
-75.772079,1600,186.713351
-102.612518,59,186.800028
-113.123825,56,186.875274
