#{"t_start": 1573488673.412693, "env_id": "BipedalWalker-v2"}
r,l,t
-133.04598,1600,4.162761
-113.044283,154,4.316435
-107.651578,113,4.438734
-105.423552,129,4.572897
-106.23485,125,4.710729
-153.622446,1600,6.313194
-162.398788,854,7.200531
-103.029573,72,7.271757
-108.101318,74,7.346682
-102.903502,52,7.396538
-104.992675,62,7.458456
-105.789421,57,7.519185
-105.605009,68,7.588345
-106.196235,58,7.648906
-105.896853,59,7.706257
-111.812135,84,7.793297
-104.668831,66,7.858355
-112.379443,53,7.908692
-105.175522,58,7.969115
-110.929993,61,8.029662
-111.803273,81,8.113414
-109.24626,57,8.170844
-114.472173,65,8.237098
-126.258213,1600,9.853829
-108.006635,1600,11.552159
-109.05752,50,11.604755
-109.768696,70,11.679757
-108.110261,50,11.733547
-111.820289,67,11.846032
-115.075793,84,11.967111
-97.854887,1600,13.62491
-107.523527,53,13.678319
-158.231526,1252,14.896411
-124.013864,122,15.018522
-111.67925,62,15.079093
-112.535223,98,15.17843
-106.882154,147,15.321072
-111.685175,70,15.391337
-111.484234,45,15.435901
-105.86656,216,15.650338
-115.159385,102,15.753007
-106.539951,74,15.832214
-106.967441,50,15.879649
-111.039417,57,15.937084
-109.555399,47,15.985243
-110.058362,83,16.072967
-106.292423,116,16.185389
-108.790223,54,16.246456
-108.951007,44,16.292301
-106.771949,55,16.348801
-108.210379,57,16.407001
-132.381895,94,16.503453
-107.16044,245,16.737591
-107.563267,53,16.78997
-113.203214,80,16.871059
-107.948479,63,16.939991
-104.700826,56,16.993638
-106.513947,357,17.351445
-100.706016,112,17.462763
-101.235704,224,17.691868
-104.53826,187,17.880394
-113.917089,58,17.938261
-111.346196,194,18.129558
-106.843077,125,18.25393
-104.820019,214,18.471941
-113.028542,130,18.601075
-108.452786,129,18.733159
-115.560886,57,18.794114
-111.410534,131,18.918693
-111.303324,88,19.008264
-121.752303,72,19.076253
-110.930749,120,19.194705
-108.51797,139,19.332634
-111.421352,63,19.393689
-112.341206,168,19.560889
-109.546424,143,19.69818
-120.432075,97,19.794554
-114.822155,70,19.858813
-113.619318,111,19.966582
-103.461422,140,20.106975
-104.508562,292,20.389979
-110.283123,46,20.439764
-151.966889,1360,21.75934
-111.353384,57,21.820808
-68.87617,1600,23.419912
-50.340303,1600,25.022862
-47.983905,1600,26.646099
27.559853,1600,28.231805
-117.747962,75,28.305989
-114.422518,125,28.434365
-115.178906,73,28.506332
-120.655015,94,28.603391
-118.140378,98,28.703951
-125.37953,92,28.797162
-109.855489,48,28.850699
-120.460589,89,28.938747
-112.661576,44,28.984004
-118.277627,121,29.111438
-131.226365,158,29.269418
-112.487468,108,29.381748
-119.161607,83,29.468916
-117.854267,71,29.547426
-10.972632,1600,31.238972
-130.460932,86,31.337054
14.560732,1600,624.839856
30.980127,1600,627.103846
-106.930637,345,627.558299
-125.091191,85,627.663974
-112.63161,482,628.255618
-107.15528,344,628.577734
-111.846672,202,628.791541
-105.742364,69,628.864511
-163.339338,844,629.729071
-104.254326,83,629.822263
-103.191488,82,629.900183
-108.708306,98,629.992459
-106.652087,51,630.04266
-125.819441,87,630.147706
-106.596215,61,630.219025
-110.953963,108,630.32769
-115.083393,358,630.664202
-99.019255,109,630.774085
-105.139987,204,630.965583
-110.730899,54,631.020293
-108.622734,144,631.154705
-102.605001,108,631.256123
-104.418747,73,631.333353
-109.845395,75,631.40817
-109.76501,207,631.593507
-116.073238,79,631.668023
-107.521928,116,631.780235
-107.566546,771,632.507581
-115.621473,481,632.94559
-110.854286,374,633.276604
-117.995469,172,633.427524
56.617976,1600,634.868584
17.959858,1600,636.330348
33.495807,1600,637.801006
-102.184272,108,637.9022
28.804623,1600,639.333002
79.101626,1600,640.756952
-11.024948,1074,641.706911
-130.867732,93,641.806692
-102.654577,90,641.889434
-115.614325,81,641.963667
-107.122962,134,642.090043
-104.752872,81,642.163608
-107.340899,102,642.256089
121.050615,1600,643.668699
133.017484,1600,645.081727
-117.239378,72,645.149157
-119.247999,93,645.235617
-114.838047,108,645.333018
-125.318143,74,645.401869
85.478272,1600,646.847583
-114.606334,82,646.925
-120.44589,71,646.988101
-102.770857,132,647.114564
107.367147,1600,648.54953
-111.156303,50,648.594494
-83.595527,333,648.892697
-103.75525,115,649.000776
-113.784572,73,649.065486
-117.134119,76,649.135871
-125.621307,85,649.211587
-67.96173,438,649.606228
-122.085046,71,649.672648
-98.486197,221,649.874419
-124.589394,87,649.956278
-131.158831,138,650.080716
-111.303006,48,650.130611
-107.58902,98,650.220668
-2.206252,1406,651.553879
-116.728702,106,651.650059
-105.329474,86,651.72733
-104.318997,71,651.794532
-118.260063,60,651.854925
-20.516364,1135,652.864503
-118.854504,80,652.937684
-119.916351,109,653.036461
-117.42185,84,653.114693
-56.218241,577,653.630691
-121.260188,80,653.704682
-110.139103,46,653.75321
-130.875852,113,653.85132
-111.05568,69,653.918805
-107.136556,83,653.995477
-120.548804,128,654.108163
-117.972908,51,654.158145
-113.487765,51,654.203054
-120.54566,104,654.299621
-124.837932,111,654.402567
111.381864,1600,655.831486
-113.000584,61,655.888815
-124.972945,67,655.948213
-121.014791,75,656.019227
-118.026121,49,656.068632
-110.630205,91,656.149603
-120.171424,95,656.237615
-115.087494,85,656.312917
-97.850342,244,656.543272
-106.17856,143,656.681202
-116.288422,80,656.754242
-123.09374,72,656.820077
-126.779325,77,656.89361
-115.140222,84,656.969006
112.992634,1600,658.416868
-109.534489,87,658.501503
33.900642,1600,659.940115
110.40208,1600,661.366269
-123.187575,85,661.442011
-131.650781,96,661.52852
88.299981,1600,662.958187
-121.552176,71,663.02225
-119.057206,79,663.100719
121.180843,1600,664.532268
104.871437,1600,665.96001
-126.089474,88,666.040097
-123.488904,106,666.140865
-117.995069,75,666.213198
-125.631923,83,666.293083
-123.727084,103,666.385856
-121.002167,65,666.444474
-120.89443,74,666.515458
-121.208311,51,666.561299
-108.15264,122,666.675354
-31.462431,949,667.525857
-121.532983,66,667.589272
-128.707885,75,667.659806
-123.843164,65,667.722561
-122.377138,77,667.798157
-117.697695,47,667.844791
-126.546519,59,667.903763
-125.676325,74,667.977527
-122.308209,72,668.047586
-116.411026,78,668.122464
-121.324293,66,668.184308
-113.555443,55,668.239866
-121.97023,72,668.30603
-125.364539,57,668.360425
-106.302,132,668.486835
-116.848223,75,668.555496
-126.470309,88,668.641031
-117.915077,67,668.702973
-127.371434,74,668.774572
-121.008195,71,668.840661
-123.413534,62,668.896752
-120.507908,53,668.946292
-127.606446,85,669.022892
-119.741132,56,669.076127
-112.799672,50,669.126586
-122.786323,81,669.203284
-113.293261,44,669.247067
-117.559894,55,669.303522
-120.861088,75,669.374685
-127.179127,67,669.438321
-115.260964,80,669.512645
-127.809868,72,669.580344
-118.809978,78,669.651984
-113.04795,72,669.728207
-114.19167,57,669.794825
-118.905918,74,669.877465
-112.219413,122,670.002871
-117.739244,80,670.087581
-122.206799,73,670.160287
-120.598068,71,670.234193
-108.739535,102,670.328775
-124.706248,62,670.388734
-120.425962,76,670.463822
-129.112647,81,670.540545
-117.541016,71,670.604524
-108.524793,33,670.638147
-124.717242,65,670.700078
-124.392811,59,670.756408
-128.003346,73,670.826187
-129.975872,72,670.891065
-112.435122,81,670.967336
-124.369805,72,671.035794
-123.77129,84,671.114907
-126.593712,71,671.186568
-125.631954,73,671.254769
-118.317735,82,671.334391
-113.202468,45,671.379391
-117.204015,47,671.423941
-115.868413,76,671.496559
-131.996293,70,671.559513
-118.145574,71,671.626103
-121.383477,75,671.697705
-124.802393,68,671.75947
-116.644821,54,671.812202
-125.751692,80,671.890454
-122.647222,84,671.965892
-122.527306,62,672.02305
-112.941433,56,672.079971
-123.382096,66,672.142933
-115.898376,85,672.228667
-75.498055,397,672.580619
-109.873101,184,672.757548
-117.071646,74,672.822248
-117.106449,74,672.890842
-114.584735,75,672.964486
-116.541829,74,673.032737
-114.560499,77,673.110955
-112.596319,78,673.188739
-110.551528,79,673.264625
-122.176593,75,673.33955
-118.345993,84,673.422749
-117.541373,81,673.502864
-123.587463,79,673.574881
-123.991839,67,673.636028
-118.322746,77,673.707297
-121.805775,77,673.781913
-98.570521,160,673.92827
-120.040196,82,674.002674
-117.588005,79,674.077388
-128.480891,80,674.154139
-106.350522,87,674.238804
-113.438687,89,674.324302
-85.840016,591,674.862581
-120.113277,74,674.931011
-122.981607,75,675.00503
-124.751616,82,675.083568
-101.677956,148,675.218526
-113.211761,76,675.292789
-109.047275,53,675.350014
-114.363746,79,675.424181
-122.924666,72,675.490531
-13.809837,1298,676.659908
-117.936078,77,676.735801
-108.173743,92,676.826469
-109.242662,82,676.903545
-119.075135,68,676.965361
-117.036249,74,677.03505
-110.272763,80,677.111048
-129.574724,82,677.188528
100.12318,1600,678.646233
-105.480178,102,678.742507
-53.383875,1349,679.966055
-119.58016,85,680.051724
-100.920337,116,680.160885
-119.411039,79,680.238997
-104.347431,329,680.561812
-109.905346,236,680.781811
-110.113452,77,680.852499
38.193989,1600,682.315869
-100.730646,256,682.551285
-86.966109,784,683.265862
-109.261117,34,683.298091
-123.465597,84,683.38352
-106.795587,76,683.454439
-101.752333,104,683.559289
-120.024809,100,683.6535
76.312221,1600,685.145512
-116.448384,78,685.219677
-123.278492,85,685.298163
-90.243235,615,685.865669
-106.87464,79,685.940237
73.428518,1600,687.443071
-105.424609,99,687.532665
-118.98774,60,687.589736
-115.032532,86,687.67609
-109.323082,62,687.751961
-103.185548,92,687.835318
-125.475684,65,687.900357
-118.378245,88,687.983987
-135.179319,130,688.106314
-96.68819,164,688.255596
121.298025,1600,689.723923
75.800135,1600,691.175222
87.006054,1600,692.63674
65.765092,1600,694.111671
-122.299384,78,694.189594
83.855823,1600,695.671509
-107.01052,137,695.807095
99.313861,1600,697.269001
106.739284,1600,698.741993
53.548448,1600,700.210073
88.269079,1600,701.69429
-117.951262,66,701.759378
-122.719536,92,701.847707
-37.051546,865,702.652408
-124.380987,66,702.712795
-126.50932,66,702.775562
-128.061353,58,702.833641
-111.144947,34,702.870847
97.718888,1600,704.352486
-116.406453,41,704.396782
-120.471174,75,704.469255
-125.863384,54,704.521604
-126.272427,53,704.576467
-121.266039,62,704.637737
-124.170399,54,704.690329
-118.844742,63,704.751522
-120.403421,73,704.823613
100.106742,1600,706.301716
-53.715996,634,706.877955
-126.982439,70,706.949718
-122.04228,53,707.003441
-125.679802,65,707.066313
-122.054554,72,707.133535
-31.807992,717,707.794586
-121.449779,53,707.849408
-123.898725,57,707.907254
-122.343961,69,707.972292
-125.862391,61,708.033019
-91.48568,247,708.26265
-77.906141,463,708.698173
-125.270812,75,708.766229
-125.148066,63,708.82944
-128.585482,75,708.895926
-109.77268,44,708.942131
-125.668576,76,709.014353
116.318031,1600,710.489659
118.743098,1600,711.957295
-100.186468,156,712.106668
-128.325984,67,712.17154
-121.990955,72,712.238537
-125.032787,64,712.298844
115.066745,1600,713.769275
-122.489713,71,713.838585
-131.526814,70,713.904743
-119.845437,78,713.978447
-118.998939,71,714.048572
-122.6986,75,714.122442
-124.799688,69,714.188265
-125.709545,57,714.244704
-121.691892,75,714.319625
-113.677746,43,714.364242
-115.179755,75,714.440962
-123.507528,68,714.503622
-124.656979,68,714.566298
-130.159442,109,714.673855
-128.379755,70,714.741014
-121.054676,73,714.816845
-126.188413,69,714.886839
-123.489566,77,714.96408
-123.567212,65,715.028567
-134.96309,142,715.163053
-123.178777,68,715.229121
-123.822137,68,715.295728
-112.948768,35,715.33096
-119.39735,68,715.400677
-120.964259,74,715.466055
-104.16988,82,715.54536
-112.461955,95,715.639176
-127.21485,78,715.716705
129.663273,1600,717.190541
-122.687247,57,717.245509
-118.386595,67,717.311051
-123.290403,73,717.383551
-117.618187,246,717.618458
-120.139827,46,717.660355
-97.298693,106,717.777851
-43.920616,762,718.481665
135.813903,1600,719.981459
-122.932756,66,720.041358
-109.203414,88,720.124545
-124.522891,75,720.193878
-101.212888,97,720.287351
-125.776744,75,720.360553
-129.06829,65,720.422366
-88.395591,428,720.825845
-124.028346,63,720.888521
-125.556418,64,720.953822
-116.157714,75,721.030631
25.820896,1579,722.484334
-122.240797,74,722.554068
34.339631,1395,723.837761
-126.994417,64,723.902169
-116.374635,145,724.037898
-125.392293,63,724.104433
-127.76286,73,724.173678
-122.294862,72,724.245553
-69.699835,503,724.713499
-97.703072,108,724.816436
-108.485906,116,724.927227
-126.407788,92,725.017701
-94.99418,108,725.118443
-105.025032,115,725.227014
42.129794,1550,726.632403
-79.927736,215,726.836588
-116.560979,76,726.91335
-118.287232,71,726.984652
-122.67823,53,727.037389
-114.770047,77,727.115307
-119.437176,78,727.187903
-117.175727,69,727.253922
-142.188012,117,727.366004
-123.824782,61,727.424684
-106.731012,112,727.531214
-108.78422,143,727.663291
-104.551688,85,727.744618
-106.740193,108,727.846198
-128.620391,87,727.928856
-120.786952,68,727.992588
-104.529019,65,728.059383
-124.103557,71,728.122715
-106.421076,92,728.215755
-98.480126,117,728.325779
-130.940855,92,728.413569
-126.929593,96,728.503219
-98.149666,277,728.758665
-67.033646,498,729.216032
-122.987008,84,729.297436
-82.011355,346,729.625044
-108.616522,86,729.71147
-98.018275,160,729.869497
42.973606,1369,731.223374
32.217673,1565,732.724279
-11.995818,1319,734.002834
-104.838908,86,734.093779
130.870348,1600,735.622513
-124.57865,77,735.69796
111.806725,1600,737.258136
-136.501795,106,737.365142
120.31241,1600,738.894548
-41.166875,1253,740.09077
-117.504758,71,740.164361
-90.457172,120,740.284416
-121.80085,52,740.342367
-118.940023,75,740.409487
118.330393,1600,741.911809
-121.221454,61,741.974533
140.604162,1600,743.483145
164.205484,1600,745.019301
-103.110616,74,745.096942
-107.130149,89,745.189342
-116.959407,90,745.278051
-118.343094,68,745.347076
-102.269332,67,745.415105
-112.384618,138,745.546122
-126.536131,77,745.622189
-105.721451,77,745.689208
-109.203271,97,745.788391
-97.893486,102,745.888645
-14.064208,989,746.822311
-11.225676,956,747.723296
-102.021759,106,747.838803
-122.001116,117,747.950762
163.024049,1600,749.473283
-98.320072,91,749.56429
-120.318,75,749.643972
177.519062,1600,751.194243
-96.50273,98,751.294442
-105.285577,70,751.361354
-104.99402,72,751.432217
-107.969395,100,751.534869
-104.315603,103,751.642845
-129.837161,74,751.718026
-77.02766,309,752.027012
-73.325474,285,752.305482
20.468856,1020,753.304574
147.641222,1600,754.821428
11.742702,1237,755.996719
148.967871,1600,757.499121
-103.781602,72,757.576136
-53.497593,581,758.133751
150.457063,1600,759.677511
-103.204626,107,759.780969
-73.390947,309,760.077259
-104.135801,73,760.148504
-57.498872,490,760.611604
-100.99799,155,760.768889
44.389476,1161,761.903026
-118.116812,152,762.052032
-125.861919,85,762.145545
-121.127899,68,762.213471
-92.521443,142,762.3558
-84.718188,179,762.520194
-103.551678,96,762.616757
-105.350083,78,762.693329
-108.450318,114,762.80733
-126.152644,91,762.892171
-103.162711,97,762.990953
-66.992525,697,763.649955
-104.628299,69,763.718965
-75.408381,270,763.99208
-93.928852,104,764.09633
-113.327198,107,764.203993
-107.061893,91,764.298592
-55.001917,523,764.780299
185.52782,1600,766.314474
-38.608215,609,766.86305
-97.534855,83,766.95398
-65.020776,365,767.315325
-109.099402,83,767.394476
-108.109536,75,767.47133
42.950739,1329,768.752281
-67.986107,492,769.236133
5.471992,763,769.965276
-70.59049,304,770.266739
0.891053,725,770.937555
-76.325915,236,771.16228
-82.833535,208,771.357513
-83.82366,359,771.705299
-40.635259,458,772.143486
-91.741192,167,772.320014
-81.584769,218,772.53812
-99.245825,110,772.6472
-95.172239,107,772.759942
-106.070701,73,772.831767
-88.032378,187,773.022984
-75.508634,188,773.209787
-102.173476,114,773.32965
-93.376528,207,773.527152
-104.858496,73,773.607973
-75.531377,302,773.904527
-82.543913,190,774.091046
-103.214948,74,774.168757
-79.437487,225,774.387341
-81.241841,173,774.54705
-89.430182,168,774.701481
-87.582042,179,774.866578
-66.96245,346,775.197564
-83.727399,237,775.426387
-22.337123,567,775.983188
-89.020088,240,776.219656
-85.321017,170,776.382394
-89.256492,136,776.508701
-91.288743,192,776.691222
-79.638841,289,776.974727
-91.962148,129,777.102506
-73.363365,213,777.316494
-92.783772,123,777.43467
-75.837746,287,777.706161
-88.56512,175,777.87598
-90.012778,132,778.00079
-101.171032,128,778.118799
-86.527329,155,778.266499
-83.133178,126,778.38489
-77.608632,214,778.598949
-101.92528,129,778.73192
-75.567654,243,778.97078
-98.829547,119,779.092434
-64.635982,251,779.334135
-97.17664,100,779.428511
-72.441346,339,779.748963
-89.528023,196,779.943318
-81.605714,146,780.087805
-73.851551,301,780.378719
-75.071437,182,780.561026
-71.262365,275,780.83434
-88.454206,160,780.996601
-63.895064,291,781.285357
-82.725427,172,781.44549
-92.8988,105,781.548118
-47.006245,418,781.924909
-89.991785,155,782.075863
-41.985591,573,782.623423
-71.288712,239,782.850316
-83.159046,145,782.988243
-82.223576,263,783.238717
-73.551518,256,783.489202
-10.266772,837,784.286908
23.720465,1160,785.410699
-79.741996,191,785.585631
-104.927606,79,785.663427
-92.812023,129,785.78592
-87.4644,240,786.021141
-97.244287,83,786.108112
-78.973403,165,786.268938
-15.472739,590,786.816194
16.119389,1011,787.799275
-96.518539,112,787.914521
-18.145282,711,788.611378
-78.465185,237,788.841709
-101.806102,81,788.928811
0.127514,713,789.612137
-58.763778,393,789.99063
-89.486212,171,790.15087
203.316738,1600,791.679273
-84.776033,244,791.908145
-70.390435,281,792.188895
-59.659717,401,792.580289
209.274373,1595,794.135429
-99.878449,88,794.235882
-71.922627,319,794.538813
-96.702877,188,794.710675
-33.523618,730,795.427577
-94.296718,104,795.531699
-75.935865,280,795.793678
18.188548,1017,796.758556
50.482192,1091,797.835503
-42.840592,459,798.31573
-22.859853,586,798.876367
-97.158794,151,799.037735
-59.396136,313,799.35118
-96.345056,109,799.464339
-113.693323,46,799.511493
2.506957,733,800.254596
-40.176661,537,800.764976
-76.352382,327,801.091805
-49.461977,448,801.542009
-103.855507,111,801.651996
-69.80008,368,802.020129
77.35206,1329,803.312122
-1.264431,820,804.112821
-70.180237,288,804.392048
-69.096757,263,804.643447
-85.757246,280,804.922317
13.9141,834,805.740648
14.330888,840,806.557901
-109.145458,97,806.660934
-68.512793,278,806.942972
29.993763,890,807.817512
-16.751761,694,808.492484
29.856589,943,809.422862
29.496346,888,810.303803
-69.436135,274,810.560645
204.517711,1600,812.143868
-117.028647,43,812.193079
-2.615917,806,812.979084
96.932447,1527,814.461464
18.82878,960,815.397433
-52.897443,462,815.835022
-124.02546,82,815.91226
-105.316017,109,816.021502
207.539798,1591,817.54299
46.194245,1203,818.738712
7.985201,874,819.597998
-20.777868,561,820.144826
-105.636557,95,820.245008
-98.33463,106,820.349816
-20.252759,682,821.021727
-108.365754,118,821.143817
35.053504,841,821.956829
-42.780207,556,822.50379
-106.4584,78,822.585741
43.693175,1040,823.590712
60.779046,1500,825.085051
72.062842,1290,826.392001
56.940337,1023,827.395485
201.834387,1600,828.973004
9.006048,990,829.949406
92.016093,1425,831.356458
-55.698086,567,831.910375
13.150184,1063,832.954771
-39.980559,597,833.553855
-119.207938,70,833.622381
-33.502907,636,834.252956
211.806773,1543,835.730602
207.172189,1583,837.246358
-120.869022,68,837.320997
-116.612788,77,837.400791
-129.395725,108,837.509775
-116.669427,218,837.73802
211.640428,1589,839.279489
-17.612009,635,839.907868
222.942346,1420,841.306805
25.571143,939,842.215912
93.502716,1498,843.686997
207.925987,1587,845.232685
-53.508048,381,845.601041
-17.129904,561,846.152509
-37.123435,388,846.526395
-72.726978,229,846.753944
223.095088,1438,848.169326
91.602051,1461,849.606793
217.250267,1497,851.106784
205.595461,1600,852.692685
-43.026108,750,853.431184
-120.722568,96,853.523395
-103.501318,93,853.617371
-103.758434,91,853.709714
-76.431157,322,854.014209
-114.086298,46,854.05736
62.34182,1341,855.369463
-16.762855,719,856.086085
-115.295832,48,856.131653
-95.799714,171,856.303055
223.40419,1441,857.755122
-96.437662,218,857.979671
-113.628591,63,858.055615
62.268484,1347,859.391125
-31.565176,589,859.96017
-106.005397,164,860.132609
-64.964554,254,860.390445
-119.426127,150,860.54481
225.021722,1426,861.960606
-109.565176,166,862.128815
-101.590587,104,862.23481
-100.088446,100,862.340408
-42.760791,462,862.774572
73.609578,1104,863.886893
-15.065607,582,864.455092
19.775625,854,865.321743
22.3029,794,866.112676
-98.924485,112,866.227476
-128.451969,146,866.377494
-13.525171,510,866.869959
-50.991894,521,867.395294
-33.116691,389,867.807058
-100.507779,107,867.907817
-4.030028,638,868.544223
35.066051,757,869.303703
-8.852874,556,869.851014
-14.959456,514,870.359216
21.276431,921,871.293868
7.826583,624,871.906255
