#{"t_start": 1573458551.019101, "env_id": "BipedalWalker-v2"}
r,l,t
-90.607086,1600,4.455028
-100.437433,95,4.64603
-107.815953,116,4.858728
-91.551865,1600,7.827324
-113.547362,105,8.022342
-119.055057,172,8.315086
-113.079418,61,8.452164
-114.337526,108,8.656394
-114.614598,73,8.769766
-111.896375,98,8.958357
-86.280705,1600,11.843891
-127.084433,491,12.732202
-116.883248,87,12.916536
-123.96144,106,13.126377
-116.42993,152,13.404345
-118.199728,69,13.557702
-110.514854,62,13.656621
-75.018063,1600,16.609179
-114.152434,90,16.762055
-73.76705,1600,19.743253
-101.459046,91,19.883363
-104.284796,95,20.066955
-102.241561,109,20.274481
-108.393248,112,20.483797
-103.623544,105,20.687143
-107.326746,82,20.81348
-113.92915,53,20.938373
-107.235196,107,21.14075
-110.213429,222,21.518066
-105.764288,68,21.663935
-111.850401,149,21.934581
-101.077221,90,22.122297
-108.517832,133,22.38071
-108.008189,130,22.631309
-104.779249,160,22.922176
-120.507654,80,23.092635
-105.691994,133,23.336822
-114.019777,252,23.802445
-101.311225,93,23.946679
-102.723726,108,24.157728
-105.903691,115,24.37661
-111.283616,164,24.664265
-108.888445,49,24.78377
-107.381037,106,24.990553
-135.359871,686,26.243817
-106.231022,67,26.389011
-106.147748,58,26.483441
-104.107948,1600,29.477978
-127.266572,1600,32.560471
-125.381904,1600,35.552188
-112.779652,55,35.686734
-125.268489,1600,38.711943
-127.107065,1600,41.784326
-127.423053,1600,44.718079
-106.72578,66,44.866493
-121.876241,1600,47.870021
-119.435746,1600,50.885984
-93.93238,1600,53.817486
-79.741266,1600,56.787659
-106.057985,76,56.980009
-105.899644,68,57.090465
-103.448002,72,57.248908
-76.930854,1600,60.111917
-117.881838,69,60.255925
-113.831461,50,60.335228
-102.800201,162,60.613058
-69.887168,1600,63.559261
-109.188935,116,63.776986
-78.230746,1600,66.63043
-121.29907,68,66.781645
-75.036969,1600,69.67776
-81.183851,1600,72.632971
-83.9267,1600,75.456233
-82.138212,1600,78.424882
-70.775119,1600,81.258107
-59.39983,1600,84.096848
-157.50017,1407,86.547806
-59.432412,1600,89.373321
-57.49531,1600,92.228272
-51.915669,1600,95.045261
-60.668354,1600,97.880435
-51.210139,1600,100.717888
-112.364761,420,101.492616
-120.191005,388,102.19161
-38.527454,1600,104.955847
-148.973533,1092,106.848433
-113.850302,65,106.950295
-111.824005,48,107.026497
-107.168138,77,107.187686
-114.406309,251,107.646071
-43.811732,1600,110.467795
-55.012903,1600,113.359293
-105.269257,137,113.611453
-36.655562,1600,116.533935
-39.434744,1600,119.457097
-28.35932,1600,122.444255
-17.840326,1600,125.36107
-0.051095,1600,128.346413
13.997053,1600,131.232385
-99.32901,57,131.367653
-97.30551,1438,133.995847
-84.087389,1003,135.850533
-94.31798,163,136.1414
-87.776487,569,137.177934
-66.405742,489,138.125891
-105.529225,62,138.270048
-75.098093,579,139.308668
-111.174431,109,139.518264
56.487711,1600,142.636933
57.750877,1600,145.18162
65.285803,1600,147.979525
23.508908,1600,150.435615
93.433493,1600,153.087804
-76.009196,343,153.592786
-109.842311,93,153.756884
96.121629,1600,156.190452
43.878466,1600,158.674514
-113.760477,68,158.765904
-108.420067,71,158.896962
67.53272,1600,161.353647
79.015865,1600,163.787958
83.697257,1600,166.211331
-110.263377,44,166.270667
-95.530231,245,166.646095
-116.050393,109,166.821038
-70.369194,597,167.707647
-57.159199,904,169.068062
-124.736223,78,169.210914
-114.536914,156,169.452108
-116.582938,238,169.845637
-106.410594,70,169.978574
-101.22454,125,170.187301
-104.813211,93,170.314165
-97.815356,202,170.645518
-106.467402,70,170.73948
-123.076329,126,170.938257
-106.899668,187,171.248201
-100.556486,726,172.431508
-104.525593,63,172.5339
-111.297609,71,172.689542
-120.967622,73,172.816337
-117.08424,166,173.146449
-97.970357,105,173.342979
-81.811573,406,174.22981
-85.985411,341,174.935826
-84.559564,181,175.331262
100.676617,1600,178.016423
-54.6582,1081,179.822039
