#{"t_start": 1573442470.7971892, "env_id": "BipedalWalker-v2"}
r,l,t
-124.387486,83,3.039823
-86.94238,1600,14.935975
-84.518681,1600,25.660056
-79.349051,1600,36.794967
-81.89285,1600,48.003351
-108.957507,132,48.915754
-97.343611,1600,60.804576
-77.047482,1600,72.686519
-108.841452,196,74.041262
-118.379673,1600,85.457914
-109.070843,182,86.676713
-143.666588,283,88.763606
-141.366044,232,90.350905
-136.225871,1600,101.255137
-137.414414,445,104.323027
-196.190862,877,110.434989
-120.733198,96,111.144559
-114.947035,101,111.828501
-133.738947,154,113.066698
-103.089833,58,113.474984
-103.536637,95,114.115455
-101.527542,93,114.763453
-102.865568,96,115.43909
-102.009125,76,115.97446
-101.784513,97,116.846794
-103.973195,92,117.48751
-102.616717,100,118.189922
-101.495853,78,118.706334
-108.544901,58,119.110673
-101.071445,95,119.780838
-101.815008,105,120.745199
-101.973599,102,121.443102
-101.478153,65,121.87804
-109.909863,180,123.066424
-106.723984,46,123.374923
-132.808764,93,123.997161
-102.328703,75,124.576585
-103.196916,59,125.075638
-103.744275,104,125.797025
-103.540922,104,126.503366
-103.279893,104,127.222706
-100.204648,62,127.66692
-102.001583,51,128.012013
-102.391148,109,128.989516
-112.251259,81,129.543699
-105.961017,48,129.883326
-101.852757,106,130.59037
-101.983535,97,131.228105
-103.264291,63,131.663689
-102.669659,70,132.163944
-101.632199,94,133.008371
-101.566884,78,133.557973
-102.270527,61,133.967288
-102.325781,65,134.42289
-102.527703,110,135.237648
-103.030647,111,135.977455
-103.140846,109,136.872921
-102.571497,103,137.571405
-102.936776,108,138.347695
-101.454615,74,138.874146
-102.854474,105,139.591536
-108.012358,49,139.94117
-102.863701,69,140.587884
-102.100442,71,141.074815
-101.673638,95,141.721882
-109.078633,65,142.164359
-107.798038,60,142.588122
-107.606696,181,143.750668
-135.156062,677,148.839545
-87.110373,109,149.622809
-125.204145,74,150.148817
-112.227842,56,150.553673
-117.431135,76,151.067421
-106.642995,224,152.809263
-97.901385,137,153.758483
-110.311403,270,155.611488
-103.060572,114,156.609487
-100.326357,111,157.382602
-109.068787,129,158.283962
-99.658055,129,159.197335
-101.290697,121,160.052338
-102.427483,114,161.036304
-95.697237,105,161.757504
-97.147964,128,162.647162
-98.977529,96,163.317563
-107.999356,116,164.222761
-106.415916,102,165.065777
-109.98659,170,166.236621
