#{"t_start": 1573440728.591897, "env_id": "BipedalWalker-v2"}
r,l,t
-106.841297,71,2.610264
-122.000879,195,4.329913
-102.336111,79,5.037809
-100.297168,67,5.530607
-102.521931,49,5.624972
-102.343159,48,6.122894
-101.220532,54,6.214771
-104.091717,51,6.714876
-126.93458,46,6.801671
-126.927037,46,7.25566
-124.937444,48,7.335579
-124.957831,48,7.841272
-101.746413,52,7.945713
-101.825619,52,8.436108
-102.446787,50,8.632166
-102.417191,50,9.22791
-103.017943,48,9.31225
-102.98082,48,9.776717
-101.633811,64,9.904391
-109.47531,65,10.387908
-114.657995,71,10.919047
-122.080721,191,11.673188
-107.153548,48,12.146125
-106.421365,45,12.237462
-105.690348,45,12.915075
-100.854364,74,13.466337
-199.72412,1083,19.466134
-105.496336,74,20.002033
-130.738642,159,21.279166
-117.712118,52,21.392894
-117.557363,51,21.895377
-192.622199,838,26.926283
-126.818913,64,27.454909
-128.734544,81,28.011892
-118.092845,46,28.112291
-119.675082,50,28.700576
-99.947716,71,28.95029
-99.637469,78,29.467907
-99.993689,59,29.978688
-99.797945,62,30.115955
-100.375316,65,30.614555
-100.390932,59,30.742153
-100.634575,62,31.233972
-100.099839,55,31.728666
-102.984876,92,32.33352
-141.419556,1600,42.16809
-112.498887,44,42.26394
-113.142414,44,42.343848
-116.399798,43,42.83454
-112.94922,43,42.912537
-113.81451,42,43.367416
-108.794033,58,43.48592
-131.243946,1600,53.153589
-116.595484,145,54.18384
-114.013567,55,54.292385
-113.987848,55,54.792552
-126.782815,137,55.399601
-120.123915,84,55.959954
-115.664263,137,56.647758
-117.471316,74,57.301948
-114.354451,119,57.915524
-119.290455,88,58.47497
-122.655053,108,59.071766
-122.774704,101,59.654818
-120.503937,73,60.189224
-113.651503,49,60.825069
-116.315226,114,61.420057
-115.929052,63,61.543967
-113.996694,60,62.054423
-114.621797,139,62.689219
-112.795041,47,63.160932
-112.457307,131,63.787497
-116.206916,65,64.466268
-109.310448,107,65.040092
-127.764307,113,65.617888
-124.082026,93,66.124335
-121.513586,131,66.739464
-101.600712,112,67.319576
-125.881874,111,67.902805
-122.989153,98,68.660856
-101.78601,151,69.679066
-119.617464,73,70.174862
-110.66891,157,70.790328
-122.738867,79,71.300257
-111.274937,142,72.125871
-110.837536,145,73.154132
-109.99256,112,73.729109
-132.870193,117,74.338944
