#{"t_start": 1573431843.063086, "env_id": "CarRacing-v0"}
r,l,t
-61.290323,1000,29.969134
-58.208955,1000,58.265214
-47.882736,1000,86.557444
-58.490566,1000,109.445139
-73.856209,1000,133.427405
-78.328173,1000,157.924027
-46.996466,1000,181.102834
-63.235294,1000,204.736019
16.883117,1000,226.920027
-50.757576,1000,250.321676
-55.555556,1000,273.674606
-68.531469,1000,297.271792
-71.786834,1000,322.048787
-72.696246,1000,345.189208
-73.856209,1000,369.76692
-62.711864,1000,393.408742
-60.0,1000,416.305534
-76.588629,1000,440.648201
-62.457338,1000,464.743169
-67.320261,1000,489.459411
-75.088968,1000,512.441978
-79.591837,1000,536.044761
-73.180077,1000,559.794392
-76.109215,1000,583.85566
-79.93311,1000,608.191367
-73.782772,1000,631.96442
-71.774194,1000,653.997848
-79.79798,1000,678.267658
-80.066445,1000,702.788798
-81.818182,1000,728.256831
-67.391304,1000,752.0742
-67.857143,1000,775.0009
-73.421927,1000,799.088302
-70.695971,1000,822.185784
-61.267606,1000,846.504218
-65.909091,1000,869.527483
-64.968153,1000,893.731897
-70.967742,1000,918.394201
-72.125436,1000,942.432154
-57.055215,1000,968.402555
-73.770492,1000,992.726548
-64.028777,1000,1016.388453
-45.652174,1000,1040.887036
-60.13289,1000,1065.318693
-60.854093,1000,1089.815146
-50.0,1000,1115.148322
-58.62069,1000,1140.571636
-58.762887,1000,1166.275712
-58.90411,1000,1190.476288
-57.894737,1000,1213.457576
-60.431655,1000,1236.826498
-68.051118,1000,1260.470946
-51.219512,1000,1284.02575
-52.054795,1000,1307.911744
-59.107807,1000,1331.448567
-54.692557,1000,1355.490328
-63.45515,1000,1379.094201
-55.479452,1000,1402.684168
-51.724138,1000,1426.553456
-55.882353,1000,1449.394491
-62.837838,1000,1472.656104
-52.898551,1000,1495.693634
-64.285714,1000,1519.257722
-59.107807,1000,1542.575564
-54.063604,1000,1565.753239
-66.101695,1000,1589.377282
-55.823293,1000,1611.893404
-62.962963,1000,1634.672731
-58.90411,1000,1658.113052
-60.992908,1000,1681.851695
-55.555556,1000,1704.52577
-65.079365,1000,1729.098637
-61.937716,1000,1752.766915
-65.986395,1000,1776.417852
-62.121212,1000,1800.114708
-65.034965,1000,1823.540235
-68.553459,1000,1847.64832
-60.9375,1000,1870.69583
-58.333333,1000,1893.402556
-63.333333,1000,1917.738714
-63.898917,1000,1941.546111
-65.517241,1000,1965.769192
-61.538462,1000,1988.676983
-68.858131,1000,2013.169245
-69.387755,1000,2036.796669
-67.845659,1000,2061.147343
-69.899666,1000,2085.335809
-61.685824,1000,2108.595185
-63.235294,1000,2131.972103
-69.283276,1000,2155.801588
-71.731449,1000,2179.706567
-72.027972,1000,2203.695116
-68.858131,1000,2227.498172
-66.555184,1000,2251.285473
-68.858131,1000,2275.128435
-68.641115,1000,2299.426274
-59.70696,1000,2322.492364
-62.406015,1000,2346.008815
-67.509025,1000,2369.470946
-66.777409,1000,2393.223473
-65.635739,1000,2417.029781
-60.69869,1000,2439.501302
-66.777409,1000,2463.159482
-65.753425,1000,2487.618343
-72.60274,1000,2512.458494
-66.292135,1000,2535.255518
-72.560976,1000,2559.874844
-67.857143,1000,2582.93924
-68.421053,1000,2606.358052
-70.099668,1000,2629.963404
-69.178082,1000,2652.944417
-68.858131,1000,2676.617656
-67.509025,1000,2699.024732
-68.531469,1000,2722.611605
-67.625899,1000,2745.961191
-65.517241,1000,2769.705965
-70.394737,1000,2793.901083
-68.641115,1000,2816.861275
-67.42671,1000,2839.763083
-73.063973,1000,2862.880992
-69.899666,1000,2886.555274
-67.97153,1000,2909.172093
-73.509934,1000,2932.341655
-65.648855,1000,2954.871316
-73.856209,1000,2978.26247
-66.165414,1000,3000.826779
-68.641115,1000,3023.729057
-72.318339,1000,3046.405804
-68.641115,1000,3069.70242
-68.75,1000,3092.863819
-68.309859,1000,3116.153873
-73.244147,1000,3139.382952
-69.491525,1000,3162.273987
-71.246006,1000,3186.277847
-71.223022,1000,3208.901829
-67.032967,1000,3231.568031
-72.891566,1000,3255.539562
-72.508591,1000,3278.834204
