#{"t_start": 1573431712.1995351, "env_id": "CarRacing-v0"}
r,l,t
-23.636364,1000,23.320218
-29.054054,1000,44.742173
-76.331361,1000,69.392317
-74.820144,1000,91.573407
-41.176471,1000,112.971841
-19.463087,1000,136.330926
-38.906752,1000,163.411321
-76.351351,1000,190.32786
-82.578397,1000,218.26781
-82.517483,1000,242.161054
-63.099631,1000,264.901744
-67.509025,1000,288.322726
-72.318339,1000,311.23489
-72.027972,1000,335.325875
-79.310345,1000,359.162345
-67.741935,1000,384.708934
-82.269504,1000,407.969428
-73.770492,1000,432.115479
-66.216216,1000,455.978425
-72.222222,1000,479.604568
-52.076677,1000,504.980523
-67.320261,1000,528.625657
-69.325153,1000,553.17969
-71.786834,1000,578.275561
-73.421927,1000,602.185162
-80.89172,1000,626.714474
-75.903614,1000,651.297272
-48.881789,1000,676.023832
-28.825623,1000,700.378314
-77.777778,1000,724.662359
-79.591837,1000,749.417027
-68.965517,1000,772.628418
-72.972973,1000,796.266904
-39.0681,1000,820.670324
-81.595092,1000,845.449777
-63.333333,1000,870.391446
-63.855422,1000,893.166178
-70.260223,1000,915.322059
-50.657895,1000,939.797326
-71.631206,1000,963.963517
-75.460123,1000,989.69428
-68.309859,1000,1013.512053
-75.524476,1000,1036.558213
-77.635783,1000,1061.306991
-71.326165,1000,1084.784117
-67.391304,1000,1109.073304
-79.411765,1000,1134.070691
-77.272727,1000,1156.41144
-81.595092,1000,1181.534006
-79.238754,1000,1205.425611
-82.517483,1000,1229.937919
-80.392157,1000,1256.844397
-72.65625,1000,1281.399958
-79.020979,1000,1306.261594
-82.352941,1000,1330.926458
-79.452055,1000,1353.756092
-83.443709,1000,1377.904176
-82.206406,1000,1400.172524
-82.578397,1000,1423.792043
-84.227129,1000,1448.30136
-80.15873,1000,1470.368381
-82.935154,1000,1492.812449
-82.142857,1000,1516.046766
-78.26087,1000,1539.527293
-78.647687,1000,1562.926463
-77.707006,1000,1587.354503
-58.90411,1000,1610.961603
-59.259259,1000,1633.881108
-46.236559,1000,1657.531841
-56.989247,1000,1680.491677
-47.368421,1000,1704.084863
-66.666667,1000,1727.728232
-56.25,1000,1752.271047
-68.208092,1000,1777.361046
-45.337621,1000,1801.479215
-53.846154,1000,1824.130603
-72.136223,1000,1848.415872
-71.88755,1000,1871.578346
-64.157706,1000,1894.829119
-73.509934,1000,1918.045855
-72.027972,1000,1941.472581
-54.225352,1000,1964.547685
-53.79538,1000,1988.366557
-71.929825,1000,2011.663639
-17.241379,1000,2035.663588
-32.20339,1000,2059.031297
-60.992908,1000,2082.575517
-66.666667,1000,2105.941925
-75.0,1000,2129.222617
-22.558923,1000,2153.505225
-50.49505,1000,2176.737094
-155.754259,874,2198.10601
-68.085106,1000,2221.934884
-31.407942,1000,2245.733468
8.303249,1000,2269.459286
-52.076677,1000,2294.608528
-61.038961,1000,2318.655634
-66.216216,1000,2342.319545
-77.707006,1000,2366.918156
-51.890034,1000,2390.562913
-38.181818,1000,2413.600703
-34.375,1000,2438.421323
-76.945245,1000,2463.678876
-43.319838,1000,2486.166536
-27.325581,1000,2511.612558
-79.104478,1000,2536.78512
-69.111969,1000,2560.065892
-70.588235,1000,2583.044551
-8.450704,1000,2606.104793
-64.664311,1000,2631.147898
-43.462898,1000,2654.326108
-69.348659,1000,2676.882883
-80.707395,1000,2700.717146
-56.228956,1000,2724.318911
-72.881356,1000,2747.594608
-68.085106,1000,2770.596247
-58.506224,1000,2791.861769
-79.865772,1000,2815.234244
-73.59736,1000,2838.431956
-67.391304,1000,2861.418777
-49.832776,1000,2884.989734
-55.479452,1000,2908.656071
-69.811321,1000,2930.779344
-56.953642,1000,2953.837106
-8.759124,1000,2976.119024
-62.199313,1000,2999.265427
-54.198473,1000,3021.939592
-52.02952,1000,3044.234399
-71.731449,1000,3066.746174
-64.664311,1000,3089.598373
-76.666667,1000,3112.675759
-85.294118,1000,3136.615736
-55.631399,1000,3159.880087
-60.784314,1000,3183.070398
-134.616822,721,3200.428437
-60.784314,1000,3223.752115
-77.443609,1000,3246.677143
-75.535168,1000,3270.017274
-51.219512,1000,3292.497933
-63.576159,1000,3316.288313
-21.933086,1000,3338.70986
-82.394366,1000,3361.445575
-66.9967,1000,3385.017537
-39.297125,1000,3408.991665
19.453925,1000,3432.36046
-34.027778,1000,3454.681897
-35.384615,1000,3479.078325
-55.479452,1000,3500.754273
-72.696246,1000,3522.009913
-29.765886,1000,3544.305442
-137.42782,864,3563.14276
-45.337621,1000,3585.659842
-77.695167,1000,3607.987328
-70.479705,1000,3629.411152
-63.087248,1000,3652.043984
-37.5,1000,3673.826727
-47.882736,1000,3696.365031
-53.736655,1000,3718.794617
-77.917981,1000,3741.509192
-50.381679,1000,3763.283284
-62.328767,1000,3785.77235
-66.292135,1000,3806.969879
-66.037736,1000,3828.665714
-66.666667,1000,3851.153701
-69.69697,1000,3874.029406
-79.72973,1000,3896.5714
-78.527607,1000,3919.79369
-65.189873,1000,3942.95345
-40.199336,1000,3965.773196
-9.090909,1000,3988.096456
-62.457338,1000,4011.035828
-69.899666,1000,4033.314185
-116.427972,445,4043.004619
-13.194444,1000,4065.489078
-50.0,1000,4088.579671
-23.076923,1000,4111.889536
-80.263158,1000,4135.100962
-78.10219,1000,4157.98995
-46.488294,1000,4179.880952
-70.588235,1000,4204.118223
-49.019608,1000,4225.570739
-58.477509,1000,4248.447279
-73.484848,1000,4270.982539
-80.519481,1000,4294.207115
-81.651376,1000,4319.049192
-75.352113,1000,4342.105374
-79.166667,1000,4364.918636
-80.952381,1000,4389.016792
-80.13245,1000,4412.652511
-79.310345,1000,4436.461114
-77.099237,1000,4459.020544
-79.238754,1000,4482.010458
-82.300885,1000,4507.225287
-66.41791,1000,4529.787635
-44.444444,1000,4552.279744
-33.797909,1000,4575.920513
-46.619217,1000,4598.822616
-48.387097,1000,4622.399478
-71.530249,1000,4645.87016
-76.811594,1000,4670.640199
-76.470588,1000,4695.08704
-81.36646,1000,4719.742063
-78.723404,1000,4743.366936
-79.381443,1000,4766.35858
-72.696246,1000,4789.720734
-77.777778,1000,4812.844418
-73.076923,1000,4835.347205
-78.571429,1000,4858.044942
-76.89769,1000,4881.727563
-66.101695,1000,4909.448848
-74.193548,1000,4939.404223
-73.421927,1000,4969.550791
-66.666667,1000,4999.069039
-57.264957,1000,5032.509997
-161.728571,904,5061.020628
-28.082192,1000,5091.235
-138.523676,542,5108.271736
-35.691318,1000,5139.303885
-23.611111,1000,5170.057837
-134.00292,633,5188.979442
-17.96875,1000,5218.266141
-31.677019,1000,5250.969196
-18.819188,1000,5280.705792
-36.842105,1000,5309.515179
-71.830986,1000,5337.812814
-82.876712,1000,5367.30598
-82.078853,1000,5396.200592
-86.486486,1000,5425.079099
-83.388704,1000,5454.846172
-76.109215,1000,5485.079706
-79.079498,1000,5512.739083
-81.751825,1000,5542.11092
-64.74359,1000,5572.912684
0.334448,1000,5603.342073
-58.90411,1000,5634.682138
-73.584906,1000,5664.1766
-83.333333,1000,5695.079821
-82.394366,1000,5724.17927
-81.949458,1000,5755.678276
-84.227129,1000,5786.90799
-81.481481,1000,5815.910882
-87.5,1000,5847.657754
-87.220447,1000,5879.212206
-73.584906,1000,5908.522607
-85.673352,1000,5942.290446
-78.328173,1000,5974.309554
-83.870968,1000,6005.944057
-81.273408,1000,6034.920801
-83.92283,1000,6065.659876
-86.710963,1000,6096.922328
-82.698962,1000,6126.261727
-83.92283,1000,6156.828989
-80.694981,1000,6185.570787
-82.993197,1000,6216.834582
-80.392157,1000,6245.390353
-83.660131,1000,6276.389369
-72.789116,1000,6308.221288
-68.75,1000,6338.076564
-83.606557,1000,6370.124482
-83.108108,1000,6400.650988
-83.443709,1000,6431.702954
-84.227129,1000,6463.589446
-81.927711,1000,6494.86214
-72.972973,1000,6526.243726
-83.92283,1000,6558.749077
-84.662577,1000,6591.409736
-83.221477,1000,6622.263428
-81.884058,1000,6650.773764
-84.0,1000,6678.935609
-86.79868,1000,6709.350981
-86.348123,1000,6738.855531
-82.758621,1000,6768.954167
-81.132075,1000,6796.862656
-82.935154,1000,6827.018419
-77.61194,1000,6857.262482
-85.714286,1000,6888.03097
-87.055016,1000,6920.343912
-86.710963,1000,6951.282762
-72.125436,1000,6982.998684
-82.817869,1000,7013.73451
-83.713355,1000,7045.812969
-57.09571,1000,7078.273628
-73.484848,1000,7108.694891
-72.027972,1000,7140.697966
-56.692913,1000,7170.928494
-42.771084,1000,7202.964537
-82.394366,1000,7232.271333
-82.078853,1000,7262.540473
-83.552632,1000,7293.233708
-83.221477,1000,7322.688281
-77.917981,1000,7353.336987
-82.517483,1000,7383.43629
-76.666667,1000,7413.187491
-81.684982,1000,7443.912286
-79.72973,1000,7474.705225
-75.438596,1000,7505.538325
-80.769231,1000,7536.817649
-83.221477,1000,7568.767321
-82.269504,1000,7599.907626
-83.164983,1000,7632.037296
-82.993197,1000,7663.273513
-83.221477,1000,7696.500118
-86.885246,1000,7727.955322
-83.713355,1000,7760.006384
-87.421384,1000,7792.181275
-47.735192,1000,7821.704385
-63.210702,1000,7852.848823
-59.821429,1000,7880.255779
-60.288809,1000,7910.231322
-69.69697,1000,7939.333261
-79.522184,1000,7970.613658
-83.108108,1000,8001.422638
-84.984985,1000,8034.637313
-80.0,1000,8064.937228
-82.206406,1000,8094.624849
-84.126984,1000,8126.719729
-82.014388,1000,8158.442024
-85.119048,1000,8191.827399
-83.333333,1000,8223.680971
-82.269504,1000,8256.080787
-78.723404,1000,8286.723785
-84.423676,1000,8319.621044
-79.338843,1000,8348.366774
-81.481481,1000,8378.84209
-82.638889,1000,8409.438378
-84.567901,1000,8440.380422
-83.49835,1000,8471.65439
-84.520124,1000,8502.989183
-80.544747,1000,8532.326853
-81.273408,1000,8563.133915
-81.273408,1000,8592.95352
-78.632479,1000,8621.590586
-83.277592,1000,8652.98556
-83.713355,1000,8684.592693
-85.074627,1000,8718.01927
-65.648855,1000,8748.824767
-75.862069,1000,8780.750585
-82.708934,1000,8814.622934
-79.452055,1000,8846.496962
-82.269504,1000,8877.80278
-83.164983,1000,8909.860956
-82.45614,1000,8941.496946
-83.92283,1000,8974.255916
-80.769231,1000,9004.341302
-81.818182,1000,9035.089792
-83.333333,1000,9066.616475
-80.46875,1000,9096.396206
-83.443709,1000,9126.963159
-82.332155,1000,9157.700038
-83.606557,1000,9189.366252
-82.332155,1000,9220.479803
-81.343284,1000,9250.995217
-82.817869,1000,9283.380868
-82.269504,1000,9313.793296
-83.49835,1000,9346.499609
-81.751825,1000,9377.027166
-84.126984,1000,9408.799959
-86.807388,1000,9443.42917
-84.70948,1000,9477.068453
-84.756098,1000,9510.994326
-83.606557,1000,9544.330549
-82.517483,1000,9576.726428
-85.02994,1000,9610.99822
-83.050847,1000,9641.837726
-83.221477,1000,9671.275974
-82.142857,1000,9701.407139
-84.520124,1000,9732.997571
-80.314961,1000,9761.44607
-83.333333,1000,9793.974966
-84.756098,1000,9826.244738
-83.443709,1000,9858.47649
-68.944099,1000,9889.939586
-82.517483,1000,9921.109749
-83.221477,1000,9953.834392
-84.126984,1000,9986.561848
-79.865772,1000,10019.840859
-82.404692,1000,10053.138362
-85.835694,1000,10088.012668
-82.517483,1000,10120.606793
-83.333333,1000,10152.696235
-80.544747,1000,10182.739659
-83.108108,1000,10213.924585
-83.92283,1000,10247.191876
-79.508197,1000,10275.594524
-83.974359,1000,10307.913595
-78.723404,1000,10338.314192
-81.617647,1000,10369.17978
-82.394366,1000,10400.614317
-82.817869,1000,10432.611648
-83.050847,1000,10463.91208
-83.050847,1000,10495.477383
-83.221477,1000,10528.749307
-81.751825,1000,10560.254946
-83.552632,1000,10592.38583
-87.012987,1000,10627.654654
-80.0,1000,10658.358176
-85.465116,1000,10692.212284
-80.842912,1000,10724.277979
-86.263736,1000,10757.90811
-82.876712,1000,10789.783784
-85.074627,1000,10822.556974
-81.481481,1000,10853.33774
-84.802432,1000,10885.888955
-82.142857,1000,10916.692247
-82.876712,1000,10949.05761
-83.552632,1000,10981.254489
-83.552632,1000,11012.636205
-83.277592,1000,11045.326794
-81.132075,1000,11078.330602
-70.711297,1000,11108.620356
-78.947368,1000,11141.908282
-83.552632,1000,11174.351338
-76.5625,1000,11205.848077
-73.584906,1000,11236.678838
-80.392157,1000,11268.518797
-78.33935,1000,11301.160023
-65.034965,1000,11334.253963
-70.711297,1000,11364.751896
-82.206406,1000,11395.698726
-82.758621,1000,11426.4321
-82.817869,1000,11458.656101
-83.766234,1000,11490.75752
-80.830671,1000,11522.376909
-78.417266,1000,11553.540176
-79.661017,1000,11585.333806
-76.744186,1000,11617.240773
-66.777409,1000,11650.202258
-82.698962,1000,11682.210939
-67.153285,1000,11714.394241
-74.440895,1000,11747.915172
-72.54902,1000,11780.075051
-70.909091,1000,11811.438864
-70.08547,1000,11842.330787
-78.193146,1000,11875.761197
-78.947368,1000,11908.208981
-79.865772,1000,11941.271249
-76.89769,1000,11973.631486
-64.705882,1000,12003.6832
-69.594595,1000,12035.070054
-72.027972,1000,12067.322946
-61.165049,1000,12100.074752
-70.909091,1000,12126.18383
-76.821192,1000,12150.830593
-75.778547,1000,12175.257443
-81.481481,1000,12200.86892
-79.522184,1000,12224.964068
-78.798587,1000,12249.204941
-79.310345,1000,12273.696119
-79.310345,1000,12298.42743
-77.61194,1000,12322.43413
-74.440895,1000,12347.542666
-74.074074,1000,12371.864382
-79.310345,1000,12396.75747
-82.014388,1000,12420.67682
-81.884058,1000,12444.153293
-85.207101,1000,12469.634813
-66.666667,1000,12493.865752
-83.651226,1000,12521.165232
-80.19802,1000,12546.308101
-74.545455,1000,12570.047764
-82.608696,1000,12596.588746
-80.582524,1000,12621.830632
-83.713355,1000,12646.843013
-84.520124,1000,12672.432697
-81.343284,1000,12696.79781
-83.164983,1000,12721.77506
-83.388704,1000,12746.179119
-80.842912,1000,12769.663305
-83.277592,1000,12794.840775
-87.951807,1000,12820.881081
-83.277592,1000,12845.566023
-84.177215,1000,12871.064174
-84.375,1000,12896.482801
-82.758621,1000,12920.667938
-75.806452,1000,12943.883955
-83.108108,1000,12968.266806
-80.544747,1000,12991.760353
-82.578397,1000,13016.451585
-82.517483,1000,13041.31084
-84.326019,1000,13066.534466
-83.552632,1000,13092.590976
-84.326019,1000,13118.320311
-84.520124,1000,13143.914741
-83.713355,1000,13169.470468
-82.45614,1000,13193.863651
-81.818182,1000,13218.043617
-83.443709,1000,13242.471241
-81.343284,1000,13266.821958
-83.49835,1000,13291.477992
-83.277592,1000,13315.935454
-82.638889,1000,13340.47943
-82.269504,1000,13364.689171
-85.294118,1000,13391.018436
-82.394366,1000,13415.561252
-82.578397,1000,13439.960238
-80.842912,1000,13464.383899
-82.578397,1000,13488.519386
-84.47205,1000,13514.135427
-82.269504,1000,13538.184307
-80.079681,1000,13561.482539
-84.89426,1000,13586.937248
-80.15873,1000,13610.689624
-81.884058,1000,13634.77874
-82.935154,1000,13659.624584
-80.314961,1000,13683.150767
-82.817869,1000,13707.487726
-84.076433,1000,13732.57454
-82.078853,1000,13756.612159
-83.108108,1000,13781.506022
-83.766234,1000,13806.81592
-82.817869,1000,13831.849609
-85.02994,1000,13857.722629
-83.221477,1000,13882.607154
-84.227129,1000,13907.586543
-83.552632,1000,13932.993389
-82.394366,1000,13956.971446
-82.517483,1000,13982.243645
-83.388704,1000,14007.369853
-79.919679,1000,14030.632344
-84.375,1000,14056.474122
-81.343284,1000,14080.021044
-84.47205,1000,14105.336061
-82.332155,1000,14130.071355
-84.177215,1000,14155.293687
-82.45614,1000,14179.996046
-84.126984,1000,14205.299653
-81.273408,1000,14228.932218
-83.766234,1000,14253.975072
-82.014388,1000,14278.735433
-82.935154,1000,14303.081936
-80.079681,1000,14327.096096
-84.375,1000,14352.736861
-84.076433,1000,14378.212987
-85.250737,1000,14404.303529
-83.333333,1000,14428.831168
-84.70948,1000,14454.416624
-80.988593,1000,14478.517932
-83.660131,1000,14503.738385
-82.638889,1000,14528.049456
-83.388704,1000,14552.632173
-82.142857,1000,14577.271109
-80.392157,1000,14600.724901
-83.277592,1000,14625.869221
-81.273408,1000,14650.112265
-83.49835,1000,14675.060231
-81.617647,1000,14698.741922
-85.714286,1000,14725.246166
-82.078853,1000,14748.500327
-83.443709,1000,14770.630763
-81.273408,1000,14792.294022
-82.014388,1000,14814.216585
-81.949458,1000,14836.141688
-81.343284,1000,14857.869435
-81.273408,1000,14879.781463
-83.81877,1000,14902.351692
-83.49835,1000,14924.771813
-82.935154,1000,14946.771586
-82.332155,1000,14968.811206
-83.108108,1000,14991.596514
-83.221477,1000,15013.832086
-83.443709,1000,15036.239466
-82.698962,1000,15057.950585
-82.517483,1000,15079.769988
-82.993197,1000,15102.580157
-82.45614,1000,15125.170955
-82.394366,1000,15146.889028
-84.423676,1000,15169.352456
-82.993197,1000,15191.42502
-84.076433,1000,15214.336765
-83.81877,1000,15237.054666
-82.45614,1000,15259.170032
-81.343284,1000,15280.449632
-85.207101,1000,15303.820115
-83.552632,1000,15326.39457
-85.549133,1000,15349.737505
-83.660131,1000,15372.425177
-81.818182,1000,15394.119583
-81.203008,1000,15415.002475
-80.842912,1000,15436.763413
-82.394366,1000,15458.846583
-83.81877,1000,15481.733185
-82.269504,1000,15503.750187
-82.517483,1000,15525.649303
-82.332155,1000,15547.528483
-83.443709,1000,15570.346171
-82.817869,1000,15592.129036
-83.333333,1000,15614.820675
-83.277592,1000,15636.544996
-83.050847,1000,15657.804656
-80.769231,1000,15678.317592
-82.517483,1000,15699.422078
-82.078853,1000,15720.622248
-85.795455,1000,15743.188677
-83.443709,1000,15764.40059
-83.050847,1000,15785.947274
-87.301587,1000,15808.390601
-82.638889,1000,15830.088157
-81.617647,1000,15850.572383
-83.92283,1000,15871.606132
-82.45614,1000,15892.332027
-81.060606,1000,15912.796841
-82.817869,1000,15933.863509
-81.132075,1000,15954.580024
-85.380117,1000,15976.925483
-84.756098,1000,15999.1171
-82.817869,1000,16020.448154
-83.443709,1000,16042.328129
-82.142857,1000,16063.317027
-83.81877,1000,16085.14552
-80.916031,1000,16105.612196
-82.45614,1000,16126.875397
-82.332155,1000,16147.72241
-82.817869,1000,16169.16393
-83.974359,1000,16191.066018
-80.544747,1000,16211.062508
-82.698962,1000,16232.033302
-83.49835,1000,16253.431588
-83.164983,1000,16275.368331
-82.578397,1000,16296.270442
-82.332155,1000,16317.418564
-82.698962,1000,16338.720435
-81.684982,1000,16359.36513
-85.632184,1000,16382.296124
-83.388704,1000,16404.2312
-83.388704,1000,16425.700865
-80.620155,1000,16445.952657
-82.817869,1000,16466.800142
-84.802432,1000,16488.662112
-82.078853,1000,16509.783736
-85.380117,1000,16531.880193
-79.338843,1000,16551.825101
-82.014388,1000,16572.306805
-83.221477,1000,16593.748533
-82.332155,1000,16615.144178
-82.817869,1000,16636.705715
-84.025559,1000,16658.127564
-82.394366,1000,16679.642425
-83.552632,1000,16701.379996
-83.050847,1000,16722.646036
-85.250737,1000,16745.24689
-81.751825,1000,16766.025786
-80.842912,1000,16786.554427
-81.412639,1000,16805.767668
-81.818182,1000,16824.287798
-84.848485,1000,16844.474804
-82.394366,1000,16863.987626
-83.974359,1000,16883.663785
-84.423676,1000,16903.437782
-81.818182,1000,16922.432689
-82.698962,1000,16941.499555
-81.203008,1000,16960.352241
-82.142857,1000,16979.009165
-81.481481,1000,16997.67791
-83.552632,1000,17017.231147
-83.050847,1000,17036.759669
-82.876712,1000,17056.149061
-80.769231,1000,17075.351277
-84.984985,1000,17095.195756
-84.939759,1000,17115.384872
-83.870968,1000,17134.624488
-81.949458,1000,17153.468423
-80.46875,1000,17171.982785
-84.520124,1000,17191.455491
-82.758621,1000,17210.955097
-81.132075,1000,17229.846608
-82.638889,1000,17249.037213
-82.206406,1000,17267.994929
-84.326019,1000,17287.779991
-82.578397,1000,17307.332203
-83.388704,1000,17326.79132
-80.620155,1000,17345.391054
-82.142857,1000,17364.68479
-81.132075,1000,17383.486026
-82.269504,1000,17402.383081
-83.164983,1000,17421.881566
-76.833977,1000,17440.311769
-81.884058,1000,17459.392223
-83.277592,1000,17478.722685
-82.394366,1000,17497.805934
