#{"t_start": 1573455938.910614, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-213.239987,107,1.457918
-64.021248,79,1.605188
-562.181255,92,1.779782
-266.951442,97,1.955648
-310.629743,92,2.133343
-499.422716,106,2.329731
-268.07427,154,2.642741
-219.473666,93,2.810538
-325.004382,165,3.141698
-311.984276,97,3.319923
-302.911001,126,3.560271
-371.384201,90,3.721456
-325.361984,103,3.914569
-241.532693,90,4.080769
-389.181847,120,4.298637
-224.513678,75,4.425575
-337.147971,70,4.547157
-115.29775,117,4.758509
-331.718096,128,4.993474
-282.140726,107,5.188887
-266.363359,115,5.402403
-206.297428,129,5.63728
-313.291279,149,5.914403
-61.47041,153,6.207627
-243.247596,104,6.400241
-69.218814,98,6.580854
-398.723188,199,6.981252
-60.949185,90,7.148068
-72.138445,94,7.321471
-475.315842,139,7.602768
-111.862522,163,7.94506
-345.09712,96,8.131536
-552.339167,110,8.356305
-517.469348,101,8.550112
-552.498595,136,8.813779
-425.63804,141,9.087585
-358.254681,136,9.349029
-427.019821,127,9.592188
-322.867303,90,9.757857
-304.071129,126,10.003246
-151.709181,148,10.282145
-340.119882,115,10.496062
-456.317379,257,11.081856
-257.950329,174,11.44167
-355.554948,168,11.76545
-180.52309,127,12.004455
-214.036592,172,12.353745
-363.864407,192,12.726978
-315.782221,164,13.041496
-341.324884,122,13.261859
-370.275647,144,13.543228
-312.331286,93,13.712121
-298.577124,174,14.053092
-326.787346,129,14.308678
-423.89522,164,14.631291
-488.45228,172,14.988817
-427.676409,143,15.276233
-469.693616,181,15.654969
-318.826575,104,15.861148
-549.13415,224,16.367429
-389.559065,177,16.726449
-295.863832,103,16.928222
-294.416529,146,17.225714
-188.320811,128,17.474704
-589.853983,189,17.859391
-465.754391,156,18.177255
-554.176829,171,18.527767
-203.155966,134,18.800393
-382.892496,235,19.35703
-473.305243,124,19.611956
-424.731031,98,19.802739
-211.975536,119,20.032544
-315.536772,104,20.232478
-38.615316,176,20.590197
-339.333828,283,21.240196
-671.268957,213,21.699351
-852.328865,198,22.103889
-237.961836,161,22.416194
-461.350091,148,22.707628
-551.017491,227,23.18934
-229.520108,154,23.471197
-435.297103,104,23.663677
-42.357822,111,23.864348
-299.609975,231,24.366637
-388.779144,118,24.589487
-179.455236,81,24.736375
-103.249431,123,24.964859
-12.378551,117,25.184963
35.214447,1000,30.145423
-407.621688,116,30.383433
-150.892576,87,30.559708
-842.791008,158,30.877195
-656.974545,180,31.227311
-349.113751,108,31.42192
-437.255483,106,31.616257
-668.058101,215,32.067983
-761.523866,147,32.344561
-341.785957,107,32.552799
-265.199997,94,32.726564
-250.715471,123,32.970746
-333.746308,107,33.181689
-137.808735,107,33.385153
125.864983,1000,36.88829
-632.364301,179,37.257904
-346.54883,80,37.408772
-689.713383,132,37.659322
-487.491924,124,37.893514
-346.487327,108,38.103554
-268.23409,86,38.264012
-334.235571,134,38.523024
-109.279759,96,38.716213
-501.892095,147,39.00434
-966.701891,166,39.325577
-230.095734,147,39.61119
-597.918063,130,39.857132
-316.158826,126,40.094476
-318.92671,146,40.360001
-435.642164,121,40.587958
-488.686473,122,40.821418
-403.665786,137,41.084716
-334.412972,84,41.244787
-381.103167,111,41.454025
-219.08599,107,41.655863
-571.376833,205,42.065541
-392.746852,161,42.383809
-573.156662,134,42.635086
-381.010777,79,42.784947
-323.778376,119,43.010445
-690.621027,129,43.250609
-629.066946,155,43.547341
-318.402447,153,43.856317
-353.65156,116,44.07376
-461.753423,129,44.333824
-484.431364,91,44.498091
-835.370932,181,44.862714
-495.618103,82,45.016209
-836.412681,137,45.277091
-514.74439,124,45.520445
-668.738256,128,45.76261
-218.226513,111,45.968147
-150.472416,104,46.177612
-505.514813,140,46.446655
-202.033177,114,46.656264
-592.736002,78,46.797121
-949.282036,152,47.082463
-338.600612,100,47.270893
-504.854334,128,47.523955
-570.167127,78,47.672969
-574.629684,111,47.889347
-596.69833,90,48.05566
-100.072683,109,48.270362
-623.444687,75,48.410877
-601.14452,87,48.568896
-751.728964,88,48.728332
-602.118226,85,48.881677
-717.823195,123,49.121165
-710.390747,134,49.372343
-269.798702,105,49.56955
-553.946003,76,49.706439
-332.872792,137,49.971446
-335.702615,104,50.1601
-589.469687,90,50.321008
-428.960385,92,50.497308
-360.457498,92,50.664353
-492.548104,80,50.816482
-611.871866,82,50.966804
-762.274459,136,51.22569
-285.34069,105,51.417911
-1001.860746,130,51.655034
-555.747492,123,51.894576
-313.509368,100,52.079795
-36.889919,168,52.394729
-355.650825,80,52.544835
-305.892161,108,52.748627
-1083.401507,160,53.051612
-173.611024,99,53.234115
-249.511089,90,53.404714
-578.731888,95,53.580332
-365.760643,144,53.860863
-583.385644,94,54.043362
-528.009071,79,54.20425
