#{"t_start": 1573487106.2062342, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-271.126826,95,2.85027
-409.784451,170,2.994252
-93.940026,142,3.128012
-98.220768,101,3.208721
-366.519333,116,3.309525
-80.166855,62,3.366528
-69.58384,66,3.429416
-56.859827,61,3.488115
-139.575801,109,3.58874
-106.011081,109,3.687316
-138.408356,95,3.774358
-199.970441,81,3.850656
-46.187294,132,3.98396
-35.778793,84,4.073808
-303.545613,137,4.198378
-327.152842,153,4.341413
-220.586413,92,4.424168
-163.637719,111,4.516511
-423.715643,133,4.640299
-314.246027,98,4.724047
-72.625868,120,4.826508
-319.193337,118,4.930275
-122.437511,143,5.058139
-279.447767,127,5.162032
-2.125724,171,5.318243
-189.403504,107,5.415316
-126.365087,141,5.554507
-399.962874,137,5.687757
-207.514633,95,5.781476
-254.248586,107,5.898316
-141.752498,170,6.115838
-365.247222,128,6.254131
-527.702166,106,6.36275
-330.650735,119,6.474608
-440.146841,109,6.571278
-432.810176,211,6.788283
-788.377284,291,7.115513
-291.092671,215,7.350352
-591.304594,195,7.54946
-422.657566,147,7.689004
-324.970658,138,7.815927
-377.065047,228,8.049863
-212.865663,87,8.126755
-331.240799,189,8.317314
-502.261168,109,8.416672
-393.052167,137,8.544284
-429.366107,95,8.627689
-502.764423,119,8.73417
-437.139059,99,8.820031
-289.653233,91,8.899182
-521.633838,111,8.998973
-392.306704,149,9.142594
-269.379839,122,9.254396
-391.162663,103,9.353201
-492.960777,107,9.440858
-413.609744,185,9.620384
-537.714303,125,9.761571
-778.581574,133,9.943392
-274.806013,158,10.167932
-991.819784,197,10.455739
-509.8618,123,10.591528
-405.592935,134,10.742887
-443.649417,168,10.921306
-472.635406,102,11.016963
-498.646798,208,11.257351
-359.639875,124,11.372606
-616.131737,131,11.488548
-479.172285,117,11.589926
-564.472057,128,11.702477
-350.824251,136,11.819489
-251.708455,155,11.964375
-485.199485,131,12.083891
-340.610064,108,12.180649
-571.576443,189,12.36606
-293.650634,126,12.481586
-566.307895,203,12.674717
-263.078649,136,12.800428
-357.02183,86,12.870959
-383.638636,144,12.998994
-374.681011,138,13.12974
-675.389677,193,13.309909
-325.682631,194,13.503511
-430.712007,125,13.617948
