#{"t_start": 1573935181.679299, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-117.92479,84,0.070321
-415.354133,95,0.149434
-38.101534,67,0.204491
-225.190521,80,0.262169
-148.024947,65,0.307565
-353.930934,73,0.359257
-374.325897,92,0.418593
-414.911774,95,0.49353
-126.39031,67,0.546201
-250.669281,95,0.608431
-854.621228,256,0.835736
-248.226941,102,0.899726
-199.478586,85,0.953613
-113.238269,85,1.012985
-277.983007,66,1.059997
-302.153763,92,1.13035
-129.239639,62,1.178505
-225.622785,127,1.287535
-202.135573,60,1.3426
-238.518558,113,1.480837
-458.64081,91,1.583571
-192.367052,107,7.533168
-83.607365,84,11.941614
-104.079426,53,14.742969
-90.559539,54,17.714487
-312.602856,112,23.845265
-377.810047,94,31.801287
-423.80219,113,38.787138
-292.808503,76,43.236032
-455.710631,104,49.146833
-239.769784,76,53.224281
-464.028683,128,60.128181
-114.490374,118,66.43196
-180.396274,100,72.172719
-145.764307,109,79.194902
-383.550901,87,83.699431
-434.942988,84,88.254395
-386.989399,82,92.61644
-424.957819,96,97.778741
-425.412728,77,101.899259
-453.798657,112,107.964048
-332.748051,95,113.017722
-316.73675,83,117.500645
-211.662575,67,121.108073
-215.564363,106,126.835161
-265.5396,96,132.23124
-376.209184,100,138.103449
106.172318,1000,204.212
-237.387884,55,207.713966
-249.545795,58,211.362593
-251.501784,61,215.187604
-251.004628,53,218.367958
-421.487298,73,222.744322
-418.17024,87,227.703311
-376.774984,75,231.876867
-336.9987,62,235.286794
-353.002776,68,238.974771
-266.611388,65,242.45731
-337.131381,71,246.253221
-238.419949,64,249.646157
-269.927435,85,254.302454
-290.025888,83,258.895589
-184.993138,58,262.129181
-278.022471,66,265.783552
-199.493814,62,269.459879
-247.279382,63,273.380771
-215.216814,58,277.192457
-377.223534,86,284.342594
-307.81565,78,290.444969
-272.444532,75,298.143178
-215.497743,69,303.860959
-477.509314,98,311.586875
-255.799455,63,316.258103
-230.00888,81,322.124816
-262.819662,61,327.288203
-235.173056,66,334.869105
-133.530076,58,340.498544
-336.959206,83,347.344341
-178.931315,53,351.889018
21.620362,75,357.285405
-193.712522,72,362.158118
-213.310363,80,367.07748
-332.31479,100,372.736906
-200.59,83,377.128585
-129.90967,54,380.077922
-321.148066,113,386.78105
-197.016139,105,393.442285
-132.531284,56,397.662591
-124.88841,62,401.778964
-45.60536,73,407.551537
-219.894192,68,412.179504
-146.791582,64,416.511298
-233.428174,85,422.10876
-251.434031,102,428.627361
-196.565437,75,433.077902
-175.337537,79,437.554565
-120.408154,80,442.00322
-377.047314,117,448.62096
-281.072435,98,454.088305
-258.613969,106,460.342136
-97.550883,68,464.460678
-226.82153,104,470.762999
-153.840727,77,475.506059
-207.654739,121,482.977671
-154.653485,82,488.259473
-150.416509,96,493.933529
-209.243119,146,503.538629
-173.160308,109,513.559411
-148.32657,119,524.751669
-26.044214,154,537.494854
-215.685792,127,546.087281
-125.486121,85,551.34037
-177.203519,131,559.018554
-145.430898,91,564.281042
-148.018509,148,572.564752
-123.622189,108,579.149948
-137.292263,134,587.163372
-243.226221,138,595.549455
-164.873469,130,603.984012
-111.816467,112,611.140057
-148.875768,154,621.218534
-134.243189,83,626.44545
-265.550553,183,637.44162
-146.16023,142,645.81962
-297.636747,197,658.022978
-185.198762,141,666.453395
-75.385307,135,674.306447
-182.221106,150,682.739943
-147.148924,79,687.410502
-138.595634,87,692.695442
-100.930987,94,698.29425
-124.538609,152,707.891342
-72.024252,125,715.62639
-156.654851,110,722.548108
-140.717285,133,732.103646
-222.293411,163,742.48432
-144.123247,143,751.049558
-211.56851,177,762.251864
-175.241222,154,772.439922
-82.342609,60,776.023636
-108.269121,121,784.210431
-158.89056,148,797.977681
-133.298117,125,810.539148
-114.216259,144,822.993389
-88.442551,134,831.261346
-133.60408,141,839.097103
-159.47149,130,846.204507
-48.335469,130,854.138681
-43.86125,130,861.984173
