#{"t_start": 1573455918.937174, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-62.434449,94,1.288384
-268.774327,98,1.769298
-464.302292,121,1.982568
-87.983565,71,2.072081
-213.521215,112,2.263183
-140.825131,100,2.453246
-88.794276,132,2.683845
-170.220718,99,2.858022
-509.245829,111,3.053746
-103.104083,121,3.25737
-91.423284,98,3.427303
-99.901597,85,3.535149
-44.401224,143,3.763589
-200.081014,91,3.917396
-114.83031,114,4.099844
-269.621256,102,4.276209
-376.040663,88,4.387783
-358.327636,147,4.659401
-582.997084,164,4.908141
-334.270363,179,5.189611
-114.606367,125,5.3872
-227.388187,101,5.552494
-79.492158,87,5.716349
-194.030766,97,5.845225
-117.082215,109,6.031271
-236.019617,102,6.213386
-82.473718,81,6.351801
-55.778503,96,6.474755
-160.787553,136,6.733396
-308.527675,194,7.063495
-338.45782,87,7.217984
-272.673678,218,7.604928
-452.234841,181,7.94783
-259.91815,156,8.194727
-194.38768,127,8.407786
-337.728201,118,8.595584
-288.409955,141,8.823301
-88.159079,146,9.063585
-22.907785,75,9.191643
-246.348239,96,9.348296
-93.977291,92,9.459676
-225.870294,102,9.623996
-153.287928,172,9.894373
-147.748557,141,10.157965
-102.496386,103,10.286787
-211.151446,167,10.598922
-218.48748,117,10.786582
-401.542467,180,11.084806
-84.115631,104,11.269759
-116.486564,145,11.514323
-212.596914,166,11.792965
-293.322832,116,11.991432
-146.595246,330,12.731601
-264.065572,187,13.053855
-297.117196,146,13.302778
-56.532383,144,13.557152
-210.454079,161,13.869196
-270.402791,119,14.074225
-243.793073,100,14.206388
-146.108597,92,14.364011
-200.520945,122,14.566606
-201.06333,184,14.881188
-287.220477,253,15.39868
-428.50064,170,15.727701
-77.900664,107,15.916536
-23.340221,98,16.048839
-245.360509,101,16.239407
-311.861519,189,16.615595
-336.506978,199,16.96236
-467.240401,232,17.426798
-10.467409,122,17.652952
-84.888895,169,17.954294
-488.64546,139,18.198273
-307.963328,204,18.620111
-182.738776,93,18.78922
-221.643493,116,18.993466
-250.499531,159,19.265613
-332.653391,187,19.615384
-26.081504,1000,24.555894
-287.48909,151,24.820054
-238.758492,141,25.071774
-323.412639,147,25.363908
-256.395812,142,25.606364
-274.448992,152,25.876082
-158.941741,144,26.12599
-220.535873,151,26.397271
-65.533721,207,26.804826
-253.394478,161,27.087935
-301.628795,255,27.637156
-340.09022,125,27.860524
-164.488398,104,28.059705
-126.738347,120,28.284257
-293.138047,100,28.476252
-274.476601,219,28.869879
-240.676629,99,29.053799
-64.639479,75,29.195128
-60.773574,79,29.304845
-54.914106,137,29.553744
-91.971474,71,29.688675
-210.815965,172,29.982566
-281.389586,100,30.160662
14.220392,1000,34.774303
7.238682,112,34.985304
-71.653589,120,35.201749
-185.562865,80,35.316315
-55.276249,98,35.49716
-216.119321,90,35.672884
-323.760006,233,36.113575
-79.1406,107,36.310643
-54.278524,95,36.48735
-246.408784,108,36.687918
-54.815957,83,36.846467
-51.008692,92,36.973748
-289.039501,134,37.217652
-467.410892,237,37.700404
-14.964346,124,37.923418
-42.385194,148,38.18137
-257.05322,194,38.59122
-379.021985,179,38.907977
-353.237621,207,39.331667
-307.735148,131,39.57362
-279.411389,147,39.840666
-94.863495,141,40.098086
-171.98979,80,40.246754
-283.296466,141,40.490683
-138.81115,110,40.682858
-81.968544,74,40.78056
-75.605855,113,40.976653
-323.306732,203,41.394743
-62.363168,158,41.674539
-321.139081,178,41.995162
-13.253174,123,42.227748
-38.377467,108,42.428406
-195.886171,81,42.58351
-287.655601,96,42.7643
-189.093593,152,43.032662
-206.37433,113,43.236847
-158.636233,134,43.474924
-393.120161,257,44.019914
-197.821928,154,44.288433
-233.993514,196,44.631535
-71.381286,116,44.838731
-63.695063,112,45.035153
-33.241252,137,45.26996
-266.227968,117,45.468714
-333.064632,147,45.721215
-203.545553,218,46.160535
-198.743659,125,46.374749
64.067628,1000,49.650313
-113.124131,123,49.851954
-149.288687,126,50.054644
-666.271391,160,50.329988
-50.114343,128,50.577486
-210.410066,171,50.872698
-213.652717,147,51.159186
-441.230489,214,51.5296
-173.479107,75,51.66465
-288.694436,195,52.00952
-256.513618,191,52.386853
-305.763205,195,52.739257
-119.418014,138,52.985907
-345.534507,152,53.287104
-136.876633,128,53.510111
-209.863536,169,53.800518
-267.930995,164,54.090579
-65.91039,136,54.32549
-211.191088,127,54.542605
-36.847198,103,54.732302
-215.450275,83,54.893461
-365.965645,154,55.161138
-54.491886,80,55.305512
-213.090923,132,55.529701
-360.679066,127,55.761074
-132.41513,281,56.361489
-319.579268,203,56.738138
8.229581,152,57.004465
-104.950032,148,57.309293
-366.766649,197,57.68157
-131.413223,104,57.870946
-233.053567,276,58.427564
-210.401235,159,58.739688
-137.640741,181,59.103698
-182.135244,131,59.331192
-61.636659,81,59.448231
-68.992901,162,59.784157
-34.82385,135,60.010705
-14.205445,103,60.194849
26.756793,105,60.338107
-315.900485,228,60.814138
-48.288008,152,61.07209
-255.262386,219,61.511729
-35.536842,176,61.801188
-82.366638,216,62.211913
-135.571592,150,62.474977
-43.744692,186,62.843942
-248.747385,193,63.194729
-59.001334,122,63.406564
-75.050873,188,63.772758
-148.72621,186,64.08881
-180.885692,283,64.706036
-356.816564,265,65.262705
-62.904462,103,65.453543
-21.706366,193,65.848187
-174.047432,129,66.086213
-314.138695,139,66.34901
-59.126914,225,66.776844
2.329893,93,66.907998
-35.250382,80,67.055434
-19.786645,164,67.349286
-38.901318,88,67.511875
-164.703958,121,67.743584
-375.787524,197,68.104447
-87.535855,148,68.422847
-307.94308,233,68.877371
-256.97082,162,69.206487
-305.962198,235,69.632747
25.871503,88,69.798443
-89.637878,167,70.093947
-407.02999,285,70.74724
-260.183913,151,71.017348
-309.240201,184,71.362436
26.874951,144,71.615226
-349.223604,267,72.213523
-434.278863,211,72.596107
-457.076771,206,73.015853
-452.697661,269,73.573905
-522.057191,270,74.169043
-311.186096,247,74.718327
-413.373305,591,76.838853
-216.352532,196,77.201162
-615.826273,255,77.752569
-274.246811,191,78.153131
-269.229356,421,79.246998
-119.011863,143,79.513746
-464.849998,217,79.977989
-408.703853,181,80.315562
-407.256952,193,80.718607
-334.433846,310,81.463674
-261.952815,210,81.933051
-440.0151,279,82.605544
-89.206304,167,82.926782
-349.525877,300,83.59717
-586.164455,302,84.306756
-259.761642,192,84.68252
-400.132806,402,85.863255
-338.113767,188,86.274319
-67.872852,208,86.710932
-365.752606,366,87.567158
-318.550589,249,88.13788
11.278912,123,88.378029
