#{"t_start": 1573435162.857978, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-68.259843,71,2.053867
-123.896909,123,3.435555
-577.114498,122,4.016093
-308.173273,117,4.582548
-427.594891,112,5.113145
-156.46562,122,5.803969
-273.7601,100,6.299889
-282.675349,126,6.905566
-45.875848,123,7.475806
-92.689171,144,8.172723
-227.477702,121,8.902766
-185.362158,114,9.49483
-230.293293,106,10.024921
146.21428,1000,17.721832
-36.385234,132,18.560425
-70.978938,262,19.930377
-53.259732,348,22.106643
-17.900523,532,26.000382
-112.490757,1000,34.77218
-70.96068,1000,42.727659
-175.525108,915,49.887021
-81.733876,1000,57.204048
-5.968,293,58.968487
-56.241574,1000,65.006514
-79.49211,1000,73.070866
-19.712953,1000,80.925368
-16.800838,1000,90.569071
-74.346333,1000,100.419741
-83.982255,1000,109.215774
-44.071161,1000,116.759827
-98.575055,1000,125.197073
-62.420428,1000,132.407788
-98.045409,1000,141.011717
190.251589,486,144.333721
-78.257242,1000,151.758995
-91.452833,1000,159.432703
-94.11122,391,161.826164
-131.654761,545,165.787756
227.934775,419,168.681869
-190.335129,982,174.924517
258.105384,532,178.252629
224.980801,235,179.627376
-95.677388,641,183.909657
153.000326,963,192.274826
237.971813,596,196.005158
-1.068695,414,198.556769
47.120977,312,200.455006
-94.45954,578,204.181221
147.233422,939,212.423112
119.170694,849,218.959738
-66.999713,572,222.374807
-120.518921,433,224.900706
-53.352816,681,229.053326
-119.142739,714,233.91809
123.378705,1000,241.984074
-52.844016,1000,249.986909
26.151799,249,251.391642
83.627734,1000,259.297009
-136.683801,1000,267.090066
-96.38825,1000,277.145693
190.100135,734,282.58534
69.029007,1000,292.128
189.411245,788,297.830037
-63.256798,1000,305.575712
-86.130836,1000,314.826443
-102.297877,1000,324.013147
-68.442045,1000,333.742688
138.004747,327,335.633332
167.719095,838,342.656662
-48.003166,1000,351.637494
167.392164,894,358.087743
142.928864,947,367.894386
-199.408052,156,368.702408
169.978508,299,370.572063
-36.631824,1000,379.049051
-4.065002,1000,386.699309
196.310383,458,389.573757
196.557338,715,394.800796
125.853608,912,402.543544
211.573672,530,406.070202
146.531841,922,414.981878
37.931578,1000,425.30948
130.036079,996,433.797264
-20.745149,190,434.824826
-22.261477,128,435.438638
-37.478369,1000,443.177898
-246.25409,355,445.294529
-124.580056,294,446.856813
-335.183401,802,452.923271
-281.926305,916,460.055167
-74.014762,215,461.190846
192.607932,668,465.304203
-75.961021,208,466.395955
-104.735837,245,467.753601
210.643045,551,471.512974
221.55196,190,472.479505
185.694411,353,474.928434
144.390724,452,477.980984
76.514509,729,483.952109
3.472593,130,484.585625
116.115373,794,489.905385
206.630683,532,493.496501
129.840796,748,499.866526
93.061998,704,505.291365
219.369439,413,507.523263
199.438082,389,509.898833
-91.614132,275,511.297637
228.795083,353,513.494639
-34.746105,152,514.249401
-12.854369,1000,522.077433
166.123404,233,523.509547
26.190505,166,524.373183
192.185223,273,525.91574
-49.163868,232,527.290166
290.463456,233,528.555871
-135.554367,362,530.892039
-90.770946,312,532.678598
-147.590958,142,533.388868
250.403735,728,537.396446
171.054488,237,538.811458
220.264734,228,540.070997
-47.091062,107,540.623115
233.347039,274,542.205949
212.985623,371,544.310543
-91.509782,248,545.58709
-78.933128,192,546.702037
-51.677979,172,547.542838
296.99839,377,549.729313
-105.089914,151,550.474019
11.645482,137,551.112913
-14.782192,95,551.567382
-7.600889,107,552.044341
245.616067,256,553.442389
268.199109,242,554.733731
261.750801,240,556.222104
268.663865,230,557.43687
298.376101,251,558.962168
-316.906636,135,559.614441
265.447502,347,561.625261
-185.311648,96,562.126747
219.460389,259,563.574816
-116.267621,323,565.643812
-1.072345,1000,573.832647
288.287091,283,575.495957
-63.134473,131,576.184634
180.573988,566,580.291345
-205.185902,750,585.810636
-119.460783,126,586.378309
200.402635,326,588.405857
219.572533,264,590.002431
-86.896667,1000,598.5012
-65.459239,1000,607.906375
-141.171742,107,608.408743
-161.82537,110,608.923755
-50.88192,1000,617.42345
