#{"t_start": 1573434320.805452, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-349.688864,143,2.442374
-75.307779,73,3.340347
38.426425,72,3.402985
-397.911527,74,3.815353
-329.579953,69,4.223834
-120.594333,76,4.645049
-740.556977,83,4.7488
-272.848992,54,5.265949
-231.993932,81,5.714923
-133.030734,86,6.130087
-117.923459,92,6.557726
-130.51032,82,6.642653
-205.207685,92,7.089551
-106.640903,89,7.524953
-192.549568,82,7.959563
-73.029499,76,8.506267
-81.779152,70,8.587032
-129.217483,64,8.989459
-98.163736,78,9.421648
-18.141772,100,9.879248
-123.154358,95,10.319394
-60.218159,167,10.927157
-118.485297,75,11.341591
-160.008657,94,11.926296
-61.245419,73,12.362964
-109.271876,91,12.817831
-134.740275,210,13.842958
-87.835799,59,13.903678
-196.308746,86,14.340059
-182.915569,92,14.912961
-107.971123,87,15.338855
-115.250711,82,15.786415
-130.122595,153,16.326604
-102.19107,64,16.7184
-101.439946,85,17.142368
-503.400173,138,17.671859
-332.261664,99,18.27474
-289.628186,101,18.725248
-136.942932,72,19.125825
-173.222848,75,19.551762
-249.829427,140,20.076884
-183.058907,99,20.552928
-115.979992,79,20.977774
-12.645898,106,21.541335
-642.1834,125,22.025205
-410.216462,146,22.889664
-209.965528,79,23.272797
-385.590238,84,23.374118
-245.23836,87,23.792112
-460.903576,150,24.739312
-481.406114,112,25.162537
-488.810833,131,25.62497
-480.027849,93,26.052236
-650.168308,93,26.462012
-431.359173,62,26.835353
-126.519629,74,26.906755
-376.598513,152,27.827468
-161.64519,65,28.201
-117.476511,97,28.594604
-125.664073,76,28.671861
-233.243159,186,29.514984
-157.05854,60,29.870681
-84.840731,143,30.354754
-141.61854,91,30.868223
-89.678274,92,31.269684
-22.3255,87,31.656437
-354.869471,192,32.513642
-128.673078,59,32.564834
-127.726348,59,32.929867
-240.554569,182,33.920941
-129.126652,75,34.30315
-68.934444,143,34.783864
-102.799878,64,35.142265
60.248073,67,35.200055
-98.412681,51,35.538759
-236.784926,169,36.475455
-139.750404,62,36.5419
-69.859056,89,36.961155
-138.694934,75,37.31219
-30.280157,100,37.716134
-267.249414,188,38.572319
-312.909437,118,39.003249
-132.824505,71,39.495891
-86.8029,59,39.539249
-219.018033,146,40.321202
-100.697184,56,40.374356
-196.208469,141,41.151707
-287.126031,94,41.564034
-455.003377,387,43.417971
