#{"t_start": 1573430388.219469, "env_id": "Pendulum-v0"}
r,l,t
-1728.973318,200,1.000086
-1154.102674,200,1.183116
-1525.692064,200,1.41727
-1626.871513,200,1.650543
-1480.620935,200,1.843216
-1790.451808,200,2.025144
-1085.658002,200,2.241416
-1070.947543,200,2.538193
-879.250734,200,2.766123
-1485.977575,200,3.065715
-1420.324897,200,3.347559
-880.133274,200,3.606679
-743.959518,200,3.818767
-1307.649289,200,4.030957
-1622.322404,200,4.227983
-981.030185,200,4.453678
-1181.631389,200,4.703559
-1644.298672,200,4.962708
-1556.521376,200,5.162335
-1375.180033,200,5.363942
-1565.262146,200,5.59715
-1149.438841,200,5.920546
-1275.793514,200,6.242364
-1045.016028,200,6.468712
-1860.232575,200,6.747745
-1252.677305,200,6.995741
-1790.53239,200,7.223725
-1632.519372,200,7.455086
-1384.856177,200,7.676402
-1686.529203,200,7.937042
-1611.344849,200,8.284333
-1225.184875,200,8.587397
-1673.350888,200,8.877162
-1119.336861,200,9.118808
-1066.518055,200,9.350233
-1371.062925,200,9.62953
-1400.669268,200,9.977411
-967.91319,200,10.254138
-1337.830151,200,10.507684
-1842.551322,200,10.804374
-1036.053423,200,11.20218
-851.334814,200,11.538909
-1538.644404,200,11.828952
-900.045799,200,12.061728
-1605.261479,200,12.314595
-1246.042408,200,12.594488
-1215.443694,200,12.860587
-1353.71077,200,13.167015
-1365.424873,200,13.454942
-1265.112374,200,13.76268
-1394.358389,200,14.017649
-1461.619776,200,14.294386
-1357.307344,200,14.564986
-1244.406186,200,14.843738
-1301.126547,200,15.102584
-1182.402735,200,15.357624
-1303.30995,200,15.583382
-1319.15098,200,15.816929
-1229.412051,200,16.059073
-1052.889996,200,16.314948
-1177.331717,200,16.584777
-987.393955,200,16.815681
-1254.562585,200,17.176522
-1333.92402,200,17.463959
-1179.263245,200,17.761625
-1365.517717,200,18.088127
-1249.002314,200,18.388599
-1311.960541,200,18.698535
-1336.129891,200,18.990613
-1277.341634,200,19.27234
-1335.22589,200,19.571865
-1365.531072,200,19.884737
-1344.624305,200,20.165764
-1497.942041,200,20.467506
-1346.858426,200,20.762931
-1492.451809,200,21.050074
-1441.521693,200,21.332
-1396.41699,200,21.620534
-1501.532073,200,21.907438
-1477.64296,200,22.160145
-1532.61768,200,22.422615
-1382.588634,200,22.724621
-1495.851182,200,23.021356
-1477.696993,200,23.330356
-1448.3431,200,23.652088
-1440.859534,200,23.923677
-1237.143136,200,24.217778
-1341.507638,200,24.493601
-1352.319389,200,24.80034
-1469.079781,200,25.084816
-1466.857267,200,25.333986
-1469.761496,200,25.58255
-1490.409433,200,25.839501
-1507.18321,200,26.085525
-1484.124803,200,26.336011
-1438.033894,200,26.601169
-1436.569052,200,26.875776
-1469.891097,200,27.156525
-1489.016486,200,27.421011
-1488.017413,200,27.756076
-1431.164531,200,28.075364
-1501.452956,200,28.37629
-1471.302058,200,28.698169
-1502.939454,200,29.051075
-1446.560033,200,29.462204
-1369.086817,200,29.908915
-1359.276902,200,30.25326
-1347.622068,200,30.582792
-1359.090928,200,30.865175
-1330.181525,200,31.201828
-1327.205769,200,31.494082
-1334.713088,200,31.789721
-1409.915194,200,32.132135
-1322.379277,200,32.509275
-1433.123804,200,32.801292
-1350.132184,200,33.091854
-1353.555288,200,33.430909
-1412.95433,200,33.774041
-1324.412338,200,34.137003
-1440.251701,200,34.432404
-1244.059306,200,34.710453
-1258.977487,200,34.964199
-1347.61508,200,35.248488
-1327.324642,200,35.519297
-1352.379331,200,35.778361
-1249.795976,200,36.047232
-1260.070835,200,36.307246
-1162.016799,200,36.57426
-1329.887357,200,36.843828
-1267.057248,200,37.154698
-1265.783061,200,37.43197
-1192.705982,200,37.691586
-1337.405357,200,37.999941
-1699.827653,200,38.295493
-1281.853587,200,38.584775
-1284.305914,200,38.852287
-1162.951072,200,39.170294
-1263.235174,200,39.456774
-1056.48565,200,39.736834
-1202.283646,200,39.988614
-1199.412709,200,40.245759
-1267.646536,200,40.510325
-1224.319728,200,40.783915
-1188.666576,200,41.045342
-1210.574994,200,41.309467
-1471.472677,200,41.574048
-1208.895124,200,41.837103
-1198.219508,200,42.099055
-1146.434637,200,42.354111
-1031.860303,200,42.621203
-1112.500436,200,42.909754
-981.822737,200,43.195341
-991.044623,200,43.50336
-1172.593181,200,43.790768
-1440.375925,200,44.123485
-876.589167,200,44.388115
-989.273347,200,44.68615
-1063.114693,200,44.997351
-775.804604,200,45.277052
-1323.95985,200,45.543114
-1241.606248,200,45.794259
-1593.271922,200,46.053856
-1089.096621,200,46.338713
-1689.209251,200,46.627139
-1703.11278,200,46.870601
-1552.042074,200,47.125006
-1257.596638,200,47.393147
-1240.858694,200,47.686027
-1491.373092,200,47.965969
-1829.581229,200,48.247865
-1353.567785,200,48.526116
-1594.344072,200,48.814134
-1216.676602,200,49.094124
-1248.660377,200,49.359774
-889.27591,200,49.622794
-1616.255219,200,49.908692
-873.022021,200,50.195751
-1432.073213,200,50.462709
-1424.812606,200,50.727035
-1154.348447,200,51.017639
-1160.227422,200,51.27011
-1034.224114,200,51.53705
-1155.047392,200,51.808444
-1092.386024,200,52.068846
-898.071351,200,52.324876
-951.733926,200,52.580879
-1183.77449,200,52.850381
-1057.799917,200,53.156372
-952.826892,200,53.491185
-752.454464,200,53.807376
-1224.237557,200,54.101601
-1326.768481,200,54.369655
-1814.315902,200,54.66648
-1722.485922,200,54.958832
-1462.30743,200,55.217994
-1118.009757,200,55.47583
-1670.784541,200,55.734656
-1609.457814,200,56.030181
-887.379521,200,56.288671
-936.298808,200,56.55566
-1310.372176,200,56.811013
-1777.384573,200,57.076105
-1072.836064,200,57.349506
-1097.211926,200,57.635197
-915.319631,200,57.933841
-1307.583604,200,58.259151
-1397.301944,200,58.556099
-1021.402106,200,58.835974
-1207.976813,200,59.124688
-956.984726,200,59.397367
-1675.011848,200,59.653923
-1441.026807,200,59.910787
-1723.330349,200,60.196664
-1766.903558,200,60.455897
-1627.047992,200,60.73253
-1349.549096,200,61.012268
-1621.827825,200,61.273785
-1658.198628,200,61.555493
-1744.828436,200,61.833904
-1700.310784,200,62.131191
-1828.873322,200,62.404625
-1802.790777,200,62.669284
-1453.113242,200,62.951271
-1787.389855,200,63.22177
-1677.362173,200,63.528774
-1695.524918,200,63.779967
-1628.726655,200,64.050022
-1721.489031,200,64.331547
-1696.915006,200,64.598532
-1731.96725,200,64.861679
-1684.718291,200,65.121508
-1777.320509,200,65.379543
-1634.245619,200,65.646495
-1770.566482,200,65.887231
-1762.82389,200,66.129379
-1812.006904,200,66.400184
-1829.796311,200,66.67974
-1828.717614,200,66.94314
-1656.675853,200,67.194906
-1822.804607,200,67.457795
-1849.669947,200,67.721413
-1816.615528,200,67.99949
-1732.119632,200,68.29738
-1565.478324,200,68.598432
-1601.62566,200,68.858817
-1831.023302,200,69.118399
-1828.967139,200,69.372992
-1621.226692,200,69.629646
-1725.030117,200,69.880758
-1672.381767,200,70.129589
-1667.825919,200,70.389427
-1785.517497,200,70.63452
-1506.737925,200,70.913919
-1605.868452,200,71.17289
-1715.948304,200,71.434332
-1728.506703,200,71.719484
-1686.288167,200,71.982366
-1810.533655,200,72.240643
-1727.564085,200,72.510387
-1723.996899,200,72.801709
-1766.403024,200,73.099365
-1556.547873,200,73.382689
-1746.52472,200,73.665286
-1596.652139,200,73.944409
-1706.683569,200,74.226456
-1761.920794,200,74.482282
-1698.831194,200,74.748777
-1812.004627,200,75.02128
-1636.283132,200,75.301343
-1567.19214,200,75.576662
-1727.007113,200,75.828994
-1697.460211,200,76.087904
-1852.944637,200,76.351923
-1590.662344,200,76.63659
-1714.043221,200,76.891415
-1744.90311,200,77.163891
-1617.315637,200,77.430223
-1669.324718,200,77.699729
-1831.371247,200,77.997084
-1838.558325,200,78.277033
-1806.043522,200,78.5718
-1841.281615,200,78.853354
-1658.034119,200,79.132362
-1739.477042,200,79.396761
-1819.622172,200,79.671917
-1435.762768,200,79.961169
-1655.523444,200,80.227991
-1592.746856,200,80.487092
-1723.544534,200,80.743582
-1702.221627,200,81.001153
-1566.278265,200,81.266433
-1625.294455,200,81.546242
-1822.115445,200,81.812527
-1738.961721,200,82.070167
-1705.4112,200,82.340421
-1810.919353,200,82.617526
-1609.529899,200,82.903745
-1601.152143,200,83.186479
-1757.924724,200,83.468153
-1523.199179,200,83.735877
-1783.926528,200,83.997792
-1716.910234,200,84.260388
-1733.699178,200,84.521478
-1775.078329,200,84.78514
-1786.492927,200,85.045002
-1792.991686,200,85.295513
-1660.542613,200,85.569957
-1731.957343,200,85.832963
-1698.990624,200,86.098111
-1779.70255,200,86.358087
-1680.6891,200,86.621877
-1698.708388,200,86.891545
-1689.428841,200,87.167933
-1850.694566,200,87.456395
-1609.975598,200,87.721883
-1695.771432,200,88.002596
-1455.219195,200,88.298753
-1601.79833,200,88.6608
-1840.339992,200,88.935874
-1707.88133,200,89.216283
-1592.793122,200,89.503804
-1792.908836,200,89.766772
-1817.631368,200,90.012695
-1727.500245,200,90.28883
-1764.680211,200,90.551144
-1782.502678,200,90.84082
-1691.84215,200,91.208366
-1791.508588,200,91.517416
-1828.229846,200,91.863075
-1723.687535,200,92.151812
-1720.364854,200,92.44511
-1639.816775,200,92.728811
-1821.924965,200,93.036794
-1830.195967,200,93.323885
-1693.154056,200,93.60236
-1697.65212,200,93.900331
-1802.030711,200,94.187909
-1722.903604,200,94.45672
-1814.72236,200,94.752905
-1782.909203,200,95.041406
-1874.197372,200,95.303157
-1747.734343,200,95.658605
-1796.555813,200,96.048496
-1642.525058,200,96.409739
-1780.097655,200,96.763732
-1849.815664,200,97.106467
-1838.187992,200,97.52194
-1779.009426,200,97.853778
-1776.523118,200,98.144471
-1636.481395,200,98.456607
