#{"t_start": 1573486400.298483, "env_id": "Pendulum-v0"}
r,l,t
-1430.217033,200,2.860414
-970.438852,200,2.995047
-1002.161988,200,3.132635
-1592.163951,200,3.271742
-1202.341955,200,3.414779
-1800.016663,200,3.550732
-858.408327,200,3.689293
-1002.669313,200,3.824771
-1071.23375,200,3.962159
-941.673312,200,4.096091
-866.467261,200,4.233987
-928.113824,200,4.371538
-1189.6357,200,4.512312
-1351.997431,200,4.650712
-974.372859,200,4.791686
-1351.396204,200,4.931275
-1350.880824,200,5.073265
-862.86186,200,5.216749
-979.486505,200,5.357723
-1247.08458,200,5.501692
-859.469593,200,5.645372
-1333.450051,200,5.80299
-966.043045,200,5.942069
-1177.301789,200,6.0864
-858.821062,200,6.221856
-1098.698157,200,6.358994
-1294.78637,200,6.518012
-1419.666631,200,6.662966
-782.835763,200,6.804304
-1768.223813,200,6.957385
-1292.552936,200,7.101219
-1279.41116,200,7.243353
-976.561146,200,7.379956
-1729.526513,200,7.521329
-1414.790417,200,7.660716
-1522.700809,200,7.799229
-968.700159,200,7.939615
-967.364535,200,8.083193
-1816.524048,200,8.224462
-1186.715494,200,8.365502
-1618.31567,200,8.508713
-1175.344037,200,8.644641
-899.700725,200,8.788542
-1770.568614,200,8.926376
-1131.240934,200,9.068036
-859.033502,200,9.203393
-1761.091123,200,9.34086
-1289.159421,200,9.477249
-1461.218364,200,9.619724
-827.825251,200,9.76189
-1466.445371,200,9.898306
-1326.452349,200,10.037305
-1288.789385,200,10.168004
-1697.358548,200,10.305248
-988.489043,200,10.446173
-1563.084517,200,10.589039
-1277.58085,200,10.72863
-1463.331042,200,10.876197
-1383.220736,200,11.012482
-1063.629301,200,11.149242
-906.068189,200,11.290285
-1312.716531,200,11.433884
-876.283401,200,11.568793
-1160.239706,200,11.706562
-1042.233214,200,11.84872
-891.465568,200,11.987446
-1078.28038,200,12.130786
-953.568071,200,12.301682
-856.346529,200,12.438495
-1325.554827,200,12.581199
-1184.013131,200,12.768558
-863.885831,200,12.978254
-1166.5179,200,13.158935
-972.505259,200,13.331672
-1021.034349,200,13.540607
-1172.738392,200,13.710222
-1237.078991,200,13.847696
-1702.343486,200,14.013545
-1635.312698,200,14.198426
-1769.217839,200,14.360697
-1075.417058,200,14.524064
-1613.281219,200,14.675807
-1549.653948,200,14.832953
