#{"t_start": 1573855224.407611, "env_id": "Pendulum-v0"}
r,l,t
-1516.045134,200,0.106961
-1120.5905,200,0.204882
-1115.252972,200,0.362659
-1126.775151,200,0.489121
-1179.296446,200,0.585629
-1140.460933,200,0.677962
-1522.413971,200,0.847332
-1118.51844,200,1.044701
-1907.978062,200,1.140396
-1388.743964,200,1.231498
-1751.445648,200,6.099268
-1783.766745,200,11.210597
-1751.993362,200,16.248217
-1617.033302,200,21.436432
-1865.022171,200,26.435997
-1584.458055,200,31.631235
-1477.900189,200,37.014895
-1177.087788,200,42.353541
-1097.88684,200,47.612754
-1331.046529,200,52.783127
-1157.627852,200,58.40535
-1019.987348,200,63.005642
-769.925447,200,67.868403
-919.725438,200,72.513975
-921.265242,200,77.228106
-1032.861702,200,82.552086
-1228.190048,200,87.584903
-1274.232877,200,92.191564
-906.340029,200,96.851928
-1036.740813,200,101.400589
-1321.694666,200,105.875679
-1383.52486,200,110.36654
-1270.893311,200,115.004729
-1532.788019,200,119.600827
-1352.08058,200,124.137035
-1557.013012,200,128.662275
-1415.597498,200,133.154581
-1202.765211,200,137.609405
-1161.868346,200,142.125563
-1304.032507,200,146.540497
-1004.942101,200,150.985437
-1297.653478,200,155.402298
-948.216914,200,159.796096
-1439.198937,200,164.27328
-1126.253079,200,168.660189
-1020.710259,200,173.056443
-1258.43822,200,177.452375
-1410.17606,200,181.902604
-1166.275804,200,186.331397
-1065.860988,200,190.694433
-1256.397173,200,195.108414
-1269.78453,200,199.477417
-1585.171628,200,203.934057
-1260.006435,200,208.293818
-1588.29593,200,212.70091
-908.030794,200,217.051522
-897.320603,200,221.461342
-773.748896,200,225.89376
-999.409794,200,230.317288
-1185.242959,200,234.738711
-882.624853,200,239.090694
-1159.587827,200,243.528992
-1407.618273,200,247.90144
-1449.516398,200,252.219013
-1599.982783,200,256.497069
-955.912281,200,260.819549
-1361.692193,200,265.208577
-1193.721903,200,269.62194
-1211.214812,200,273.912954
-1151.875622,200,278.243333
-1239.854798,200,282.600168
-921.084444,200,287.063696
-871.301813,200,291.504071
-882.504446,200,295.880549
-1398.714372,200,300.319084
-1392.204791,200,304.701213
-1003.697834,200,309.167493
-1057.261803,200,313.521855
-1400.829811,200,317.994732
-1398.146999,200,322.460418
-1343.505818,200,326.924938
-1365.374577,200,331.306042
-1224.232477,200,335.726262
-922.327613,200,340.147007
-1312.147187,200,344.541664
-1057.668253,200,348.991284
-1172.644638,200,353.352424
-954.079353,200,357.718917
-1364.499363,200,362.104717
-910.23579,200,366.415451
-646.841779,200,370.790098
-1384.031323,200,375.173916
-766.969375,200,379.538699
-648.526411,200,383.85824
-889.313718,200,388.182047
-1441.51961,200,392.492769
-1409.731399,200,396.79874
-958.644512,200,401.212246
-1408.209653,200,405.588726
-1048.184024,200,409.974677
-1268.828815,200,414.437486
-1083.355801,200,418.855612
-1112.382241,200,423.188026
-1596.392962,200,427.587631
-1611.919969,200,431.977104
-885.366848,200,436.401002
-644.18908,200,440.764165
-1536.594625,200,445.14091
-1634.540213,200,449.533506
-1604.778695,200,453.941315
-1537.577799,200,458.332177
-897.23572,200,462.658197
-778.363948,200,466.971934
-802.172757,200,471.376883
-1330.188362,200,475.730642
-1176.433491,200,480.141261
-1178.636768,200,484.500395
-1231.738286,200,488.909948
-1454.060337,200,493.283039
-1087.356559,200,497.691318
-987.108126,200,502.117858
-1698.297401,200,506.426203
-1459.768479,200,510.746129
-1588.208607,200,515.15426
-1099.054572,200,519.531013
-1206.45627,200,523.940004
-891.44639,200,528.255514
-1217.5577,200,532.714496
-1574.806668,200,537.084118
-644.24198,200,541.4593
-1200.243325,200,545.874458
-1184.437242,200,550.25288
-1250.747985,200,554.621964
-1148.628332,200,558.99302
-1130.421259,200,563.397928
-1273.550037,200,567.831707
-1590.604242,200,572.18769
-1068.23346,200,576.523347
-1590.687274,200,580.916443
-776.148491,200,585.380125
-1298.208717,200,589.714096
-1495.316135,200,594.064207
-762.053838,200,598.428025
-1037.035046,200,602.782899
-1572.776798,200,607.149158
-1042.6842,200,611.501942
-1336.113075,200,615.929756
-1215.339168,200,620.380739
-1132.31432,200,624.835821
-904.616421,200,629.176096
-897.101908,200,633.562894
-761.323915,200,637.933205
-825.358538,200,642.322402
-911.531922,200,646.717506
-877.316961,200,651.144694
-1385.291132,200,655.532758
-844.772248,200,659.933193
-1357.522681,200,664.344159
-882.335412,200,668.790823
-816.682748,200,673.13129
-1038.614465,200,677.447093
-1010.754486,200,681.867452
-1019.56214,200,686.21078
-755.67359,200,690.569702
-1669.70084,200,694.965859
-1646.065505,200,699.346612
-877.535576,200,703.762017
-1623.124911,200,708.146008
-855.285783,200,712.461053
-754.182244,200,716.77316
-961.130858,200,721.178414
-875.095161,200,725.511106
-1015.405574,200,729.860318
-811.494153,200,734.203541
-1521.470987,200,738.547671
-882.324746,200,742.94963
-1173.95042,200,747.288808
-1033.310363,200,751.726257
-1186.029693,200,756.119874
-1124.137531,200,760.519632
-1019.24627,200,765.01951
-899.53621,200,769.37976
-1535.715262,200,773.723197
-655.076244,200,778.069156
-1272.260789,200,782.467177
-1278.337002,200,786.861918
-1136.853684,200,791.207929
-919.632302,200,795.586876
-972.95363,200,799.918402
-869.363025,200,804.250596
-1214.532541,200,808.615473
-867.005216,200,812.973728
-1022.296925,200,817.328402
-1123.621423,200,821.687309
-1030.593163,200,826.055694
