#{"t_start": 1573430405.1004999, "env_id": "Pendulum-v0"}
r,l,t
-876.284319,200,3.535125
-1633.863104,200,4.42602
-1066.275179,200,5.303744
-1055.519027,200,6.236694
-1371.485782,200,7.14439
-1810.201602,200,8.044008
-1780.062854,200,8.849498
-1536.810551,200,9.672154
-1606.294496,200,10.564519
-1503.045013,200,11.562237
-1107.280489,200,12.777895
-1304.832446,200,13.817327
-1058.978546,200,14.788615
-1174.735901,200,15.826131
-599.304737,200,16.810013
-1034.954584,200,17.778369
-1022.164488,200,18.643092
-399.055429,200,19.484323
-1234.241129,200,20.375234
-784.054191,200,21.234982
-1047.724757,200,22.166857
-1207.904969,200,23.041055
-1234.274596,200,23.903486
-1377.979157,200,24.754096
-296.339317,200,25.6026
-1238.490856,200,26.547656
-941.182322,200,27.477152
-1350.813604,200,28.391202
-1548.319932,200,29.235077
-1495.240994,200,30.14399
-1517.629118,200,31.051256
-131.099983,200,31.960005
-241.521995,200,32.804274
-360.426905,200,33.673594
-130.575427,200,34.509568
-252.221289,200,35.340489
-2.322992,200,36.229237
-254.715608,200,37.193884
-253.634953,200,38.082864
-419.602912,200,38.918481
-128.762232,200,39.787002
-119.50183,200,40.655619
-0.14911,200,41.624201
-259.179995,200,42.530203
-412.970238,200,43.40033
-255.727577,200,44.26886
-0.119233,200,45.147958
-264.496271,200,46.01355
-239.680076,200,46.914861
-249.999712,200,47.771619
-121.421329,200,48.619199
-375.19342,200,49.463871
-401.740117,200,50.291855
-375.054382,200,51.201325
-0.09596,200,52.09309
-241.382311,200,52.942186
-129.754439,200,53.782805
-132.169482,200,54.629469
-3.289261,200,55.457716
-414.715295,200,56.35036
-130.391732,200,57.19672
-382.497536,200,58.062796
-0.196538,200,58.899537
-127.311238,200,59.770711
-127.510934,200,60.631289
-497.20445,200,61.556681
-254.321522,200,62.410022
-420.028184,200,63.257816
-2.908274,200,64.105493
-259.35243,200,64.967275
-131.140639,200,65.802644
-126.559775,200,66.723492
-249.742236,200,67.562441
-125.852337,200,68.422512
-128.081532,200,69.281985
-368.270667,200,70.135752
-375.364618,200,71.003416
-377.804033,200,71.966626
-127.52617,200,72.82935
-590.028254,200,73.712987
-0.513818,200,74.74394
-129.263495,200,75.710351
-126.765066,200,76.651028
-248.043143,200,77.54171
-0.556492,200,78.445483
-460.764518,200,79.553975
-430.613404,200,80.664356
-264.886737,200,81.631486
-0.353888,200,82.514318
-121.078481,200,83.418812
-251.377247,200,84.385823
-257.069648,200,85.345263
-124.926059,200,86.332328
-125.177967,200,87.284412
