#{"t_start": 1573430396.334059, "env_id": "Pendulum-v0"}
r,l,t
-1091.559173,200,1.621589
-1652.947343,200,3.048031
-1497.482206,200,3.826577
-1525.071195,200,4.520909
-1524.002987,200,5.263843
-1512.226136,200,5.982016
-1481.957828,200,6.715354
-1808.132298,200,7.376029
-1685.446685,200,8.037758
-1828.391204,200,8.70675
-1537.297006,200,9.510132
-1508.125515,200,10.284946
-1501.284868,200,11.040134
-1513.10592,200,11.836329
-1405.720447,200,12.627373
-1503.253127,200,13.400115
-1392.214037,200,14.10931
-1476.95359,200,14.838863
-1334.69331,200,15.656672
-1421.188462,200,16.401048
-1235.268557,200,17.161107
-1122.28494,200,17.8134
-912.077303,200,18.487189
-1499.54058,200,19.247247
-1106.422882,200,20.079487
-1070.622854,200,20.96689
-1111.826163,200,22.023407
-1074.351236,200,22.835212
-1158.092058,200,23.625397
-1141.826794,200,24.515071
-1081.815124,200,25.334733
-1047.453774,200,26.237687
-1147.404561,200,26.989732
-1499.755728,200,27.681789
-922.362708,200,28.358365
-983.271931,200,29.126064
-1058.849452,200,29.884749
-962.2105,200,30.643452
-972.448941,200,31.444896
-884.929776,200,32.186941
-902.10357,200,32.890138
-888.580621,200,33.575293
-780.08364,200,34.249155
-885.25676,200,35.000079
-899.733767,200,35.804178
-934.410816,200,36.602563
-968.966364,200,37.35387
-1013.585743,200,38.041908
-934.302095,200,38.831368
-1052.217962,200,39.615546
-930.348065,200,40.397041
-919.535392,200,41.130645
-914.050855,200,41.873263
-926.901341,200,42.613043
-922.797468,200,43.346516
-1032.608026,200,44.047029
-1021.562853,200,44.736134
-1019.423267,200,45.592227
-1104.749195,200,46.294165
-934.103626,200,46.942893
-900.100283,200,47.616365
-789.891474,200,48.366294
-903.785663,200,49.084054
-907.156521,200,49.867538
-896.561059,200,50.657076
-799.742111,200,51.408146
-928.893188,200,52.158969
-880.74011,200,52.906018
-926.876573,200,53.627762
-923.698823,200,54.358041
-905.420791,200,55.081365
-919.256598,200,55.861335
-901.90473,200,56.587717
-980.864347,200,57.295031
-917.479966,200,58.018125
-1018.577825,200,58.737031
-1005.581629,200,59.439515
-914.29403,200,60.248565
-904.701076,200,60.950978
-905.140952,200,61.665708
-778.93085,200,62.43075
-892.916331,200,63.189363
-900.541669,200,63.900377
-886.79657,200,64.634503
-886.635885,200,65.404875
-880.162959,200,66.144438
-1010.488237,200,66.864229
-1026.923963,200,67.576546
-776.321434,200,68.303528
-918.658299,200,69.045696
-895.987206,200,69.767926
-905.683368,200,70.545011
-890.348486,200,71.268905
-860.811717,200,72.00856
-904.494017,200,72.708471
-871.014567,200,73.430331
-888.344191,200,74.135164
-766.117867,200,74.876993
-969.888799,200,75.605314
-895.162415,200,76.281399
-776.161272,200,76.98377
-876.243722,200,77.701502
-770.404395,200,78.389713
-864.180302,200,79.127316
-902.815709,200,79.865636
-793.094241,200,80.719824
-850.761119,200,81.467029
-816.929548,200,82.199362
-765.953962,200,83.017127
-751.875176,200,83.884705
-690.481603,200,84.644505
-644.643645,200,85.419774
-798.645326,200,86.188217
-656.730827,200,86.974936
-643.752948,200,87.865183
-763.996823,200,88.76374
-771.550054,200,89.729429
-253.258772,200,90.545838
-237.065419,200,91.255598
-126.94421,200,92.015432
-127.773081,200,92.849553
-248.819101,200,93.684972
-767.985087,200,94.426386
-125.993784,200,95.252663
-126.704332,200,95.996489
-251.312428,200,96.719099
-129.246417,200,97.452012
-253.627713,200,98.288329
-129.282812,200,99.173938
-119.6475,200,100.335346
-644.422959,200,101.132826
-126.046422,200,101.93956
-349.205822,200,102.796714
-629.325302,200,103.608937
-125.504338,200,104.444983
-776.149839,200,105.37034
-246.460606,200,106.151579
-372.32207,200,106.957328
-125.188401,200,107.729072
-131.356547,200,108.637816
-1.265034,200,109.618112
-123.656687,200,110.83995
-129.434459,200,112.169982
