mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-107.96919868287632,ee85e0f6,0,27.3827645778656,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-15_23-29-32,1573860572,27.3827645778656,13300,213cedb5f1ad,172.18.0.3,27.3827645778656,0,1
-137.76054783026007,ee85e0f6,1,1038.8212308883667,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-15_23-46-51,1573861611,1066.2039954662323,13300,213cedb5f1ad,172.18.0.3,1066.2039954662323,0,2
-105.3859938695497,ee85e0f6,2,1039.5518810749054,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_00-04-11,1573862651,2105.7558765411377,13300,213cedb5f1ad,172.18.0.3,2105.7558765411377,0,3
-116.21698175829329,ee85e0f6,3,1027.9313049316406,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_00-21-18,1573863678,3133.6871814727783,13300,213cedb5f1ad,172.18.0.3,3133.6871814727783,0,4
-123.20406772000031,ee85e0f6,4,1015.783590555191,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_00-38-14,1573864694,4149.470772027969,13300,213cedb5f1ad,172.18.0.3,4149.470772027969,0,5
-109.73294749074553,ee85e0f6,5,985.9696323871613,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_00-54-40,1573865680,5135.440404415131,13300,213cedb5f1ad,172.18.0.3,5135.440404415131,0,6
-127.94376396866369,ee85e0f6,6,986.9599540233612,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_01-11-07,1573866667,6122.400358438492,13300,213cedb5f1ad,172.18.0.3,6122.400358438492,0,7
-104.58327409373369,ee85e0f6,7,988.7513175010681,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_01-27-36,1573867656,7111.15167593956,13300,213cedb5f1ad,172.18.0.3,7111.15167593956,0,8
-110.96433503315644,ee85e0f6,8,1001.5274586677551,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_01-44-17,1573868657,8112.679134607315,13300,213cedb5f1ad,172.18.0.3,8112.679134607315,0,9
-102.69991289464167,ee85e0f6,9,1001.5198788642883,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_02-00-59,1573869659,9114.199013471603,13300,213cedb5f1ad,172.18.0.3,9114.199013471603,0,10
-97.21134786550287,ee85e0f6,10,995.3103713989258,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_02-17-34,1573870654,10109.50938487053,13300,213cedb5f1ad,172.18.0.3,10109.50938487053,0,11
-100.35034226615385,ee85e0f6,11,989.9948003292084,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_02-34-04,1573871644,11099.504185199738,13300,213cedb5f1ad,172.18.0.3,11099.504185199738,0,12
-100.22940665896238,ee85e0f6,12,1025.2888023853302,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_02-51-10,1573872670,12124.792987585068,13300,213cedb5f1ad,172.18.0.3,12124.792987585068,0,13
-103.09449837137926,ee85e0f6,13,1038.8507180213928,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_03-08-28,1573873708,13163.64370560646,13300,213cedb5f1ad,172.18.0.3,13163.64370560646,0,14
-153.65715964524077,ee85e0f6,14,1014.552460193634,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_03-25-23,1573874723,14178.196165800095,13300,213cedb5f1ad,172.18.0.3,14178.196165800095,0,15
-137.2027297054495,ee85e0f6,15,1009.0516030788422,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_03-42-12,1573875732,15187.247768878937,13300,213cedb5f1ad,172.18.0.3,15187.247768878937,0,16
-39.98630568638301,ee85e0f6,16,1035.9123229980469,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_03-59-28,1573876768,16223.160091876984,13300,213cedb5f1ad,172.18.0.3,16223.160091876984,0,17
-46.016465386607116,ee85e0f6,17,1034.6265301704407,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_04-16-43,1573877803,17257.786622047424,13300,213cedb5f1ad,172.18.0.3,17257.786622047424,0,18
-110.72617300169058,ee85e0f6,18,1011.1466047763824,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_04-33-34,1573878814,18268.933226823807,13300,213cedb5f1ad,172.18.0.3,18268.933226823807,0,19
-58.559163533693436,ee85e0f6,19,1032.680324792862,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_04-50-46,1573879846,19301.61355161667,13300,213cedb5f1ad,172.18.0.3,19301.61355161667,0,20
-86.81606169905528,ee85e0f6,20,1023.9389863014221,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_05-07-50,1573880870,20325.55253791809,13300,213cedb5f1ad,172.18.0.3,20325.55253791809,0,21
-101.769386465622,ee85e0f6,21,1010.8839869499207,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_05-24-41,1573881881,21336.43652486801,13300,213cedb5f1ad,172.18.0.3,21336.43652486801,0,22
-100.39282481413045,ee85e0f6,22,1008.4398064613342,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_05-41-30,1573882890,22344.876331329346,13300,213cedb5f1ad,172.18.0.3,22344.876331329346,0,23
-120.79698666287793,ee85e0f6,23,1014.8346226215363,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_05-58-25,1573883905,23359.710953950882,13300,213cedb5f1ad,172.18.0.3,23359.710953950882,0,24
-96.49083801868143,ee85e0f6,24,1018.5171039104462,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_06-15-23,1573884923,24378.228057861328,13300,213cedb5f1ad,172.18.0.3,24378.228057861328,0,25
-112.88875364727092,ee85e0f6,25,1002.6669533252716,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_06-32-06,1573885926,25380.8950111866,13300,213cedb5f1ad,172.18.0.3,25380.8950111866,0,26
-118.00636786706993,ee85e0f6,26,1000.1414303779602,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_06-48-46,1573886926,26381.03644156456,13300,213cedb5f1ad,172.18.0.3,26381.03644156456,0,27
-127.89757732902433,ee85e0f6,27,998.1877586841583,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_07-05-24,1573887924,27379.22420024872,13300,213cedb5f1ad,172.18.0.3,27379.22420024872,0,28
1.3791187859340444,ee85e0f6,28,1022.0303201675415,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_07-22-26,1573888946,28401.25452041626,13300,213cedb5f1ad,172.18.0.3,28401.25452041626,0,29
-115.50807845365541,ee85e0f6,29,1014.8990478515625,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_07-39-21,1573889961,29416.153568267822,13300,213cedb5f1ad,172.18.0.3,29416.153568267822,0,30
-47.003287619776096,ee85e0f6,30,1026.752435207367,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_07-56-28,1573890988,30442.90600347519,13300,213cedb5f1ad,172.18.0.3,30442.90600347519,0,31
-43.45593370418879,ee85e0f6,31,1015.5413312911987,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_08-13-23,1573892003,31458.447334766388,13300,213cedb5f1ad,172.18.0.3,31458.447334766388,0,32
-63.843463381444685,ee85e0f6,32,1017.8920214176178,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_08-30-21,1573893021,32476.339356184006,13300,213cedb5f1ad,172.18.0.3,32476.339356184006,0,33
145.0436230857974,ee85e0f6,33,1026.951400756836,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_08-47-28,1573894048,33503.29075694084,13300,213cedb5f1ad,172.18.0.3,33503.29075694084,0,34
-38.482689409154574,ee85e0f6,34,1023.9943652153015,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_09-04-32,1573895072,34527.28512215614,13300,213cedb5f1ad,172.18.0.3,34527.28512215614,0,35
-49.20642219285728,ee85e0f6,35,1002.5650312900543,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_09-21-15,1573896075,35529.8501534462,13300,213cedb5f1ad,172.18.0.3,35529.8501534462,0,36
-58.062320321479206,ee85e0f6,36,1002.893373966217,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_09-37-58,1573897078,36532.743527412415,13300,213cedb5f1ad,172.18.0.3,36532.743527412415,0,37
63.222528833458426,ee85e0f6,37,1020.2284862995148,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_09-54-58,1573898098,37552.97201371193,13300,213cedb5f1ad,172.18.0.3,37552.97201371193,0,38
64.1978317405992,ee85e0f6,38,1016.463475227356,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_10-11-54,1573899114,38569.435488939285,13300,213cedb5f1ad,172.18.0.3,38569.435488939285,0,39
-98.19141058727187,ee85e0f6,39,1006.9019038677216,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_10-28-41,1573900121,39576.33739280701,13300,213cedb5f1ad,172.18.0.3,39576.33739280701,0,40
-126.3375544637899,ee85e0f6,40,993.9458265304565,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_10-45-15,1573901115,40570.28321933746,13300,213cedb5f1ad,172.18.0.3,40570.28321933746,0,41
-128.95044397809127,ee85e0f6,41,984.3418035507202,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_11-01-39,1573902099,41554.62502288818,13300,213cedb5f1ad,172.18.0.3,41554.62502288818,0,42
-60.78729696330049,ee85e0f6,42,1008.7263035774231,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_11-18-28,1573903108,42563.35132646561,13300,213cedb5f1ad,172.18.0.3,42563.35132646561,0,43
-93.58649155433757,ee85e0f6,43,1010.6512641906738,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_11-35-19,1573904119,43574.00259065628,13300,213cedb5f1ad,172.18.0.3,43574.00259065628,0,44
-90.6785630246523,ee85e0f6,44,1005.880651473999,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_11-52-05,1573905125,44579.88324213028,13300,213cedb5f1ad,172.18.0.3,44579.88324213028,0,45
-84.46666242943273,ee85e0f6,45,1011.8216373920441,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_12-08-57,1573906137,45591.70487952232,13300,213cedb5f1ad,172.18.0.3,45591.70487952232,0,46
-95.76625459634643,ee85e0f6,46,1017.2159671783447,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_12-25-54,1573907154,46608.92084670067,13300,213cedb5f1ad,172.18.0.3,46608.92084670067,0,47
-102.40782667574109,ee85e0f6,47,1004.0966951847076,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_12-42-38,1573908158,47613.017541885376,13300,213cedb5f1ad,172.18.0.3,47613.017541885376,0,48
-84.40214169377118,ee85e0f6,48,971.1469886302948,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_12-58-49,1573909129,48584.16453051567,13300,213cedb5f1ad,172.18.0.3,48584.16453051567,0,49
-50.29665321891724,ee85e0f6,49,965.6857120990753,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_13-14-55,1573910095,49549.850242614746,13300,213cedb5f1ad,172.18.0.3,49549.850242614746,0,50
-64.0610775359796,ee85e0f6,50,984.2912449836731,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_13-31-19,1573911079,50534.14148759842,13300,213cedb5f1ad,172.18.0.3,50534.14148759842,0,51
-100.01200102301904,ee85e0f6,51,938.5472712516785,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_13-46-57,1573912017,51472.6887588501,13300,213cedb5f1ad,172.18.0.3,51472.6887588501,0,52
-55.35269533460246,ee85e0f6,52,955.1047940254211,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_14-02-53,1573912973,52427.79355287552,13300,213cedb5f1ad,172.18.0.3,52427.79355287552,0,53
-106.69965288451375,ee85e0f6,53,921.1887149810791,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_14-18-14,1573913894,53348.9822678566,13300,213cedb5f1ad,172.18.0.3,53348.9822678566,0,54
-105.21811698205188,ee85e0f6,54,925.4998509883881,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_14-33-39,1573914819,54274.482118844986,13300,213cedb5f1ad,172.18.0.3,54274.482118844986,0,55
-78.61554944279727,ee85e0f6,55,924.3018293380737,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_14-49-04,1573915744,55198.78394818306,13300,213cedb5f1ad,172.18.0.3,55198.78394818306,0,56
-65.66096050412338,ee85e0f6,56,938.0212597846985,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_15-04-42,1573916682,56136.80520796776,13300,213cedb5f1ad,172.18.0.3,56136.80520796776,0,57
-60.16910443292491,ee85e0f6,57,952.6126897335052,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_15-20-34,1573917634,57089.41789770126,13300,213cedb5f1ad,172.18.0.3,57089.41789770126,0,58
-95.63796911798873,ee85e0f6,58,933.3855466842651,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_15-36-08,1573918568,58022.80344438553,13300,213cedb5f1ad,172.18.0.3,58022.80344438553,0,59
-95.77258301440206,ee85e0f6,59,927.7899339199066,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_15-51-35,1573919495,58950.593378305435,13300,213cedb5f1ad,172.18.0.3,58950.593378305435,0,60
-75.88030874201577,ee85e0f6,60,932.7657289505005,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_16-07-08,1573920428,59883.359107255936,13300,213cedb5f1ad,172.18.0.3,59883.359107255936,0,61
-83.82871205334999,ee85e0f6,61,916.7125282287598,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_16-22-25,1573921345,60800.071635484695,13300,213cedb5f1ad,172.18.0.3,60800.071635484695,0,62
-37.53645768066763,ee85e0f6,62,941.9403495788574,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_16-38-07,1573922287,61742.01198506355,13300,213cedb5f1ad,172.18.0.3,61742.01198506355,0,63
-43.141295060450965,ee85e0f6,63,919.7880384922028,False,,,9613d6ef274742ec9ac48722e8afab63,2019-11-16_16-53-27,1573923207,62661.800023555756,13300,213cedb5f1ad,172.18.0.3,62661.800023555756,0,64
