mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-89.70933225296339,ee87308c,0,38.59961438179016,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-15_23-47-49,1573861669,38.59961438179016,13876,213cedb5f1ad,172.18.0.3,38.59961438179016,0,1
-111.41743930999355,ee87308c,1,2075.773225545883,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_00-22-25,1573863745,2114.3728399276733,13876,213cedb5f1ad,172.18.0.3,2114.3728399276733,0,2
-109.6969144717987,ee87308c,2,2008.3565180301666,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_00-55-54,1573865754,4122.72935795784,13876,213cedb5f1ad,172.18.0.3,4122.72935795784,0,3
-116.01648326208219,ee87308c,3,1971.960611820221,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_01-28-46,1573867726,6094.689969778061,13876,213cedb5f1ad,172.18.0.3,6094.689969778061,0,4
-120.38045327828245,ee87308c,4,1953.0755298137665,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_02-01-19,1573869679,8047.765499591827,13876,213cedb5f1ad,172.18.0.3,8047.765499591827,0,5
-138.9610407275712,ee87308c,5,1971.3796966075897,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_02-34-10,1573871650,10019.145196199417,13876,213cedb5f1ad,172.18.0.3,10019.145196199417,0,6
-113.91558428260747,ee87308c,6,1999.777421951294,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_03-07-30,1573873650,12018.922618150711,13876,213cedb5f1ad,172.18.0.3,12018.922618150711,0,7
-135.25484184374616,ee87308c,7,2001.9465324878693,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_03-40-52,1573875652,14020.86915063858,13876,213cedb5f1ad,172.18.0.3,14020.86915063858,0,8
-126.08667647970715,ee87308c,8,1994.355108499527,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_04-14-06,1573877646,16015.224259138107,13876,213cedb5f1ad,172.18.0.3,16015.224259138107,0,9
-123.08560969866937,ee87308c,9,2004.4924056529999,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_04-47-31,1573879651,18019.716664791107,13876,213cedb5f1ad,172.18.0.3,18019.716664791107,0,10
-99.41775246955372,ee87308c,10,2001.1635003089905,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_05-20-52,1573881652,20020.880165100098,13876,213cedb5f1ad,172.18.0.3,20020.880165100098,0,11
-129.3454966642805,ee87308c,11,1995.1206560134888,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_05-54-07,1573883647,22016.000821113586,13876,213cedb5f1ad,172.18.0.3,22016.000821113586,0,12
-99.62975345031793,ee87308c,12,2048.2645559310913,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_06-28-15,1573885695,24064.265377044678,13876,213cedb5f1ad,172.18.0.3,24064.265377044678,0,13
-65.62164725412059,ee87308c,13,2028.9038035869598,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_07-02-04,1573887724,26093.169180631638,13876,213cedb5f1ad,172.18.0.3,26093.169180631638,0,14
-95.22371690174113,ee87308c,14,2013.1688616275787,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_07-35-37,1573889737,28106.338042259216,13876,213cedb5f1ad,172.18.0.3,28106.338042259216,0,15
-93.35552056857205,ee87308c,15,2009.535155057907,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_08-09-07,1573891747,30115.873197317123,13876,213cedb5f1ad,172.18.0.3,30115.873197317123,0,16
-116.81313016954941,ee87308c,16,1984.0902454853058,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_08-42-11,1573893731,32099.96344280243,13876,213cedb5f1ad,172.18.0.3,32099.96344280243,0,17
-95.60126321692458,ee87308c,17,1996.249022245407,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_09-15-27,1573895727,34096.212465047836,13876,213cedb5f1ad,172.18.0.3,34096.212465047836,0,18
-94.25902381702055,ee87308c,18,1953.636267900467,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_09-48-01,1573897681,36049.8487329483,13876,213cedb5f1ad,172.18.0.3,36049.8487329483,0,19
-117.9486689294945,ee87308c,19,1949.530688047409,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_10-20-30,1573899630,37999.37942099571,13876,213cedb5f1ad,172.18.0.3,37999.37942099571,0,20
-113.36981086123735,ee87308c,20,1956.0925860404968,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_10-53-06,1573901586,39955.47200703621,13876,213cedb5f1ad,172.18.0.3,39955.47200703621,0,21
-112.27432020100207,ee87308c,21,1970.9105761051178,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_11-25-57,1573903557,41926.38258314133,13876,213cedb5f1ad,172.18.0.3,41926.38258314133,0,22
-112.40192160394021,ee87308c,22,1951.0822591781616,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_11-58-28,1573905508,43877.46484231949,13876,213cedb5f1ad,172.18.0.3,43877.46484231949,0,23
-91.03559097141006,ee87308c,23,1958.0473322868347,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_12-31-06,1573907466,45835.51217460632,13876,213cedb5f1ad,172.18.0.3,45835.51217460632,0,24
-104.14518165868792,ee87308c,24,1905.8929245471954,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_13-02-52,1573909372,47741.40509915352,13876,213cedb5f1ad,172.18.0.3,47741.40509915352,0,25
-123.32545502723052,ee87308c,25,1895.2804272174835,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_13-34-28,1573911268,49636.685526371,13876,213cedb5f1ad,172.18.0.3,49636.685526371,0,26
-94.78588372820018,ee87308c,26,1833.466301202774,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_14-05-01,1573913101,51470.151827573776,13876,213cedb5f1ad,172.18.0.3,51470.151827573776,0,27
-105.36485995868453,ee87308c,27,1816.246055841446,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_14-35-17,1573914917,53286.39788341522,13876,213cedb5f1ad,172.18.0.3,53286.39788341522,0,28
-132.65208629618851,ee87308c,28,1820.0521914958954,False,,,e8bba4141e894c0eac085e90c4f1a905,2019-11-16_15-05-37,1573916737,55106.45007491112,13876,213cedb5f1ad,172.18.0.3,55106.45007491112,0,29
