mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-105.20034687423122,ee7247c6,0,33.875617027282715,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-26-37,1573809997,33.875617027282715,273,213cedb5f1ad,172.18.0.3,33.875617027282715,0,1
-88.60533030521901,ee7247c6,1,312.76560521125793,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-31-50,1573810310,346.64122223854065,273,213cedb5f1ad,172.18.0.3,346.64122223854065,0,2
-107.66987266590083,ee7247c6,2,292.3820044994354,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-36-42,1573810602,639.0232267379761,273,213cedb5f1ad,172.18.0.3,639.0232267379761,0,3
-108.4820436413385,ee7247c6,3,282.0841016769409,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-41-24,1573810884,921.107328414917,273,213cedb5f1ad,172.18.0.3,921.107328414917,0,4
-87.1535693455311,ee7247c6,4,319.2765293121338,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-46-43,1573811203,1240.3838577270508,273,213cedb5f1ad,172.18.0.3,1240.3838577270508,0,5
-96.3693788642734,ee7247c6,5,297.69744849205017,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-51-41,1573811501,1538.081306219101,273,213cedb5f1ad,172.18.0.3,1538.081306219101,0,6
-89.24793266907062,ee7247c6,6,298.36354756355286,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_09-56-39,1573811799,1836.4448537826538,273,213cedb5f1ad,172.18.0.3,1836.4448537826538,0,7
-28.311325165009606,ee7247c6,7,317.0482747554779,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-01-56,1573812116,2153.4931285381317,273,213cedb5f1ad,172.18.0.3,2153.4931285381317,0,8
-96.31728240491587,ee7247c6,8,297.0553779602051,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-06-53,1573812413,2450.548506498337,273,213cedb5f1ad,172.18.0.3,2450.548506498337,0,9
-110.29949950425585,ee7247c6,9,285.6027810573578,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-11-39,1573812699,2736.1512875556946,273,213cedb5f1ad,172.18.0.3,2736.1512875556946,0,10
-82.94179681001849,ee7247c6,10,321.7012782096863,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-17-01,1573813021,3057.852565765381,273,213cedb5f1ad,172.18.0.3,3057.852565765381,0,11
-109.23653656881174,ee7247c6,11,294.5665211677551,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-21-55,1573813315,3352.419086933136,273,213cedb5f1ad,172.18.0.3,3352.419086933136,0,12
-88.08220070242805,ee7247c6,12,311.8688180446625,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-27-07,1573813627,3664.2879049777985,273,213cedb5f1ad,172.18.0.3,3664.2879049777985,0,13
-110.9809755929099,ee7247c6,13,286.76785230636597,False,,,18aa11f894434672a02e670e95356ea1,2019-11-15_10-31-54,1573813914,3951.0557572841644,273,213cedb5f1ad,172.18.0.3,3951.0557572841644,0,14
