mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-115.70206756197196,ee738320,0,4.495683908462524,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_09-26-08,1573809968,4.495683908462524,290,213cedb5f1ad,172.18.0.3,4.495683908462524,0,1
-118.75144286669325,ee738320,1,1013.2491834163666,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_09-43-01,1573810981,1017.7448673248291,290,213cedb5f1ad,172.18.0.3,1017.7448673248291,0,2
-82.63494662739721,ee738320,2,1011.2427542209625,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_09-59-52,1573811992,2028.9876215457916,290,213cedb5f1ad,172.18.0.3,2028.9876215457916,0,3
-112.30354775544039,ee738320,3,982.318977355957,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_10-16-14,1573812974,3011.3065989017487,290,213cedb5f1ad,172.18.0.3,3011.3065989017487,0,4
-118.30419056674073,ee738320,4,1015.3092346191406,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_10-33-10,1573813990,4026.6158335208893,290,213cedb5f1ad,172.18.0.3,4026.6158335208893,0,5
-87.49603196231158,ee738320,5,1059.1579957008362,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_10-50-49,1573815049,5085.7738292217255,290,213cedb5f1ad,172.18.0.3,5085.7738292217255,0,6
-111.39187805460828,ee738320,6,927.8020651340485,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_11-06-17,1573815977,6013.575894355774,290,213cedb5f1ad,172.18.0.3,6013.575894355774,0,7
-110.81374606845905,ee738320,7,916.0852437019348,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_11-21-33,1573816893,6929.661138057709,290,213cedb5f1ad,172.18.0.3,6929.661138057709,0,8
-104.92320287115831,ee738320,8,906.3634688854218,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_11-36-39,1573817799,7836.0246069431305,290,213cedb5f1ad,172.18.0.3,7836.0246069431305,0,9
-111.8744462611042,ee738320,9,912.3128960132599,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_11-51-52,1573818712,8748.33750295639,290,213cedb5f1ad,172.18.0.3,8748.33750295639,0,10
-99.8323164292758,ee738320,10,912.2879178524017,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_12-07-04,1573819624,9660.625420808792,290,213cedb5f1ad,172.18.0.3,9660.625420808792,0,11
-96.70337827625,ee738320,11,913.8327984809875,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_12-22-18,1573820538,10574.45821928978,290,213cedb5f1ad,172.18.0.3,10574.45821928978,0,12
-102.88776101993386,ee738320,12,904.7858595848083,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_12-37-22,1573821442,11479.244078874588,290,213cedb5f1ad,172.18.0.3,11479.244078874588,0,13
-96.60705761318376,ee738320,13,905.3317906856537,False,,,6796c8346dd24704b2254297473daea1,2019-11-15_12-52-28,1573822348,12384.575869560242,290,213cedb5f1ad,172.18.0.3,12384.575869560242,0,14
