mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-164.5061139963243,ee78cba0,0,20.427663564682007,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_09-26-24,1573809984,20.427663564682007,280,213cedb5f1ad,172.18.0.3,20.427663564682007,0,1
-107.36625626967816,ee78cba0,1,553.9587602615356,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_09-35-38,1573810538,574.3864238262177,280,213cedb5f1ad,172.18.0.3,574.3864238262177,0,2
-112.45479125368861,ee78cba0,2,545.1292383670807,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_09-44-43,1573811083,1119.5156621932983,280,213cedb5f1ad,172.18.0.3,1119.5156621932983,0,3
-100.66273210036572,ee78cba0,3,565.7761790752411,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_09-54-09,1573811649,1685.2918412685394,280,213cedb5f1ad,172.18.0.3,1685.2918412685394,0,4
-92.39456527312022,ee78cba0,4,578.5747857093811,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-03-48,1573812228,2263.8666269779205,280,213cedb5f1ad,172.18.0.3,2263.8666269779205,0,5
-117.18381855901725,ee78cba0,5,546.2457888126373,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-12-54,1573812774,2810.112415790558,280,213cedb5f1ad,172.18.0.3,2810.112415790558,0,6
-153.286211599418,ee78cba0,6,562.245201587677,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-22-16,1573813336,3372.357617378235,280,213cedb5f1ad,172.18.0.3,3372.357617378235,0,7
-101.58998830146383,ee78cba0,7,552.4275808334351,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-31-29,1573813889,3924.78519821167,280,213cedb5f1ad,172.18.0.3,3924.78519821167,0,8
-110.4455051690252,ee78cba0,8,551.9943346977234,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-40-41,1573814441,4476.779532909393,280,213cedb5f1ad,172.18.0.3,4476.779532909393,0,9
-113.191314616616,ee78cba0,9,548.775050163269,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-49-49,1573814989,5025.554583072662,280,213cedb5f1ad,172.18.0.3,5025.554583072662,0,10
-104.29185407815078,ee78cba0,10,508.2860338687897,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_10-58-18,1573815498,5533.840616941452,280,213cedb5f1ad,172.18.0.3,5533.840616941452,0,11
-110.70684848871082,ee78cba0,11,486.79976415634155,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-06-25,1573815985,6020.640381097794,280,213cedb5f1ad,172.18.0.3,6020.640381097794,0,12
-104.67701220425674,ee78cba0,12,486.54975867271423,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-14-31,1573816471,6507.190139770508,280,213cedb5f1ad,172.18.0.3,6507.190139770508,0,13
-94.60706474921558,ee78cba0,13,496.143061876297,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-22-47,1573816967,7003.333201646805,280,213cedb5f1ad,172.18.0.3,7003.333201646805,0,14
-84.41990231081122,ee78cba0,14,510.50279569625854,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-31-18,1573817478,7513.835997343063,280,213cedb5f1ad,172.18.0.3,7513.835997343063,0,15
-121.94665624404756,ee78cba0,15,483.8878936767578,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-39-22,1573817962,7997.723891019821,280,213cedb5f1ad,172.18.0.3,7997.723891019821,0,16
-88.23109192216589,ee78cba0,16,504.04707527160645,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-47-46,1573818466,8501.770966291428,280,213cedb5f1ad,172.18.0.3,8501.770966291428,0,17
-85.19020704476044,ee78cba0,17,497.0628957748413,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_11-56-03,1573818963,8998.833862066269,280,213cedb5f1ad,172.18.0.3,8998.833862066269,0,18
-65.40649570940407,ee78cba0,18,503.9791133403778,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-04-27,1573819467,9502.812975406647,280,213cedb5f1ad,172.18.0.3,9502.812975406647,0,19
-62.341977599808864,ee78cba0,19,503.7116389274597,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-12-50,1573819970,10006.524614334106,280,213cedb5f1ad,172.18.0.3,10006.524614334106,0,20
-3.845324099544856,ee78cba0,20,511.26124930381775,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-21-22,1573820482,10517.785863637924,280,213cedb5f1ad,172.18.0.3,10517.785863637924,0,21
-34.64036726728653,ee78cba0,21,503.9081606864929,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-29-46,1573820986,11021.694024324417,280,213cedb5f1ad,172.18.0.3,11021.694024324417,0,22
-115.48351606113211,ee78cba0,22,492.89946961402893,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-37-58,1573821478,11514.593493938446,280,213cedb5f1ad,172.18.0.3,11514.593493938446,0,23
-122.54525836214258,ee78cba0,23,487.8946752548218,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-46-06,1573821966,12002.488169193268,280,213cedb5f1ad,172.18.0.3,12002.488169193268,0,24
-122.93666937714609,ee78cba0,24,487.3865828514099,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_12-54-14,1573822454,12489.874752044678,280,213cedb5f1ad,172.18.0.3,12489.874752044678,0,25
-77.6495885485088,ee78cba0,25,497.2312512397766,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_13-02-31,1573822951,12987.106003284454,280,213cedb5f1ad,172.18.0.3,12987.106003284454,0,26
-106.23738385338078,ee78cba0,26,489.9945373535156,False,,,bef4c19cd28c419987d5b844b51bdae2,2019-11-15_13-10-41,1573823441,13477.10054063797,280,213cedb5f1ad,172.18.0.3,13477.10054063797,0,27
