mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-119.0132759523135,ee78fdc8,0,14.66527795791626,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_09-26-19,1573809979,14.66527795791626,222,213cedb5f1ad,172.18.0.3,14.66527795791626,0,1
-85.96552378214388,ee78fdc8,1,1006.6169390678406,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_09-43-05,1573810985,1021.2822170257568,222,213cedb5f1ad,172.18.0.3,1021.2822170257568,0,2
-82.81497258152648,ee78fdc8,2,1010.5328962802887,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_09-59-56,1573811996,2031.8151133060455,222,213cedb5f1ad,172.18.0.3,2031.8151133060455,0,3
-88.88523013512764,ee78fdc8,3,992.4977707862854,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_10-16-28,1573812988,3024.312884092331,222,213cedb5f1ad,172.18.0.3,3024.312884092331,0,4
-96.72208967966469,ee78fdc8,4,991.4201107025146,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_10-33-00,1573813980,4015.7329947948456,222,213cedb5f1ad,172.18.0.3,4015.7329947948456,0,5
-109.45506765088335,ee78fdc8,5,987.8352663516998,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_10-49-28,1573814968,5003.568261146545,222,213cedb5f1ad,172.18.0.3,5003.568261146545,0,6
-119.0806979150704,ee78fdc8,6,924.9827270507812,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_11-04-53,1573815893,5928.550988197327,222,213cedb5f1ad,172.18.0.3,5928.550988197327,0,7
-102.7178004635827,ee78fdc8,7,900.439727306366,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_11-19-53,1573816793,6828.990715503693,222,213cedb5f1ad,172.18.0.3,6828.990715503693,0,8
-101.09646018842443,ee78fdc8,8,898.3977117538452,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_11-34-51,1573817691,7727.388427257538,222,213cedb5f1ad,172.18.0.3,7727.388427257538,0,9
-101.43917012539733,ee78fdc8,9,898.3536124229431,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_11-49-50,1573818590,8625.742039680481,222,213cedb5f1ad,172.18.0.3,8625.742039680481,0,10
-110.30184500938073,ee78fdc8,10,896.7039275169373,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_12-04-47,1573819487,9522.445967197418,222,213cedb5f1ad,172.18.0.3,9522.445967197418,0,11
-102.61614108767463,ee78fdc8,11,900.3609471321106,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_12-19-47,1573820387,10422.806914329529,222,213cedb5f1ad,172.18.0.3,10422.806914329529,0,12
-103.47810460025424,ee78fdc8,12,897.0022871494293,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_12-34-44,1573821284,11319.809201478958,222,213cedb5f1ad,172.18.0.3,11319.809201478958,0,13
-97.93702933621603,ee78fdc8,13,911.1352648735046,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_12-49-55,1573822195,12230.944466352463,222,213cedb5f1ad,172.18.0.3,12230.944466352463,0,14
-103.73177074529707,ee78fdc8,14,903.0170369148254,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_13-04-58,1573823098,13133.961503267288,222,213cedb5f1ad,172.18.0.3,13133.961503267288,0,15
-95.80735956317676,ee78fdc8,15,904.8929924964905,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_13-20-03,1573824003,14038.854495763779,222,213cedb5f1ad,172.18.0.3,14038.854495763779,0,16
-106.29978911240512,ee78fdc8,16,900.6443622112274,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_13-35-04,1573824904,14939.498857975006,222,213cedb5f1ad,172.18.0.3,14939.498857975006,0,17
-99.27747982363526,ee78fdc8,17,902.9861586093903,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_13-50-07,1573825807,15842.485016584396,222,213cedb5f1ad,172.18.0.3,15842.485016584396,0,18
-103.25724438045872,ee78fdc8,18,900.4290313720703,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_14-05-07,1573826707,16742.914047956467,222,213cedb5f1ad,172.18.0.3,16742.914047956467,0,19
-81.49964481585039,ee78fdc8,19,914.4850618839264,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_14-20-21,1573827621,17657.399109840393,222,213cedb5f1ad,172.18.0.3,17657.399109840393,0,20
-94.12857481600469,ee78fdc8,20,902.2166812419891,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_14-35-24,1573828524,18559.615791082382,222,213cedb5f1ad,172.18.0.3,18559.615791082382,0,21
-106.71564701607099,ee78fdc8,21,899.0381014347076,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_14-50-23,1573829423,19458.65389251709,222,213cedb5f1ad,172.18.0.3,19458.65389251709,0,22
-97.81949406153963,ee78fdc8,22,925.7156739234924,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_15-05-48,1573830348,20384.369566440582,222,213cedb5f1ad,172.18.0.3,20384.369566440582,0,23
-104.36189525628895,ee78fdc8,23,908.8169257640839,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_15-20-57,1573831257,21293.186492204666,222,213cedb5f1ad,172.18.0.3,21293.186492204666,0,24
-99.89836489640804,ee78fdc8,24,903.7942280769348,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_15-36-01,1573832161,22196.9807202816,222,213cedb5f1ad,172.18.0.3,22196.9807202816,0,25
-81.66558667594907,ee78fdc8,25,910.3775219917297,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_15-51-11,1573833071,23107.35824227333,222,213cedb5f1ad,172.18.0.3,23107.35824227333,0,26
-88.59635734903158,ee78fdc8,26,912.4776401519775,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_16-06-24,1573833984,24019.83588242531,222,213cedb5f1ad,172.18.0.3,24019.83588242531,0,27
-108.52966048098646,ee78fdc8,27,890.9543173313141,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_16-21-15,1573834875,24910.790199756622,222,213cedb5f1ad,172.18.0.3,24910.790199756622,0,28
-144.6973371845186,ee78fdc8,28,930.0746443271637,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_16-36-45,1573835805,25840.864844083786,222,213cedb5f1ad,172.18.0.3,25840.864844083786,0,29
-104.57973680455497,ee78fdc8,29,901.4927971363068,False,,,98366cc5a9b14dc6b5bf5eb571113acb,2019-11-15_16-51-46,1573836706,26742.357641220093,222,213cedb5f1ad,172.18.0.3,26742.357641220093,0,30
