mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-112.42899707786087,ee7b4c86,0,34.52162003517151,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_09-26-39,1573809999,34.52162003517151,279,213cedb5f1ad,172.18.0.3,34.52162003517151,0,1
-66.26382393139113,ee7b4c86,1,1914.5757472515106,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_09-58-34,1573811914,1949.0973672866821,279,213cedb5f1ad,172.18.0.3,1949.0973672866821,0,2
-115.59949571686467,ee7b4c86,2,1896.024914741516,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_10-30-10,1573813810,3845.1222820281982,279,213cedb5f1ad,172.18.0.3,3845.1222820281982,0,3
-122.75164317131168,ee7b4c86,3,1885.9664239883423,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_11-01-36,1573815696,5731.0887060165405,279,213cedb5f1ad,172.18.0.3,5731.0887060165405,0,4
-103.03773729166794,ee7b4c86,4,1758.8556549549103,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_11-30-54,1573817454,7489.944360971451,279,213cedb5f1ad,172.18.0.3,7489.944360971451,0,5
-112.1964868054245,ee7b4c86,5,1758.937938451767,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_12-00-13,1573819213,9248.882299423218,279,213cedb5f1ad,172.18.0.3,9248.882299423218,0,6
-117.10650688095329,ee7b4c86,6,1758.8344039916992,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_12-29-32,1573820972,11007.716703414917,279,213cedb5f1ad,172.18.0.3,11007.716703414917,0,7
-107.71011938104239,ee7b4c86,7,1760.1908395290375,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_12-58-52,1573822732,12767.907542943954,279,213cedb5f1ad,172.18.0.3,12767.907542943954,0,8
-102.56329495275186,ee7b4c86,8,1768.2737662792206,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_13-28-21,1573824501,14536.181309223175,279,213cedb5f1ad,172.18.0.3,14536.181309223175,0,9
-106.26357400735476,ee7b4c86,9,1756.095366716385,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_13-57-37,1573826257,16292.27667593956,279,213cedb5f1ad,172.18.0.3,16292.27667593956,0,10
-112.09250692378708,ee7b4c86,10,1771.2659394741058,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_14-27-08,1573828028,18063.542615413666,279,213cedb5f1ad,172.18.0.3,18063.542615413666,0,11
-109.25706607289301,ee7b4c86,11,1760.0441060066223,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_14-56-28,1573829788,19823.586721420288,279,213cedb5f1ad,172.18.0.3,19823.586721420288,0,12
-110.07087284756722,ee7b4c86,12,1769.6457562446594,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_15-25-58,1573831558,21593.232477664948,279,213cedb5f1ad,172.18.0.3,21593.232477664948,0,13
-109.61650845214966,ee7b4c86,13,1766.5836472511292,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_15-55-24,1573833324,23359.816124916077,279,213cedb5f1ad,172.18.0.3,23359.816124916077,0,14
-107.1996572782296,ee7b4c86,14,1766.1784329414368,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_16-24-51,1573835091,25125.994557857513,279,213cedb5f1ad,172.18.0.3,25125.994557857513,0,15
-110.39402975755092,ee7b4c86,15,1763.1100444793701,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_16-54-14,1573836854,26889.104602336884,279,213cedb5f1ad,172.18.0.3,26889.104602336884,0,16
-99.82151001808607,ee7b4c86,16,1849.7950584888458,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_17-25-03,1573838703,28738.89966082573,279,213cedb5f1ad,172.18.0.3,28738.89966082573,0,17
-94.98384546213866,ee7b4c86,17,1911.5721740722656,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_17-56-55,1573840615,30650.471834897995,279,213cedb5f1ad,172.18.0.3,30650.471834897995,0,18
-76.94538659263661,ee7b4c86,18,1939.622359752655,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_18-29-15,1573842555,32590.09419465065,279,213cedb5f1ad,172.18.0.3,32590.09419465065,0,19
-70.77558483552777,ee7b4c86,19,1910.620661020279,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_19-01-05,1573844465,34500.71485567093,279,213cedb5f1ad,172.18.0.3,34500.71485567093,0,20
-75.69890029556488,ee7b4c86,20,1921.2557003498077,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_19-33-07,1573846387,36421.97055602074,279,213cedb5f1ad,172.18.0.3,36421.97055602074,0,21
-91.5435608634621,ee7b4c86,21,1936.5183300971985,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_20-05-23,1573848323,38358.488886117935,279,213cedb5f1ad,172.18.0.3,38358.488886117935,0,22
-94.29098746506001,ee7b4c86,22,1920.4885063171387,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_20-37-24,1573850244,40278.977392435074,279,213cedb5f1ad,172.18.0.3,40278.977392435074,0,23
-77.78214247707552,ee7b4c86,23,1907.8632473945618,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_21-09-11,1573852151,42186.840639829636,279,213cedb5f1ad,172.18.0.3,42186.840639829636,0,24
-105.21657812064069,ee7b4c86,24,1890.244491815567,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_21-40-42,1573854042,44077.0851316452,279,213cedb5f1ad,172.18.0.3,44077.0851316452,0,25
-106.51251948966313,ee7b4c86,25,1907.7805938720703,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_22-12-29,1573855949,45984.86572551727,279,213cedb5f1ad,172.18.0.3,45984.86572551727,0,26
-101.49588312940466,ee7b4c86,26,1896.5779855251312,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_22-44-06,1573857846,47881.443711042404,279,213cedb5f1ad,172.18.0.3,47881.443711042404,0,27
-106.00421426554824,ee7b4c86,27,1930.5870728492737,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_23-16-17,1573859777,49812.03078389168,279,213cedb5f1ad,172.18.0.3,49812.03078389168,0,28
-98.11103858626454,ee7b4c86,28,2042.0490913391113,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-15_23-50-19,1573861819,51854.07987523079,279,213cedb5f1ad,172.18.0.3,51854.07987523079,0,29
-115.04295453672732,ee7b4c86,29,2080.4669618606567,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_00-24-59,1573863899,53934.546837091446,279,213cedb5f1ad,172.18.0.3,53934.546837091446,0,30
-96.00528642904492,ee7b4c86,30,2008.4631896018982,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_00-58-28,1573865908,55943.010026693344,279,213cedb5f1ad,172.18.0.3,55943.010026693344,0,31
-93.82925134918332,ee7b4c86,31,1998.2101390361786,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_01-31-46,1573867906,57941.22016572952,279,213cedb5f1ad,172.18.0.3,57941.22016572952,0,32
-82.18471828688403,ee7b4c86,32,1987.6682658195496,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_02-04-53,1573869893,59928.88843154907,279,213cedb5f1ad,172.18.0.3,59928.88843154907,0,33
-95.83029204230725,ee7b4c86,33,2005.8674187660217,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_02-38-19,1573871899,61934.755850315094,279,213cedb5f1ad,172.18.0.3,61934.755850315094,0,34
-25.30021139797181,ee7b4c86,34,2037.4799222946167,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_03-12-17,1573873937,63972.23577260971,279,213cedb5f1ad,172.18.0.3,63972.23577260971,0,35
-157.9984410797694,ee7b4c86,35,2034.4059844017029,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_03-46-11,1573875971,66006.64175701141,279,213cedb5f1ad,172.18.0.3,66006.64175701141,0,36
-104.75435736076234,ee7b4c86,36,1993.8828434944153,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_04-19-25,1573877965,68000.52460050583,279,213cedb5f1ad,172.18.0.3,68000.52460050583,0,37
-99.02254781024435,ee7b4c86,37,2014.6511235237122,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_04-53-00,1573879980,70015.17572402954,279,213cedb5f1ad,172.18.0.3,70015.17572402954,0,38
-101.47805854463515,ee7b4c86,38,1984.3692882061005,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_05-26-04,1573881964,71999.54501223564,279,213cedb5f1ad,172.18.0.3,71999.54501223564,0,39
-100.96633827158435,ee7b4c86,39,1994.6813428401947,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_05-59-19,1573883959,73994.22635507584,279,213cedb5f1ad,172.18.0.3,73994.22635507584,0,40
-102.82803326471895,ee7b4c86,40,1994.9980170726776,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_06-32-34,1573885954,75989.22437214851,279,213cedb5f1ad,172.18.0.3,75989.22437214851,0,41
-87.03232358642806,ee7b4c86,41,1991.8242440223694,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_07-05-46,1573887946,77981.04861617088,279,213cedb5f1ad,172.18.0.3,77981.04861617088,0,42
-179.320662093593,ee7b4c86,42,2027.1027257442474,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_07-39-33,1573889973,80008.15134191513,279,213cedb5f1ad,172.18.0.3,80008.15134191513,0,43
-166.426198015904,ee7b4c86,43,2007.3530254364014,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_08-13-00,1573891980,82015.50436735153,279,213cedb5f1ad,172.18.0.3,82015.50436735153,0,44
-75.23741944498654,ee7b4c86,44,2019.4674994945526,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_08-46-40,1573894000,84034.97186684608,279,213cedb5f1ad,172.18.0.3,84034.97186684608,0,45
-98.68563414082706,ee7b4c86,45,2002.4749853610992,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_09-20-02,1573896002,86037.44685220718,279,213cedb5f1ad,172.18.0.3,86037.44685220718,0,46
-77.85593790996947,ee7b4c86,46,1991.7760517597198,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_09-53-14,1573897994,88029.2229039669,279,213cedb5f1ad,172.18.0.3,88029.2229039669,0,47
-99.9841428084507,ee7b4c86,47,1972.0771026611328,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_10-26-06,1573899966,90001.30000662804,279,213cedb5f1ad,172.18.0.3,90001.30000662804,0,48
-113.25186880871445,ee7b4c86,48,1971.6317310333252,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_10-58-57,1573901937,91972.93173766136,279,213cedb5f1ad,172.18.0.3,91972.93173766136,0,49
-47.0939839973825,ee7b4c86,49,2037.1486954689026,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_11-32-55,1573903975,94010.08043313026,279,213cedb5f1ad,172.18.0.3,94010.08043313026,0,50
-139.21979128418377,ee7b4c86,50,1971.356421470642,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_12-05-46,1573905946,95981.4368546009,279,213cedb5f1ad,172.18.0.3,95981.4368546009,0,51
-104.82173463605663,ee7b4c86,51,1987.6669199466705,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_12-38-54,1573907934,97969.10377454758,279,213cedb5f1ad,172.18.0.3,97969.10377454758,0,52
-81.51012086808024,ee7b4c86,52,1954.9364516735077,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_13-11-29,1573909889,99924.04022622108,279,213cedb5f1ad,172.18.0.3,99924.04022622108,0,53
-92.5664780755268,ee7b4c86,53,1877.3045721054077,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_13-42-46,1573911766,101801.34479832649,279,213cedb5f1ad,172.18.0.3,101801.34479832649,0,54
-104.73289909207453,ee7b4c86,54,1829.2457337379456,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_14-13-15,1573913595,103630.59053206444,279,213cedb5f1ad,172.18.0.3,103630.59053206444,0,55
-87.49269691947711,ee7b4c86,55,1851.6652133464813,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_14-44-07,1573915447,105482.25574541092,279,213cedb5f1ad,172.18.0.3,105482.25574541092,0,56
-104.76732505935276,ee7b4c86,56,1865.18954205513,False,,,f125c24ec487419cb452a2dc23269b4e,2019-11-16_15-15-12,1573917312,107347.44528746605,279,213cedb5f1ad,172.18.0.3,107347.44528746605,0,57
