mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-166.58576205609893,ee70c5a4,0,25.234079360961914,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_09-26-28,1573809988,25.234079360961914,259,213cedb5f1ad,172.18.0.3,25.234079360961914,0,1
-120.631949746682,ee70c5a4,1,951.9051673412323,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_09-42-20,1573810940,977.1392467021942,259,213cedb5f1ad,172.18.0.3,977.1392467021942,0,2
-106.14672322079663,ee70c5a4,2,962.5244224071503,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_09-58-22,1573811902,1939.6636691093445,259,213cedb5f1ad,172.18.0.3,1939.6636691093445,0,3
-104.57541809888518,ee70c5a4,3,972.6959359645844,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_10-14-35,1573812875,2912.359605073929,259,213cedb5f1ad,172.18.0.3,2912.359605073929,0,4
-102.67109634115401,ee70c5a4,4,969.0046017169952,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_10-30-44,1573813844,3881.364206790924,259,213cedb5f1ad,172.18.0.3,3881.364206790924,0,5
-127.46577602984662,ee70c5a4,5,994.116183757782,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_10-47-18,1573814838,4875.480390548706,259,213cedb5f1ad,172.18.0.3,4875.480390548706,0,6
-97.1642529944204,ee70c5a4,6,951.1532435417175,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_11-03-09,1573815789,5826.633634090424,259,213cedb5f1ad,172.18.0.3,5826.633634090424,0,7
-116.33140771886106,ee70c5a4,7,888.9476592540741,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_11-17-58,1573816678,6715.581293344498,259,213cedb5f1ad,172.18.0.3,6715.581293344498,0,8
-113.99157359783992,ee70c5a4,8,885.630678653717,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_11-32-44,1573817564,7601.211971998215,259,213cedb5f1ad,172.18.0.3,7601.211971998215,0,9
-103.48554554256877,ee70c5a4,9,895.1921875476837,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_11-47-39,1573818459,8496.404159545898,259,213cedb5f1ad,172.18.0.3,8496.404159545898,0,10
-113.32211701830728,ee70c5a4,10,901.4078886508942,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_12-02-40,1573819360,9397.812048196793,259,213cedb5f1ad,172.18.0.3,9397.812048196793,0,11
-101.62688860219298,ee70c5a4,11,908.7754533290863,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_12-17-49,1573820269,10306.587501525879,259,213cedb5f1ad,172.18.0.3,10306.587501525879,0,12
-85.83172220158508,ee70c5a4,12,912.6550340652466,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_12-33-02,1573821182,11219.242535591125,259,213cedb5f1ad,172.18.0.3,11219.242535591125,0,13
-106.219479134874,ee70c5a4,13,883.2300550937653,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_12-47-45,1573822065,12102.47259068489,259,213cedb5f1ad,172.18.0.3,12102.47259068489,0,14
-100.29929271515728,ee70c5a4,14,881.6447546482086,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_13-02-27,1573822947,12984.1173453331,259,213cedb5f1ad,172.18.0.3,12984.1173453331,0,15
-109.27029504841994,ee70c5a4,15,883.6834082603455,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_13-17-10,1573823830,13867.800753593445,259,213cedb5f1ad,172.18.0.3,13867.800753593445,0,16
-97.78080827341286,ee70c5a4,16,912.6614055633545,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_13-32-23,1573824743,14780.4621591568,259,213cedb5f1ad,172.18.0.3,14780.4621591568,0,17
-106.73505616360468,ee70c5a4,17,881.660382270813,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_13-47-05,1573825625,15662.122541427612,259,213cedb5f1ad,172.18.0.3,15662.122541427612,0,18
-95.6817978178804,ee70c5a4,18,894.629638671875,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_14-01-59,1573826519,16556.752180099487,259,213cedb5f1ad,172.18.0.3,16556.752180099487,0,19
-113.27944632489397,ee70c5a4,19,905.4479656219482,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_14-17-05,1573827425,17462.200145721436,259,213cedb5f1ad,172.18.0.3,17462.200145721436,0,20
-117.39144844484991,ee70c5a4,20,886.7086646556854,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_14-31-52,1573828312,18348.90881037712,259,213cedb5f1ad,172.18.0.3,18348.90881037712,0,21
-97.46316685463985,ee70c5a4,21,886.7864670753479,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_14-46-38,1573829198,19235.69527745247,259,213cedb5f1ad,172.18.0.3,19235.69527745247,0,22
-46.266607868875674,ee70c5a4,22,896.0157122612,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_15-01-34,1573830094,20131.71098971367,259,213cedb5f1ad,172.18.0.3,20131.71098971367,0,23
-98.80368289737082,ee70c5a4,23,887.4387929439545,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_15-16-22,1573830982,21019.149782657623,259,213cedb5f1ad,172.18.0.3,21019.149782657623,0,24
-99.3953204336511,ee70c5a4,24,896.0958826541901,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_15-31-18,1573831878,21915.245665311813,259,213cedb5f1ad,172.18.0.3,21915.245665311813,0,25
-118.7367038256769,ee70c5a4,25,910.7434403896332,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_15-46-29,1573832789,22825.989105701447,259,213cedb5f1ad,172.18.0.3,22825.989105701447,0,26
-117.82310380528183,ee70c5a4,26,895.5393862724304,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_16-01-24,1573833684,23721.528491973877,259,213cedb5f1ad,172.18.0.3,23721.528491973877,0,27
-167.91874057340087,ee70c5a4,27,902.4687142372131,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_16-16-27,1573834587,24623.99720621109,259,213cedb5f1ad,172.18.0.3,24623.99720621109,0,28
-104.64680394069751,ee70c5a4,28,913.1489772796631,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_16-31-40,1573835500,25537.146183490753,259,213cedb5f1ad,172.18.0.3,25537.146183490753,0,29
-107.90925173497635,ee70c5a4,29,913.4891347885132,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_16-46-53,1573836413,26450.635318279266,259,213cedb5f1ad,172.18.0.3,26450.635318279266,0,30
-118.94950340891353,ee70c5a4,30,895.7924332618713,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_17-01-49,1573837309,27346.427751541138,259,213cedb5f1ad,172.18.0.3,27346.427751541138,0,31
-72.22317918617738,ee70c5a4,31,957.6983227729797,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_17-17-47,1573838267,28304.126074314117,259,213cedb5f1ad,172.18.0.3,28304.126074314117,0,32
-116.07207025081458,ee70c5a4,32,1007.1024878025055,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_17-34-34,1573839274,29311.228562116623,259,213cedb5f1ad,172.18.0.3,29311.228562116623,0,33
-106.96452197002169,ee70c5a4,33,1004.077202796936,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_17-51-18,1573840278,30315.30576491356,259,213cedb5f1ad,172.18.0.3,30315.30576491356,0,34
-101.5963742911739,ee70c5a4,34,987.7963395118713,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_18-07-46,1573841266,31303.10210442543,259,213cedb5f1ad,172.18.0.3,31303.10210442543,0,35
-69.39340927656698,ee70c5a4,35,1019.7351570129395,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_18-24-45,1573842285,32322.83726143837,259,213cedb5f1ad,172.18.0.3,32322.83726143837,0,36
-117.28688096162261,ee70c5a4,36,1002.1210362911224,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_18-41-28,1573843288,33324.95829772949,259,213cedb5f1ad,172.18.0.3,33324.95829772949,0,37
-170.91641855953512,ee70c5a4,37,998.3433756828308,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_18-58-06,1573844286,34323.30167341232,259,213cedb5f1ad,172.18.0.3,34323.30167341232,0,38
-91.45275461919346,ee70c5a4,38,994.5415377616882,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_19-14-40,1573845280,35317.84321117401,259,213cedb5f1ad,172.18.0.3,35317.84321117401,0,39
-122.07801429125668,ee70c5a4,39,1003.0487823486328,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_19-31-24,1573846284,36320.891993522644,259,213cedb5f1ad,172.18.0.3,36320.891993522644,0,40
-95.12443239042868,ee70c5a4,40,1023.3195524215698,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_19-48-27,1573847307,37344.211545944214,259,213cedb5f1ad,172.18.0.3,37344.211545944214,0,41
-108.49331065334691,ee70c5a4,41,1023.7976350784302,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_20-05-31,1573848331,38368.009181022644,259,213cedb5f1ad,172.18.0.3,38368.009181022644,0,42
-118.59645489514287,ee70c5a4,42,996.6220901012421,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_20-22-07,1573849327,39364.631271123886,259,213cedb5f1ad,172.18.0.3,39364.631271123886,0,43
-94.30524546591805,ee70c5a4,43,1036.602725982666,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_20-39-24,1573850364,40401.23399710655,259,213cedb5f1ad,172.18.0.3,40401.23399710655,0,44
-92.62159175669986,ee70c5a4,44,1003.5647432804108,False,,,31e32177a96a4ad4bf8e2ff56353eeae,2019-11-15_20-56-07,1573851367,41404.79874038696,259,213cedb5f1ad,172.18.0.3,41404.79874038696,0,45
