mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-115.8379096816763,ee7c46b8,0,14.243586301803589,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_09-26-19,1573809979,14.243586301803589,267,213cedb5f1ad,172.18.0.3,14.243586301803589,0,1
-102.79655456723259,ee7c46b8,1,515.0786275863647,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_09-34-54,1573810494,529.3222138881683,267,213cedb5f1ad,172.18.0.3,529.3222138881683,0,2
-104.39477509667915,ee7c46b8,2,510.8269319534302,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_09-43-25,1573811005,1040.1491458415985,267,213cedb5f1ad,172.18.0.3,1040.1491458415985,0,3
-117.00981071794602,ee7c46b8,3,519.4699990749359,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_09-52-04,1573811524,1559.6191449165344,267,213cedb5f1ad,172.18.0.3,1559.6191449165344,0,4
-99.54125103373464,ee7c46b8,4,521.0144555568695,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-00-45,1573812045,2080.633600473404,267,213cedb5f1ad,172.18.0.3,2080.633600473404,0,5
-97.93853277380786,ee7c46b8,5,523.508994102478,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-09-29,1573812569,2604.142594575882,267,213cedb5f1ad,172.18.0.3,2604.142594575882,0,6
-113.51048433789191,ee7c46b8,6,523.0287415981293,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-18-12,1573813092,3127.1713361740112,267,213cedb5f1ad,172.18.0.3,3127.1713361740112,0,7
-113.09413883257491,ee7c46b8,7,516.3661601543427,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-26-48,1573813608,3643.537496328354,267,213cedb5f1ad,172.18.0.3,3643.537496328354,0,8
-112.48411114629918,ee7c46b8,8,516.7273328304291,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-35-25,1573814125,4160.264829158783,267,213cedb5f1ad,172.18.0.3,4160.264829158783,0,9
-114.10907437352608,ee7c46b8,9,514.1409568786621,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-43-59,1573814639,4674.405786037445,267,213cedb5f1ad,172.18.0.3,4674.405786037445,0,10
-80.61536636319478,ee7c46b8,10,513.2783002853394,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_10-52-32,1573815152,5187.684086322784,267,213cedb5f1ad,172.18.0.3,5187.684086322784,0,11
-97.93287697719803,ee7c46b8,11,473.92611861228943,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-00-26,1573815626,5661.610204935074,267,213cedb5f1ad,172.18.0.3,5661.610204935074,0,12
-118.1259932386793,ee7c46b8,12,473.4986526966095,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-08-20,1573816100,6135.108857631683,267,213cedb5f1ad,172.18.0.3,6135.108857631683,0,13
-100.6686550699307,ee7c46b8,13,480.0132417678833,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-16-20,1573816580,6615.122099399567,267,213cedb5f1ad,172.18.0.3,6615.122099399567,0,14
-102.46078158879912,ee7c46b8,14,470.7726638317108,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-24-10,1573817050,7085.8947632312775,267,213cedb5f1ad,172.18.0.3,7085.8947632312775,0,15
-201.47141668146205,ee7c46b8,15,484.00601077079773,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-32-14,1573817534,7569.900774002075,267,213cedb5f1ad,172.18.0.3,7569.900774002075,0,16
-85.46551422918431,ee7c46b8,16,485.51470613479614,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-40-20,1573818020,8055.415480136871,267,213cedb5f1ad,172.18.0.3,8055.415480136871,0,17
-57.24300214361824,ee7c46b8,17,486.4568700790405,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-48-26,1573818506,8541.872350215912,267,213cedb5f1ad,172.18.0.3,8541.872350215912,0,18
-46.643469031456846,ee7c46b8,18,487.75427436828613,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_11-56-34,1573818994,9029.626624584198,267,213cedb5f1ad,172.18.0.3,9029.626624584198,0,19
-66.55972806462685,ee7c46b8,19,478.6000726222992,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_12-04-33,1573819473,9508.226697206497,267,213cedb5f1ad,172.18.0.3,9508.226697206497,0,20
68.20114202096775,ee7c46b8,20,493.56155610084534,False,,,35c521e03ce4475b97a29c906c9e5637,2019-11-15_12-12-46,1573819966,10001.788253307343,267,213cedb5f1ad,172.18.0.3,10001.788253307343,0,21
