mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-85.55940242531285,ee7ce456,0,35.480746269226074,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_09-26-40,1573810000,35.480746269226074,283,213cedb5f1ad,172.18.0.3,35.480746269226074,0,1
-124.18183261414629,ee7ce456,1,519.7579259872437,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_09-35-20,1573810520,555.2386722564697,283,213cedb5f1ad,172.18.0.3,555.2386722564697,0,2
-91.54609134412969,ee7ce456,2,531.6724047660828,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_09-44-11,1573811051,1086.9110770225525,283,213cedb5f1ad,172.18.0.3,1086.9110770225525,0,3
-103.37612085690763,ee7ce456,3,531.624320268631,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_09-53-03,1573811583,1618.5353972911835,283,213cedb5f1ad,172.18.0.3,1618.5353972911835,0,4
-112.20401802917,ee7ce456,4,521.7396867275238,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-01-45,1573812105,2140.2750840187073,283,213cedb5f1ad,172.18.0.3,2140.2750840187073,0,5
-104.70769137875715,ee7ce456,5,523.4262080192566,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-10-28,1573812628,2663.701292037964,283,213cedb5f1ad,172.18.0.3,2663.701292037964,0,6
-103.54682092131748,ee7ce456,6,522.2291417121887,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-19-10,1573813150,3185.9304337501526,283,213cedb5f1ad,172.18.0.3,3185.9304337501526,0,7
-106.7944605457555,ee7ce456,7,524.6613266468048,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-27-55,1573813675,3710.5917603969574,283,213cedb5f1ad,172.18.0.3,3710.5917603969574,0,8
-100.6366796629106,ee7ce456,8,522.7290606498718,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-36-38,1573814198,4233.320821046829,283,213cedb5f1ad,172.18.0.3,4233.320821046829,0,9
-106.4857158353637,ee7ce456,9,515.2533850669861,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-45-13,1573814713,4748.574206113815,283,213cedb5f1ad,172.18.0.3,4748.574206113815,0,10
-102.72052594031766,ee7ce456,10,513.6675772666931,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_10-53-47,1573815227,5262.241783380508,283,213cedb5f1ad,172.18.0.3,5262.241783380508,0,11
-70.9467257357292,ee7ce456,11,493.4812774658203,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-02-00,1573815720,5755.723060846329,283,213cedb5f1ad,172.18.0.3,5755.723060846329,0,12
-102.86407669018143,ee7ce456,12,481.33860039711,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-10-01,1573816201,6237.061661243439,283,213cedb5f1ad,172.18.0.3,6237.061661243439,0,13
-136.22273863137067,ee7ce456,13,498.9924499988556,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-18-20,1573816700,6736.054111242294,283,213cedb5f1ad,172.18.0.3,6736.054111242294,0,14
-109.7627020617117,ee7ce456,14,478.2205605506897,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-26-19,1573817179,7214.274671792984,283,213cedb5f1ad,172.18.0.3,7214.274671792984,0,15
-91.40318710587972,ee7ce456,15,514.5954310894012,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-34-53,1573817693,7728.870102882385,283,213cedb5f1ad,172.18.0.3,7728.870102882385,0,16
-104.08516099681394,ee7ce456,16,471.9422028064728,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-42-45,1573818165,8200.812305688858,283,213cedb5f1ad,172.18.0.3,8200.812305688858,0,17
-82.02312617566831,ee7ce456,17,491.78686118125916,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-50-57,1573818657,8692.599166870117,283,213cedb5f1ad,172.18.0.3,8692.599166870117,0,18
-85.81994433100245,ee7ce456,18,503.27456617355347,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_11-59-20,1573819160,9195.87373304367,283,213cedb5f1ad,172.18.0.3,9195.87373304367,0,19
-85.44342230031002,ee7ce456,19,497.51689171791077,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-07-38,1573819658,9693.390624761581,283,213cedb5f1ad,172.18.0.3,9693.390624761581,0,20
-117.40726409548495,ee7ce456,20,499.471773147583,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-15-57,1573820157,10192.862397909164,283,213cedb5f1ad,172.18.0.3,10192.862397909164,0,21
-68.58960175242974,ee7ce456,21,507.4659683704376,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-24-25,1573820665,10700.328366279602,283,213cedb5f1ad,172.18.0.3,10700.328366279602,0,22
-31.04820721136611,ee7ce456,22,494.6482963562012,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-32-39,1573821159,11194.976662635803,283,213cedb5f1ad,172.18.0.3,11194.976662635803,0,23
-112.9072135739289,ee7ce456,23,470.5917272567749,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-40-30,1573821630,11665.568389892578,283,213cedb5f1ad,172.18.0.3,11665.568389892578,0,24
-109.70004585781747,ee7ce456,24,470.76170229911804,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-48-21,1573822101,12136.330092191696,283,213cedb5f1ad,172.18.0.3,12136.330092191696,0,25
25.81149681881737,ee7ce456,25,500.1624870300293,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_12-56-41,1573822601,12636.492579221725,283,213cedb5f1ad,172.18.0.3,12636.492579221725,0,26
-104.97250314498034,ee7ce456,26,480.6102328300476,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-04-41,1573823081,13117.102812051773,283,213cedb5f1ad,172.18.0.3,13117.102812051773,0,27
-109.32023630833896,ee7ce456,27,473.50219798088074,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-12-35,1573823555,13590.605010032654,283,213cedb5f1ad,172.18.0.3,13590.605010032654,0,28
-170.21202016545973,ee7ce456,28,499.2349305152893,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-20-54,1573824054,14089.839940547943,283,213cedb5f1ad,172.18.0.3,14089.839940547943,0,29
-94.89371721987027,ee7ce456,29,494.0450475215912,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-29-08,1573824548,14583.884988069534,283,213cedb5f1ad,172.18.0.3,14583.884988069534,0,30
-73.65118420062315,ee7ce456,30,491.9091145992279,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-37-20,1573825040,15075.794102668762,283,213cedb5f1ad,172.18.0.3,15075.794102668762,0,31
-102.9132593786549,ee7ce456,31,488.1303143501282,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-45-28,1573825528,15563.92441701889,283,213cedb5f1ad,172.18.0.3,15563.92441701889,0,32
-104.70440541479364,ee7ce456,32,465.85516357421875,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_13-53-14,1573825994,16029.77958059311,283,213cedb5f1ad,172.18.0.3,16029.77958059311,0,33
-106.43907934391031,ee7ce456,33,496.74200654029846,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-01-31,1573826491,16526.521587133408,283,213cedb5f1ad,172.18.0.3,16526.521587133408,0,34
-93.84441258489983,ee7ce456,34,484.16397309303284,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-09-35,1573826975,17010.68556022644,283,213cedb5f1ad,172.18.0.3,17010.68556022644,0,35
-106.26387256526657,ee7ce456,35,468.3127009868622,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-17-23,1573827443,17478.998261213303,283,213cedb5f1ad,172.18.0.3,17478.998261213303,0,36
-151.12741000625093,ee7ce456,36,483.94278597831726,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-25-27,1573827927,17962.94104719162,283,213cedb5f1ad,172.18.0.3,17962.94104719162,0,37
-99.36990186380471,ee7ce456,37,472.5972304344177,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-33-20,1573828400,18435.538277626038,283,213cedb5f1ad,172.18.0.3,18435.538277626038,0,38
-125.45177532462237,ee7ce456,38,478.24199891090393,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-41-18,1573828878,18913.78027653694,283,213cedb5f1ad,172.18.0.3,18913.78027653694,0,39
-127.57773911484456,ee7ce456,39,480.1520791053772,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-49-18,1573829358,19393.93235564232,283,213cedb5f1ad,172.18.0.3,19393.93235564232,0,40
-88.39157338082686,ee7ce456,40,479.8847749233246,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_14-57-18,1573829838,19873.817130565643,283,213cedb5f1ad,172.18.0.3,19873.817130565643,0,41
-103.03955846159329,ee7ce456,41,477.1710584163666,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-05-15,1573830315,20350.98818898201,283,213cedb5f1ad,172.18.0.3,20350.98818898201,0,42
-43.59614143586532,ee7ce456,42,501.7602822780609,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-13-37,1573830817,20852.74847126007,283,213cedb5f1ad,172.18.0.3,20852.74847126007,0,43
-97.13360587989011,ee7ce456,43,476.39198660850525,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-21-33,1573831293,21329.140457868576,283,213cedb5f1ad,172.18.0.3,21329.140457868576,0,44
-99.57384723226613,ee7ce456,44,495.64287781715393,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-29-49,1573831789,21824.78333568573,283,213cedb5f1ad,172.18.0.3,21824.78333568573,0,45
-95.96446779002663,ee7ce456,45,491.87508487701416,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-38-01,1573832281,22316.658420562744,283,213cedb5f1ad,172.18.0.3,22316.658420562744,0,46
-125.9532795402816,ee7ce456,46,476.98216438293457,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-45-58,1573832758,22793.64058494568,283,213cedb5f1ad,172.18.0.3,22793.64058494568,0,47
-117.31487993482192,ee7ce456,47,478.63822531700134,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_15-53-57,1573833237,23272.27881026268,283,213cedb5f1ad,172.18.0.3,23272.27881026268,0,48
-127.27138526645012,ee7ce456,48,477.749564409256,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_16-01-54,1573833714,23750.028374671936,283,213cedb5f1ad,172.18.0.3,23750.028374671936,0,49
-101.4764454463173,ee7ce456,49,489.37300276756287,False,,,fd56696c96c24950b583f0f032ac3da4,2019-11-15_16-10-04,1573834204,24239.4013774395,283,213cedb5f1ad,172.18.0.3,24239.4013774395,0,50
