mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-96.11538608807719,ee7d1b9c,0,34.413304805755615,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_09-26-40,1573810000,34.413304805755615,293,213cedb5f1ad,172.18.0.3,34.413304805755615,0,1
-99.8089649294321,ee7d1b9c,1,903.3546812534332,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_09-41-43,1573810903,937.7679860591888,293,213cedb5f1ad,172.18.0.3,937.7679860591888,0,2
-119.49525524999935,ee7d1b9c,2,891.1817598342896,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_09-56-34,1573811794,1828.9497458934784,293,213cedb5f1ad,172.18.0.3,1828.9497458934784,0,3
-107.81035286687295,ee7d1b9c,3,872.1733467578888,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_10-11-06,1573812666,2701.123092651367,293,213cedb5f1ad,172.18.0.3,2701.123092651367,0,4
-112.90616916394555,ee7d1b9c,4,872.6092622280121,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_10-25-39,1573813539,3573.7323548793793,293,213cedb5f1ad,172.18.0.3,3573.7323548793793,0,5
-119.06086403073556,ee7d1b9c,5,874.6174621582031,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_10-40-14,1573814414,4448.349817037582,293,213cedb5f1ad,172.18.0.3,4448.349817037582,0,6
-106.26148390723249,ee7d1b9c,6,874.4236660003662,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_10-54-48,1573815288,5322.773483037949,293,213cedb5f1ad,172.18.0.3,5322.773483037949,0,7
-111.34692006536449,ee7d1b9c,7,880.7066457271576,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_11-09-29,1573816169,6203.480128765106,293,213cedb5f1ad,172.18.0.3,6203.480128765106,0,8
-118.00409476649327,ee7d1b9c,8,879.4725105762482,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_11-24-08,1573817048,7082.952639341354,293,213cedb5f1ad,172.18.0.3,7082.952639341354,0,9
-107.7697401151092,ee7d1b9c,9,883.1931025981903,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_11-38-51,1573817931,7966.145741939545,293,213cedb5f1ad,172.18.0.3,7966.145741939545,0,10
-108.66732054209585,ee7d1b9c,10,884.75634765625,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_11-53-36,1573818816,8850.902089595795,293,213cedb5f1ad,172.18.0.3,8850.902089595795,0,11
-98.95882718649784,ee7d1b9c,11,885.8994891643524,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_12-08-22,1573819702,9736.801578760147,293,213cedb5f1ad,172.18.0.3,9736.801578760147,0,12
-135.6271991767314,ee7d1b9c,12,892.5237829685211,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_12-23-15,1573820595,10629.325361728668,293,213cedb5f1ad,172.18.0.3,10629.325361728668,0,13
-97.77274586569725,ee7d1b9c,13,884.3333456516266,False,,,c82089adbec244bc8d8f9cac3b81b1f2,2019-11-15_12-37-59,1573821479,11513.658707380295,293,213cedb5f1ad,172.18.0.3,11513.658707380295,0,14
