mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-115.40227155144635,ee7df968,0,4.651692152023315,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_09-26-09,1573809969,4.651692152023315,253,213cedb5f1ad,172.18.0.3,4.651692152023315,0,1
-100.86469938143507,ee7df968,1,1013.4531321525574,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_09-43-03,1573810983,1018.1048243045807,253,213cedb5f1ad,172.18.0.3,1018.1048243045807,0,2
-135.7994637774527,ee7df968,2,987.613630771637,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_09-59-30,1573811970,2005.7184550762177,253,213cedb5f1ad,172.18.0.3,2005.7184550762177,0,3
-153.0319712400329,ee7df968,3,1000.7665495872498,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_10-16-11,1573812971,3006.4850046634674,253,213cedb5f1ad,172.18.0.3,3006.4850046634674,0,4
-150.87313500385844,ee7df968,4,985.4922151565552,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_10-32-37,1573813957,3991.9772198200226,253,213cedb5f1ad,172.18.0.3,3991.9772198200226,0,5
-137.75575496742417,ee7df968,5,979.9545087814331,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_10-48-57,1573814937,4971.931728601456,253,213cedb5f1ad,172.18.0.3,4971.931728601456,0,6
-95.48700810000237,ee7df968,6,932.9073657989502,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_11-04-29,1573815869,5904.839094400406,253,213cedb5f1ad,172.18.0.3,5904.839094400406,0,7
-113.58611888761669,ee7df968,7,903.2369875907898,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_11-19-33,1573816773,6808.076081991196,253,213cedb5f1ad,172.18.0.3,6808.076081991196,0,8
-105.98387020704082,ee7df968,8,916.2993056774139,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_11-34-49,1573817689,7724.37538766861,253,213cedb5f1ad,172.18.0.3,7724.37538766861,0,9
-72.85852221643623,ee7df968,9,925.278174161911,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_11-50-14,1573818614,8649.65356183052,253,213cedb5f1ad,172.18.0.3,8649.65356183052,0,10
-148.67724386084268,ee7df968,10,916.6340727806091,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_12-05-31,1573819531,9566.28763461113,253,213cedb5f1ad,172.18.0.3,9566.28763461113,0,11
-113.30385409695644,ee7df968,11,896.9899914264679,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_12-20-28,1573820428,10463.277626037598,253,213cedb5f1ad,172.18.0.3,10463.277626037598,0,12
-77.45775689652895,ee7df968,12,907.0901911258698,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_12-35-35,1573821335,11370.367817163467,253,213cedb5f1ad,172.18.0.3,11370.367817163467,0,13
-103.3420225752737,ee7df968,13,897.5722272396088,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_12-50-33,1573822233,12267.940044403076,253,213cedb5f1ad,172.18.0.3,12267.940044403076,0,14
-80.18724999819327,ee7df968,14,899.2155058383942,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_13-05-32,1573823132,13167.15555024147,253,213cedb5f1ad,172.18.0.3,13167.15555024147,0,15
-94.59641198795619,ee7df968,15,911.5321092605591,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_13-20-43,1573824043,14078.68765950203,253,213cedb5f1ad,172.18.0.3,14078.68765950203,0,16
-93.42654755697401,ee7df968,16,921.6811819076538,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_13-36-05,1573824965,15000.368841409683,253,213cedb5f1ad,172.18.0.3,15000.368841409683,0,17
-69.05307046045344,ee7df968,17,917.7422959804535,False,,,c2189e428d3f4aeda21ac282792af12a,2019-11-15_13-51-23,1573825883,15918.111137390137,253,213cedb5f1ad,172.18.0.3,15918.111137390137,0,18
