mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-114.20124727039763,ee821ad4,0,4.2866902351379395,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-09-19,1573837759,4.2866902351379395,9908,213cedb5f1ad,172.18.0.3,4.2866902351379395,0,1
-102.00497502332189,ee821ad4,1,530.6229438781738,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-18-10,1573838290,534.9096341133118,9908,213cedb5f1ad,172.18.0.3,534.9096341133118,0,2
-90.94524999317021,ee821ad4,2,529.5544996261597,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-26-59,1573838819,1064.4641337394714,9908,213cedb5f1ad,172.18.0.3,1064.4641337394714,0,3
-72.87061810596502,ee821ad4,3,549.8925335407257,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-36-09,1573839369,1614.3566672801971,9908,213cedb5f1ad,172.18.0.3,1614.3566672801971,0,4
-111.56561957054357,ee821ad4,4,527.716237783432,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-44-57,1573839897,2142.072905063629,9908,213cedb5f1ad,172.18.0.3,2142.072905063629,0,5
-100.23371033066091,ee821ad4,5,534.2084038257599,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_17-53-51,1573840431,2676.281308889389,9908,213cedb5f1ad,172.18.0.3,2676.281308889389,0,6
-101.20211452812164,ee821ad4,6,513.1407630443573,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-02-24,1573840944,3189.4220719337463,9908,213cedb5f1ad,172.18.0.3,3189.4220719337463,0,7
-102.14524839224977,ee821ad4,7,517.4973375797272,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-11-02,1573841462,3706.9194095134735,9908,213cedb5f1ad,172.18.0.3,3706.9194095134735,0,8
-110.41655689743472,ee821ad4,8,521.6167566776276,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-19-43,1573841983,4228.536166191101,9908,213cedb5f1ad,172.18.0.3,4228.536166191101,0,9
-129.43609738124408,ee821ad4,9,518.3466508388519,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-28-22,1573842502,4746.882817029953,9908,213cedb5f1ad,172.18.0.3,4746.882817029953,0,10
-105.22311872503326,ee821ad4,10,523.6579649448395,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-37-05,1573843025,5270.5407819747925,9908,213cedb5f1ad,172.18.0.3,5270.5407819747925,0,11
-108.8698551275174,ee821ad4,11,512.5333454608917,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-45-38,1573843538,5783.074127435684,9908,213cedb5f1ad,172.18.0.3,5783.074127435684,0,12
-136.77352985108053,ee821ad4,12,531.4738194942474,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_18-54-29,1573844069,6314.547946929932,9908,213cedb5f1ad,172.18.0.3,6314.547946929932,0,13
-104.87723047123478,ee821ad4,13,532.8308227062225,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-03-22,1573844602,6847.378769636154,9908,213cedb5f1ad,172.18.0.3,6847.378769636154,0,14
-112.34841020669911,ee821ad4,14,515.3710556030273,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-11-57,1573845117,7362.7498252391815,9908,213cedb5f1ad,172.18.0.3,7362.7498252391815,0,15
-83.90064589783425,ee821ad4,15,530.3656189441681,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-20-48,1573845648,7893.11544418335,9908,213cedb5f1ad,172.18.0.3,7893.11544418335,0,16
-86.89703048615193,ee821ad4,16,540.32160115242,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-29-48,1573846188,8433.43704533577,9908,213cedb5f1ad,172.18.0.3,8433.43704533577,0,17
-105.43279236730655,ee821ad4,17,523.4644567966461,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-38-32,1573846712,8956.901502132416,9908,213cedb5f1ad,172.18.0.3,8956.901502132416,0,18
-90.83406490171545,ee821ad4,18,521.9457368850708,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-47-13,1573847233,9478.847239017487,9908,213cedb5f1ad,172.18.0.3,9478.847239017487,0,19
-89.27520095520744,ee821ad4,19,546.9193713665009,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_19-56-20,1573847780,10025.766610383987,9908,213cedb5f1ad,172.18.0.3,10025.766610383987,0,20
-99.14777730208532,ee821ad4,20,527.5740349292755,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-05-08,1573848308,10553.340645313263,9908,213cedb5f1ad,172.18.0.3,10553.340645313263,0,21
-96.45904191258053,ee821ad4,21,529.9557847976685,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-13-58,1573848838,11083.296430110931,9908,213cedb5f1ad,172.18.0.3,11083.296430110931,0,22
-97.13535748474776,ee821ad4,22,532.6471130847931,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-22-51,1573849371,11615.943543195724,9908,213cedb5f1ad,172.18.0.3,11615.943543195724,0,23
-97.80101835163124,ee821ad4,23,523.7308487892151,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-31-34,1573849894,12139.67439198494,9908,213cedb5f1ad,172.18.0.3,12139.67439198494,0,24
-76.54851925583915,ee821ad4,24,555.9753193855286,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-40-50,1573850450,12695.649711370468,9908,213cedb5f1ad,172.18.0.3,12695.649711370468,0,25
-100.2655001540124,ee821ad4,25,530.2165725231171,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-49-41,1573850981,13225.866283893585,9908,213cedb5f1ad,172.18.0.3,13225.866283893585,0,26
-98.35894868304393,ee821ad4,26,517.0893046855927,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_20-58-18,1573851498,13742.955588579178,9908,213cedb5f1ad,172.18.0.3,13742.955588579178,0,27
-105.00145805554946,ee821ad4,27,530.7593894004822,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_21-07-08,1573852028,14273.71497797966,9908,213cedb5f1ad,172.18.0.3,14273.71497797966,0,28
-83.54888939473655,ee821ad4,28,531.4183173179626,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_21-16-00,1573852560,14805.133295297623,9908,213cedb5f1ad,172.18.0.3,14805.133295297623,0,29
-97.6890607050916,ee821ad4,29,531.1987233161926,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_21-24-51,1573853091,15336.332018613815,9908,213cedb5f1ad,172.18.0.3,15336.332018613815,0,30
-102.50799406460435,ee821ad4,30,531.6408202648163,False,,,e8f53d719606446cbd2af7f079d1128c,2019-11-15_21-33-43,1573853623,15867.972838878632,9908,213cedb5f1ad,172.18.0.3,15867.972838878632,0,31
