mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-87.14949437131334,ee825512,0,32.66004800796509,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_17-10-48,1573837848,32.66004800796509,9980,213cedb5f1ad,172.18.0.3,32.66004800796509,0,1
-113.59537681575534,ee825512,1,991.3323674201965,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_17-27-19,1573838839,1023.9924154281616,9980,213cedb5f1ad,172.18.0.3,1023.9924154281616,0,2
-131.806225493661,ee825512,2,1004.6231160163879,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_17-44-04,1573839844,2028.6155314445496,9980,213cedb5f1ad,172.18.0.3,2028.6155314445496,0,3
-120.5347553076947,ee825512,3,994.1026480197906,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_18-00-38,1573840838,3022.71817946434,9980,213cedb5f1ad,172.18.0.3,3022.71817946434,0,4
-107.9690855521685,ee825512,4,988.5648698806763,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_18-17-06,1573841826,4011.2830493450165,9980,213cedb5f1ad,172.18.0.3,4011.2830493450165,0,5
-114.62354186670007,ee825512,5,1004.021267414093,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_18-33-50,1573842830,5015.3043167591095,9980,213cedb5f1ad,172.18.0.3,5015.3043167591095,0,6
-115.8914325347791,ee825512,6,998.4961230754852,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_18-50-29,1573843829,6013.800439834595,9980,213cedb5f1ad,172.18.0.3,6013.800439834595,0,7
-111.24742307099287,ee825512,7,996.0044236183167,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_19-07-05,1573844825,7009.804863452911,9980,213cedb5f1ad,172.18.0.3,7009.804863452911,0,8
-120.21259947840208,ee825512,8,1003.0946154594421,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_19-23-48,1573845828,8012.8994789123535,9980,213cedb5f1ad,172.18.0.3,8012.8994789123535,0,9
-122.78806191762641,ee825512,9,1005.3390142917633,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_19-40-33,1573846833,9018.238493204117,9980,213cedb5f1ad,172.18.0.3,9018.238493204117,0,10
-123.48042292656005,ee825512,10,1004.3517920970917,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_19-57-18,1573847838,10022.590285301208,9980,213cedb5f1ad,172.18.0.3,10022.590285301208,0,11
-111.07242003559942,ee825512,11,1020.6598739624023,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_20-14-18,1573848858,11043.25015926361,9980,213cedb5f1ad,172.18.0.3,11043.25015926361,0,12
-112.68600753485805,ee825512,12,1032.0228960514069,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_20-31-30,1573849890,12075.273055315018,9980,213cedb5f1ad,172.18.0.3,12075.273055315018,0,13
-120.8176797417121,ee825512,13,1021.9252209663391,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_20-48-32,1573850912,13097.198276281357,9980,213cedb5f1ad,172.18.0.3,13097.198276281357,0,14
-83.4516084680918,ee825512,14,1036.6619737148285,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_21-05-49,1573851949,14133.860249996185,9980,213cedb5f1ad,172.18.0.3,14133.860249996185,0,15
-169.1403268137733,ee825512,15,1013.0248045921326,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_21-22-42,1573852962,15146.885054588318,9980,213cedb5f1ad,172.18.0.3,15146.885054588318,0,16
-135.95582102732618,ee825512,16,998.6891670227051,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_21-39-21,1573853961,16145.574221611023,9980,213cedb5f1ad,172.18.0.3,16145.574221611023,0,17
-101.62018221957216,ee825512,17,1000.1457207202911,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_21-56-01,1573854961,17145.719942331314,9980,213cedb5f1ad,172.18.0.3,17145.719942331314,0,18
-79.83785958984375,ee825512,18,1016.7178707122803,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_22-12-57,1573855977,18162.437813043594,9980,213cedb5f1ad,172.18.0.3,18162.437813043594,0,19
-102.79265185635971,ee825512,19,1008.45272564888,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_22-29-46,1573856986,19170.890538692474,9980,213cedb5f1ad,172.18.0.3,19170.890538692474,0,20
-100.30813589738703,ee825512,20,1007.0493221282959,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_22-46-33,1573857993,20177.93986082077,9980,213cedb5f1ad,172.18.0.3,20177.93986082077,0,21
-105.23951588264315,ee825512,21,1002.1322486400604,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_23-03-15,1573858995,21180.07210946083,9980,213cedb5f1ad,172.18.0.3,21180.07210946083,0,22
-90.93276278191657,ee825512,22,1049.1740214824677,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_23-20-44,1573860044,22229.2461309433,9980,213cedb5f1ad,172.18.0.3,22229.2461309433,0,23
-96.69440277221882,ee825512,23,1087.0782430171967,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_23-38-51,1573861131,23316.324373960495,9980,213cedb5f1ad,172.18.0.3,23316.324373960495,0,24
-99.36323519168472,ee825512,24,1171.3727324008942,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-15_23-58-23,1573862303,24487.69710636139,9980,213cedb5f1ad,172.18.0.3,24487.69710636139,0,25
-114.62462342974608,ee825512,25,1157.38360953331,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_00-17-40,1573863460,25645.0807158947,9980,213cedb5f1ad,172.18.0.3,25645.0807158947,0,26
-96.72566057478275,ee825512,26,1104.0100803375244,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_00-36-04,1573864564,26749.090796232224,9980,213cedb5f1ad,172.18.0.3,26749.090796232224,0,27
-111.58327622640341,ee825512,27,1079.797975063324,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_00-54-04,1573865644,27828.888771295547,9980,213cedb5f1ad,172.18.0.3,27828.888771295547,0,28
-112.46096469965535,ee825512,28,1042.53133893013,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_01-11-26,1573866686,28871.420110225677,9980,213cedb5f1ad,172.18.0.3,28871.420110225677,0,29
-104.78168665253564,ee825512,29,1061.9630048274994,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_01-29-08,1573867748,29933.383115053177,9980,213cedb5f1ad,172.18.0.3,29933.383115053177,0,30
-115.52032391253952,ee825512,30,1041.4852876663208,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_01-46-30,1573868790,30974.868402719498,9980,213cedb5f1ad,172.18.0.3,30974.868402719498,0,31
-102.08720448481107,ee825512,31,1050.217072725296,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_02-04-00,1573869840,32025.085475444794,9980,213cedb5f1ad,172.18.0.3,32025.085475444794,0,32
-108.67550294485149,ee825512,32,1074.0374994277954,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_02-21-54,1573870914,33099.12297487259,9980,213cedb5f1ad,172.18.0.3,33099.12297487259,0,33
-115.37138720197079,ee825512,33,1037.6631608009338,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_02-39-12,1573871952,34136.78613567352,9980,213cedb5f1ad,172.18.0.3,34136.78613567352,0,34
-95.3380348204099,ee825512,34,1035.8070921897888,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_02-56-28,1573872988,35172.59322786331,9980,213cedb5f1ad,172.18.0.3,35172.59322786331,0,35
-110.45673633201699,ee825512,35,1030.8213777542114,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_03-13-38,1573874018,36203.41460561752,9980,213cedb5f1ad,172.18.0.3,36203.41460561752,0,36
-111.95078988226616,ee825512,36,1046.113332748413,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_03-31-05,1573875065,37249.527938365936,9980,213cedb5f1ad,172.18.0.3,37249.527938365936,0,37
-94.51207783705502,ee825512,37,1049.8540778160095,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_03-48-34,1573876114,38299.382016181946,9980,213cedb5f1ad,172.18.0.3,38299.382016181946,0,38
-135.30984003422418,ee825512,38,1090.4110538959503,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_04-06-45,1573877205,39389.793070077896,9980,213cedb5f1ad,172.18.0.3,39389.793070077896,0,39
-96.92759490401374,ee825512,39,1047.2647504806519,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_04-24-12,1573878252,40437.05782055855,9980,213cedb5f1ad,172.18.0.3,40437.05782055855,0,40
-87.91738381085923,ee825512,40,1082.2911415100098,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_04-42-14,1573879334,41519.34896206856,9980,213cedb5f1ad,172.18.0.3,41519.34896206856,0,41
-107.64410262184742,ee825512,41,1063.3184401988983,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_04-59-58,1573880398,42582.667402267456,9980,213cedb5f1ad,172.18.0.3,42582.667402267456,0,42
-83.22785359020425,ee825512,42,1055.7305567264557,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_05-17-33,1573881453,43638.39795899391,9980,213cedb5f1ad,172.18.0.3,43638.39795899391,0,43
-105.18279105067482,ee825512,43,1072.699720621109,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_05-35-26,1573882526,44711.09767961502,9980,213cedb5f1ad,172.18.0.3,44711.09767961502,0,44
-102.17057576766761,ee825512,44,1023.9592463970184,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_05-52-30,1573883550,45735.05692601204,9980,213cedb5f1ad,172.18.0.3,45735.05692601204,0,45
-101.02594709103126,ee825512,45,1041.1479496955872,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_06-09-51,1573884591,46776.204875707626,9980,213cedb5f1ad,172.18.0.3,46776.204875707626,0,46
-139.0213662228035,ee825512,46,1063.3626482486725,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_06-27-35,1573885655,47839.5675239563,9980,213cedb5f1ad,172.18.0.3,47839.5675239563,0,47
-100.22631922797258,ee825512,47,1072.6531345844269,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_06-45-27,1573886727,48912.220658540726,9980,213cedb5f1ad,172.18.0.3,48912.220658540726,0,48
-107.85736857448494,ee825512,48,1060.510585784912,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_07-03-08,1573887788,49972.73124432564,9980,213cedb5f1ad,172.18.0.3,49972.73124432564,0,49
-106.6536830676818,ee825512,49,1064.3863768577576,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_07-20-52,1573888852,51037.117621183395,9980,213cedb5f1ad,172.18.0.3,51037.117621183395,0,50
-109.5954785188901,ee825512,50,1056.530678510666,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_07-38-29,1573889909,52093.64829969406,9980,213cedb5f1ad,172.18.0.3,52093.64829969406,0,51
-111.80316711769713,ee825512,51,1068.560872554779,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_07-56-17,1573890977,53162.20917224884,9980,213cedb5f1ad,172.18.0.3,53162.20917224884,0,52
-113.45158341839279,ee825512,52,1044.7444717884064,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_08-13-42,1573892022,54206.95364403725,9980,213cedb5f1ad,172.18.0.3,54206.95364403725,0,53
-50.59233989971722,ee825512,53,1074.9282002449036,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_08-31-37,1573893097,55281.88184428215,9980,213cedb5f1ad,172.18.0.3,55281.88184428215,0,54
-78.151572755927,ee825512,54,1069.2572345733643,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_08-49-26,1573894166,56351.139078855515,9980,213cedb5f1ad,172.18.0.3,56351.139078855515,0,55
-111.5364359757494,ee825512,55,1047.4442615509033,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_09-06-54,1573895214,57398.58334040642,9980,213cedb5f1ad,172.18.0.3,57398.58334040642,0,56
-138.04227081940414,ee825512,56,1056.1673703193665,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_09-24-30,1573896270,58454.750710725784,9980,213cedb5f1ad,172.18.0.3,58454.750710725784,0,57
-70.83171221936045,ee825512,57,1077.9629864692688,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_09-42-28,1573897348,59532.71369719505,9980,213cedb5f1ad,172.18.0.3,59532.71369719505,0,58
-156.6279785874576,ee825512,58,1045.7343723773956,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_09-59-53,1573898393,60578.44806957245,9980,213cedb5f1ad,172.18.0.3,60578.44806957245,0,59
-98.03676130385189,ee825512,59,1055.9488923549652,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_10-17-29,1573899449,61634.396961927414,9980,213cedb5f1ad,172.18.0.3,61634.396961927414,0,60
-83.99420874517841,ee825512,60,1036.3818380832672,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_10-34-46,1573900486,62670.77880001068,9980,213cedb5f1ad,172.18.0.3,62670.77880001068,0,61
-98.88756905300606,ee825512,61,1034.574993610382,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_10-52-00,1573901520,63705.35379362106,9980,213cedb5f1ad,172.18.0.3,63705.35379362106,0,62
-59.30922388363937,ee825512,62,1053.8550560474396,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_11-09-34,1573902574,64759.2088496685,9980,213cedb5f1ad,172.18.0.3,64759.2088496685,0,63
-85.7260012487385,ee825512,63,1072.7631101608276,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_11-27-27,1573903647,65831.97195982933,9980,213cedb5f1ad,172.18.0.3,65831.97195982933,0,64
-83.39222912653887,ee825512,64,1049.3303294181824,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_11-44-56,1573904696,66881.30228924751,9980,213cedb5f1ad,172.18.0.3,66881.30228924751,0,65
-100.41856189394547,ee825512,65,1068.339435338974,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_12-02-45,1573905765,67949.64172458649,9980,213cedb5f1ad,172.18.0.3,67949.64172458649,0,66
-120.47096467346336,ee825512,66,1015.7161664962769,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_12-19-40,1573906780,68965.35789108276,9980,213cedb5f1ad,172.18.0.3,68965.35789108276,0,67
-79.33404054799628,ee825512,67,1036.0975432395935,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_12-36-57,1573907817,70001.45543432236,9980,213cedb5f1ad,172.18.0.3,70001.45543432236,0,68
-133.2672013041296,ee825512,68,998.901778459549,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_12-53-35,1573908815,71000.3572127819,9980,213cedb5f1ad,172.18.0.3,71000.3572127819,0,69
-85.04977342175242,ee825512,69,1006.5585083961487,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_13-10-22,1573909822,72006.91572117805,9980,213cedb5f1ad,172.18.0.3,72006.91572117805,0,70
-98.37665810732051,ee825512,70,977.1096153259277,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_13-26-39,1573910799,72984.02533650398,9980,213cedb5f1ad,172.18.0.3,72984.02533650398,0,71
-90.75829529245739,ee825512,71,970.7719769477844,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_13-42-50,1573911770,73954.79731345177,9980,213cedb5f1ad,172.18.0.3,73954.79731345177,0,72
-48.270298586157175,ee825512,72,965.0123450756073,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_13-58-55,1573912735,74919.80965852737,9980,213cedb5f1ad,172.18.0.3,74919.80965852737,0,73
-113.2962838640425,ee825512,73,948.9274957180023,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_14-14-44,1573913684,75868.73715424538,9980,213cedb5f1ad,172.18.0.3,75868.73715424538,0,74
-112.3105117787595,ee825512,74,947.6053836345673,False,,,afffdad023fb4cf1945b87fd72552535,2019-11-16_14-30-31,1573914631,76816.34253787994,9980,213cedb5f1ad,172.18.0.3,76816.34253787994,0,75
