mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-116.11072903785207,ee829414,0,24.57734727859497,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-11-22,1573837882,24.57734727859497,10076,213cedb5f1ad,172.18.0.3,24.57734727859497,0,1
-93.78960203708557,ee829414,1,297.0738024711609,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-16-19,1573838179,321.65114974975586,10076,213cedb5f1ad,172.18.0.3,321.65114974975586,0,2
-105.78123410869057,ee829414,2,301.4100742340088,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-21-21,1573838481,623.0612239837646,10076,213cedb5f1ad,172.18.0.3,623.0612239837646,0,3
-102.27590716693938,ee829414,3,304.7979190349579,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-26-25,1573838785,927.8591430187225,10076,213cedb5f1ad,172.18.0.3,927.8591430187225,0,4
-98.79060610923686,ee829414,4,292.8762946128845,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-31-18,1573839078,1220.735437631607,10076,213cedb5f1ad,172.18.0.3,1220.735437631607,0,5
-104.30781516174129,ee829414,5,299.21225905418396,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-36-18,1573839378,1519.947696685791,10076,213cedb5f1ad,172.18.0.3,1519.947696685791,0,6
-103.41657431579557,ee829414,6,294.8616931438446,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-41-12,1573839672,1814.8093898296356,10076,213cedb5f1ad,172.18.0.3,1814.8093898296356,0,7
-102.04276726012542,ee829414,7,304.220814704895,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-46-17,1573839977,2119.0302045345306,10076,213cedb5f1ad,172.18.0.3,2119.0302045345306,0,8
-86.25922593395086,ee829414,8,307.1774251461029,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-51-24,1573840284,2426.2076296806335,10076,213cedb5f1ad,172.18.0.3,2426.2076296806335,0,9
-110.82529019696791,ee829414,9,302.39477801322937,False,,,1daefc7a4ffd420e9d1cc04f115836ca,2019-11-15_17-56-26,1573840586,2728.602407693863,10076,213cedb5f1ad,172.18.0.3,2728.602407693863,0,10
