mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-89.3064774195177,ee716626,0,36.16732215881348,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_09-26-39,1573809999,36.16732215881348,274,213cedb5f1ad,172.18.0.3,36.16732215881348,0,1
-115.66446802861107,ee716626,1,1911.2168436050415,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_09-58-30,1573811910,1947.384165763855,274,213cedb5f1ad,172.18.0.3,1947.384165763855,0,2
-107.5825354223032,ee716626,2,1899.6867895126343,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_10-30-10,1573813810,3847.0709552764893,274,213cedb5f1ad,172.18.0.3,3847.0709552764893,0,3
-105.23202195559712,ee716626,3,1904.1449558734894,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_11-01-54,1573815714,5751.215911149979,274,213cedb5f1ad,172.18.0.3,5751.215911149979,0,4
-107.26812039143654,ee716626,4,1761.496907711029,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_11-31-15,1573817475,7512.712818861008,274,213cedb5f1ad,172.18.0.3,7512.712818861008,0,5
-124.80746163391011,ee716626,5,1774.8655173778534,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_12-00-50,1573819250,9287.578336238861,274,213cedb5f1ad,172.18.0.3,9287.578336238861,0,6
-111.88532579319458,ee716626,6,1776.3168556690216,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_12-30-27,1573821027,11063.895191907883,274,213cedb5f1ad,172.18.0.3,11063.895191907883,0,7
-113.16032547982566,ee716626,7,1768.8836421966553,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_12-59-55,1573822795,12832.778834104538,274,213cedb5f1ad,172.18.0.3,12832.778834104538,0,8
-103.38442950739069,ee716626,8,1779.7568898200989,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_13-29-35,1573824575,14612.535723924637,274,213cedb5f1ad,172.18.0.3,14612.535723924637,0,9
-109.06031843729919,ee716626,9,1779.3325772285461,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_13-59-15,1573826355,16391.868301153183,274,213cedb5f1ad,172.18.0.3,16391.868301153183,0,10
-104.24080811699066,ee716626,10,1761.633397102356,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_14-28-36,1573828116,18153.50169825554,274,213cedb5f1ad,172.18.0.3,18153.50169825554,0,11
-111.58093031508929,ee716626,11,1799.029480934143,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_14-58-35,1573829915,19952.531179189682,274,213cedb5f1ad,172.18.0.3,19952.531179189682,0,12
-65.9673468761696,ee716626,12,1790.1013214588165,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_15-28-25,1573831705,21742.6325006485,274,213cedb5f1ad,172.18.0.3,21742.6325006485,0,13
-102.56814919736712,ee716626,13,1758.009213924408,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_15-57-43,1573833463,23500.641714572906,274,213cedb5f1ad,172.18.0.3,23500.641714572906,0,14
-111.91622680423255,ee716626,14,1762.3109686374664,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_16-27-06,1573835226,25262.952683210373,274,213cedb5f1ad,172.18.0.3,25262.952683210373,0,15
-95.68905147157636,ee716626,15,1773.7091162204742,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_16-56-39,1573836999,27036.661799430847,274,213cedb5f1ad,172.18.0.3,27036.661799430847,0,16
-78.98811842112566,ee716626,16,1870.6009929180145,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_17-27-50,1573838870,28907.26279234886,274,213cedb5f1ad,172.18.0.3,28907.26279234886,0,17
-117.04310459922856,ee716626,17,1910.9174041748047,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_17-59-41,1573840781,30818.180196523666,274,213cedb5f1ad,172.18.0.3,30818.180196523666,0,18
-46.0265041487485,ee716626,18,1951.7435493469238,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_18-32-13,1573842733,32769.92374587059,274,213cedb5f1ad,172.18.0.3,32769.92374587059,0,19
-86.88439723841124,ee716626,19,1908.975694179535,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_19-04-02,1573844642,34678.899440050125,274,213cedb5f1ad,172.18.0.3,34678.899440050125,0,20
-25.387347287261775,ee716626,20,1934.511556148529,False,,,f7a297c8b305463c955854b9789d5888,2019-11-15_19-36-16,1573846576,36613.410996198654,274,213cedb5f1ad,172.18.0.3,36613.410996198654,0,21
