mean_reward,trial_id,training_iteration,time_this_iter_s,done,timesteps_total,episodes_total,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
-96.62906600793974,ee83bcb8,0,23.46509099006653,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_17-17-22,1573838242,23.46509099006653,10502,213cedb5f1ad,172.18.0.3,23.46509099006653,0,1
-86.06007658201224,ee83bcb8,1,1893.567006111145,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_17-48-55,1573840135,1917.0320971012115,10502,213cedb5f1ad,172.18.0.3,1917.0320971012115,0,2
-116.32612601626279,ee83bcb8,2,1897.418657541275,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_18-20-33,1573842033,3814.4507546424866,10502,213cedb5f1ad,172.18.0.3,3814.4507546424866,0,3
-122.14748426131418,ee83bcb8,3,1885.5046145915985,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_18-51-58,1573843918,5699.955369234085,10502,213cedb5f1ad,172.18.0.3,5699.955369234085,0,4
-112.69432219847566,ee83bcb8,4,1895.2864181995392,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_19-23-34,1573845814,7595.241787433624,10502,213cedb5f1ad,172.18.0.3,7595.241787433624,0,5
-102.79719634491259,ee83bcb8,5,1901.8787252902985,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_19-55-15,1573847715,9497.120512723923,10502,213cedb5f1ad,172.18.0.3,9497.120512723923,0,6
-94.77044099228965,ee83bcb8,6,1886.6105263233185,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_20-26-42,1573849602,11383.731039047241,10502,213cedb5f1ad,172.18.0.3,11383.731039047241,0,7
-128.5777812197248,ee83bcb8,7,1876.6078684329987,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_20-57-59,1573851479,13260.33890748024,10502,213cedb5f1ad,172.18.0.3,13260.33890748024,0,8
-115.17886065075817,ee83bcb8,8,1891.4109098911285,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_21-29-30,1573853370,15151.749817371368,10502,213cedb5f1ad,172.18.0.3,15151.749817371368,0,9
-116.22649833717344,ee83bcb8,9,1916.216141462326,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_22-01-26,1573855286,17067.965958833694,10502,213cedb5f1ad,172.18.0.3,17067.965958833694,0,10
-110.37668935503002,ee83bcb8,10,1877.6221139431,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_22-32-44,1573857164,18945.588072776794,10502,213cedb5f1ad,172.18.0.3,18945.588072776794,0,11
-123.44286223734234,ee83bcb8,11,1893.2327110767365,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_23-04-17,1573859057,20838.82078385353,10502,213cedb5f1ad,172.18.0.3,20838.82078385353,0,12
-121.87631979892859,ee83bcb8,12,1964.1869912147522,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-15_23-37-01,1573861021,22803.007775068283,10502,213cedb5f1ad,172.18.0.3,22803.007775068283,0,13
-95.71769181351708,ee83bcb8,13,2114.374496459961,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-16_00-12-16,1573863136,24917.382271528244,10502,213cedb5f1ad,172.18.0.3,24917.382271528244,0,14
-99.06534254364152,ee83bcb8,14,1993.1197628974915,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-16_00-45-29,1573865129,26910.502034425735,10502,213cedb5f1ad,172.18.0.3,26910.502034425735,0,15
-117.0268218459509,ee83bcb8,15,1972.3632786273956,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-16_01-18-21,1573867101,28882.86531305313,10502,213cedb5f1ad,172.18.0.3,28882.86531305313,0,16
-93.87208175037404,ee83bcb8,16,1952.2812733650208,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-16_01-50-54,1573869054,30835.146586418152,10502,213cedb5f1ad,172.18.0.3,30835.146586418152,0,17
-97.8195304571537,ee83bcb8,17,1963.9405980110168,False,,,8c86a57aaeeb46b9955f83be9f57abaf,2019-11-16_02-23-37,1573871017,32799.08718442917,10502,213cedb5f1ad,172.18.0.3,32799.08718442917,0,18
